subject_local,date_created,geographic_subject_local,genre_form_local,rights_statement,date_digital_creation,contributor,digital_publisher,title,format,Image
"['Portraits', 'Medical students', 'Texas--College Station', 'Texas A & M University. College of Medicine', 'Pictorial works']",2012,"['United States', 'College Station (Tex.)', 'Texas']","['Portraits', 'Photographs', 'StillImage']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:10:29.216000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 2012, Texas A&M Health Science Center College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/33/pages/page_0/files/COMClass2012.jpg
"['Pictorial works', 'Portraits', 'Medical students', 'Texas--College Station', 'Texas A & M University. College of Medicine']",2010,"['Texas', 'United States', 'College Station (Tex.)']","['Portraits', 'Photographs', 'StillImage']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:10:02.083000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 2010, Texas A&M Health Science Center College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/31/pages/page_0/files/COMClass2010.jpg
"['Texas--College Station', 'Texas A & M University. College of Medicine', 'Pictorial works', 'Portraits', 'Medical students']",2007,"['College Station (Tex.)', 'Texas', 'United States']","['StillImage', 'Portraits', 'Photographs']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:09:07.847000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 2007, Texas A&M Health Science Center College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/28/pages/page_0/files/COMClass2007.jpg
"['Texas--College Station', 'Texas A & M University. College of Medicine', 'Pictorial works', 'Portraits', 'Medical students']",1997,"['College Station (Tex.)', 'Texas', 'United States']","['StillImage', 'Portraits', 'Photographs']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:06:38.621000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 1997, Texas A&M University College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/18/pages/page_0/files/COMClass1997.jpg
"['Portraits', 'Medical students', 'Texas--College Station', 'Texas A & M University. College of Medicine', 'Pictorial works']",1995,"['Texas', 'United States', 'College Station (Tex.)']","['Portraits', 'Photographs', 'StillImage']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:06:11.240000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 1995, Texas A&M University College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/16/pages/page_0/files/COMClass1995.jpg
"['Pictorial works', 'Portraits', 'Medical students', 'Texas--College Station', 'Texas A & M University. College of Medicine']",1984,"['Texas', 'United States', 'College Station (Tex.)']","['StillImage', 'Portraits', 'Photographs']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:11:23.535000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 1984, Texas A&M University College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/5/pages/page_0/files/COMClass1984.jpg
"['Pictorial works', 'Portraits', 'Medical students', 'Texas--College Station', 'Texas A & M University. College of Medicine']",1994,"['College Station (Tex.)', 'Texas', 'United States']","['StillImage', 'Portraits', 'Photographs']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:05:57.480000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 1994, Texas A&M University College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/15/pages/page_0/files/COMClass1994.jpg
"['Medical students', 'Texas--College Station', 'Texas A & M University. College of Medicine', 'Pictorial works', 'Portraits']",1983,"['United States', 'College Station (Tex.)', 'Texas']","['Portraits', 'Photographs', 'StillImage']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:11:09.934000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 1983, Texas A&M University College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/4/pages/page_0/files/COMClass1983.jpg
"['Pictorial works', 'Portraits', 'Medical students', 'Texas--College Station', 'Texas A & M University. College of Medicine']",1992,"['Texas', 'United States', 'College Station (Tex.)']","['Portraits', 'Photographs', 'StillImage']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:05:29.633000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 1992, Texas A&M University College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/13/pages/page_0/files/COMClass1992.jpg
"['Texas--College Station', 'Texas A & M University. College of Medicine', 'Pictorial works', 'Portraits', 'Medical students']",1981,"['College Station (Tex.)', 'Texas', 'United States']","['StillImage', 'Portraits', 'Photographs']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:07:05.734000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 1981, Texas A&M University College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/2/pages/page_0/files/COMClass1981.jpg
