format,contributor,geographic_subject_local,content_type,temporal_subject_local,physical_collection,title,abstract,identifier,genre_form_local,rights_statement,date_created,date_digital_creation,Image,description,description.1,creator
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['Texas', 'College Station']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Stevenson Center Pet Residents, number 080","Feline resident ""Bubba Kitty"" who arrived at the Stevenson Companion Animal Life-Care Center in 1997.",0362-07,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,2022-12-21T16:40:21.572000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/81/pages/page_0/files/CVM_0362-7.jpg,,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['Texas', 'College Station']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Stevenson Center Pet Residents, number 060","Feline resident ""Jessica"" who arrived at the Stevenson Companion Animal Life-Care Center in 1998.",0361-24,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,2022-12-21T16:33:59.503000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/61/pages/page_0/files/CVM_0361-24.jpg,,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,,College of Veterinary Medicine Image Collection,"George Shelton, number 8",George Calvin Shelton (right) with an unknown man (left). Dr. George Shelton became Dean of the College of Veterinary Medicine in 1973.,0406,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,,2022-12-21T16:53:53.727000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/198/pages/page_0/files/CVM_0406.jpg,"Written on photograph: George Shelton 73-88, Dean",,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Stevenson Center Pet Residents, number 058","Feline resident ""Jessica"" who arrived at the Stevenson Companion Animal Life-Care Center in 1998.",0361-22,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,2022-12-21T16:33:21.135000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/59/pages/page_0/files/CVM_0361-22.jpg,,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Womack Reception, number 32","Three men are seen in this image; left to right is Dr. Clint Magill (Soil & Crop Sciences), Dr. James Womack, Dr. Gary Hart (Soil & Crop Sciences), and an unnamed woman in left background.",0618,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-07-15,2022-12-21T18:01:57.997000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/401/pages/page_0/files/CVM_0618.jpg,Written on photograph: Roll 1 frame 32,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['Texas', 'College Station']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Canine Amputee, number 8","Mischief, the four-year-old miniature schnauzer, was featured on the first ""The Doc Is In"" segment on television, after having his leg amputated at the Texas A&M University College of Veterinary Medicine. ""The Doc Is In"" was a segment of the Public Broadcasting Service program, ""Cure and Caring,"" that featured the College of Veterinary Medicine. It first aired during the latter's second season in 1999 and was hosted by Dr. Dawn Boothe. This segment featured actual medical cases and discussed how the animals were treated. The show was broadcast from the studios of KAMU at Texas A&M and was produced by TeleVentures Productions.",0676,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-28,2022-12-21T18:21:36.328000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/459/pages/page_0/files/CVM_0676.jpg,,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['Texas', 'College Station']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Womack Reception, number 02",Dr. H. P. Hobson on left speaking with  Dr. Womack (center). An unnamed man shown on the right speaking to Ann Kier.,0588,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-07-15,2022-12-21T17:51:52.873000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/371/pages/page_0/files/CVM_0588.jpg,Written on photograph: Roll 1 frame2,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,,College of Veterinary Medicine Image Collection,"Student with horse, number 2",Student holds a horse's harness outside a building.,0687,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,,2022-12-21T18:25:04.913000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/469/pages/page_0/files/CVM_0687.jpg,,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['Texas', 'College Station']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Clinical Hospital Rounds, number 19",Librarian Joe Jaros listens at a meeting.,0584,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,Between 1995 and 2000,2022-12-21T17:51:13.180000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/369/pages/page_0/files/CVM_0584.jpg,,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Playter Retirement, number 27",Dr. Robert Playter speaks with Richard Adams.,0536,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-06,2022-12-21T17:37:10.239000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/327/pages/page_0/files/CVM_0536.jpg,,Photograph taken during June 1999.,
