subject_local,description,rights_statement,extent,date_digital_creation,title,contributor,content_type,identifier,Image
"['Houston', 'Texas', '20th century.', 'Corporate minutes', 'Petroleum industry and trade', 'Minutes', 'History']","['Cover title.', 'Minute book, 1901-1908', ""Gift of Amanda and Ken Kellar '65"", 'The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.', 'Minutes are handwritten; index is typed.', 'First entry, July 9 1901 - last entry May 25, 1908.']","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/","['41 cm.', '17 leaves (36 cm.)', '299 pages']",2020-12-05T17:04:34.011000+00:00,Minutes of Houston Oil Company of Texas,"['Houston Oil Company of Texas', 'Board of Directors']",text,minutes_0112,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/131/pages/page_0/files/minutes_0112.jpg
"['History', 'Houston', 'Texas', '20th century.', 'Corporate minutes', 'Petroleum industry and trade', 'Minutes']","['The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.', 'Minutes are handwritten; index is typed.', 'First entry, July 9 1901 - last entry May 25, 1908.', 'Cover title.', 'Minute book, 1901-1908', ""Gift of Amanda and Ken Kellar '65""]","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/","['299 pages', '41 cm.', '17 leaves (36 cm.)']",2020-12-05T17:31:12.707000+00:00,Minutes of Houston Oil Company of Texas,"['Board of Directors', 'Houston Oil Company of Texas']",text,minutes_0065,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/84/pages/page_0/files/minutes_0065.jpg
"['20th century.', 'Corporate minutes', 'Petroleum industry and trade', 'Minutes', 'History', 'Houston', 'Texas']","['Minute book, 1901-1908', ""Gift of Amanda and Ken Kellar '65"", 'The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.', 'Minutes are handwritten; index is typed.', 'First entry, July 9 1901 - last entry May 25, 1908.', 'Cover title.']","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/","['17 leaves (36 cm.)', '299 pages', '41 cm.']",2020-12-05T17:38:34.566000+00:00,Minutes of Houston Oil Company of Texas,"['Houston Oil Company of Texas', 'Board of Directors']",text,minutes_0128,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/147/pages/page_0/files/minutes_0128.jpg
"['History', 'Houston', 'Texas', '20th century.', 'Corporate minutes', 'Petroleum industry and trade', 'Minutes']","['First entry, July 9 1901 - last entry May 25, 1908.', 'Cover title.', 'Minute book, 1901-1908', ""Gift of Amanda and Ken Kellar '65"", 'The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.', 'Minutes are handwritten; index is typed.']","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/","['299 pages', '41 cm.', '17 leaves (36 cm.)']",2020-12-05T16:53:35.588000+00:00,Minutes of Houston Oil Company of Texas,"['Houston Oil Company of Texas', 'Board of Directors']",text,minutes_0016,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/35/pages/page_0/files/minutes_0016.jpg
"['Petroleum industry and trade', 'Minutes', 'History', 'Houston', 'Texas', '20th century.', 'Corporate minutes']","['The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.', 'Minutes are handwritten; index is typed.', 'First entry, July 9 1901 - last entry May 25, 1908.', 'Cover title.', 'Minute book, 1901-1908', ""Gift of Amanda and Ken Kellar '65""]","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/","['17 leaves (36 cm.)', '299 pages', '41 cm.']",2020-12-05T17:25:59.791000+00:00,Minutes of Houston Oil Company of Texas,"['Board of Directors', 'Houston Oil Company of Texas']",text,minutes_0244,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/263/pages/page_0/files/minutes_0244.jpg
"['History', 'Houston', 'Texas', '20th century.', 'Corporate minutes', 'Petroleum industry and trade', 'Minutes']","[""Gift of Amanda and Ken Kellar '65"", 'The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.', 'Minutes are handwritten; index is typed.', 'First entry, July 9 1901 - last entry May 25, 1908.', 'Cover title.', 'Minute book, 1901-1908']","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/","['17 leaves (36 cm.)', '299 pages', '41 cm.']",2020-12-05T16:43:12.121000+00:00,Minutes of Houston Oil Company of Texas,"['Board of Directors', 'Houston Oil Company of Texas']",text,minutes_0215,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/234/pages/page_0/files/minutes_0215.jpg
"['History', 'Houston', 'Index', 'Texas', '20th century.', 'Corporate minutes', 'Petroleum industry and trade']","['Cover title.', 'Minute book, 1901-1908', ""Gift of Amanda and Ken Kellar '65"", 'The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.', 'Minutes are handwritten; index is typed.', 'First entry, July 9 1901 - last entry May 25, 1908.']","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/","['41 cm.', '17 leaves (36 cm.)', '299 pages']",2020-12-05T16:56:36.159000+00:00,Minutes of Houston Oil Company of Texas,"['Houston Oil Company of Texas', 'Board of Directors']",text,index_0006,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/7/pages/page_0/files/Index_0006.jpg
"['Minutes', 'History', 'Houston', 'Texas', '20th century.', 'Corporate minutes', 'Petroleum industry and trade']","['The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.', 'Minutes are handwritten; index is typed.', 'First entry, July 9 1901 - last entry May 25, 1908.', 'Cover title.', 'Minute book, 1901-1908', ""Gift of Amanda and Ken Kellar '65""]","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/","['17 leaves (36 cm.)', '299 pages', '41 cm.']",2020-12-05T17:06:26.555000+00:00,Minutes of Houston Oil Company of Texas,"['Board of Directors', 'Houston Oil Company of Texas']",text,minutes_0081,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/100/pages/page_0/files/minutes_0081.jpg
"['History', 'Houston', 'Texas', '20th century.', 'Corporate minutes', 'Petroleum industry and trade', 'Minutes']","['Cover title.', 'Minute book, 1901-1908', ""Gift of Amanda and Ken Kellar '65"", 'The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.', 'Minutes are handwritten; index is typed.', 'First entry, July 9 1901 - last entry May 25, 1908.']","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/","['299 pages', '41 cm.', '17 leaves (36 cm.)']",2020-12-05T17:17:15.542000+00:00,Minutes of Houston Oil Company of Texas,"['Houston Oil Company of Texas', 'Board of Directors']",text,minutes_0260,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/279/pages/page_0/files/minutes_0260.jpg
"['History', 'Houston', 'Texas', '20th century.', 'Corporate minutes', 'Petroleum industry and trade', 'Minutes']","['First entry, July 9 1901 - last entry May 25, 1908.', 'Cover title.', 'Minute book, 1901-1908', ""Gift of Amanda and Ken Kellar '65"", 'The Cushing Library/Chapman Texas Collection copy is part of the Floyd & Louise Chapman Texas & Borderlands Collection.', 'Minutes are handwritten; index is typed.']","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/","['299 pages', '41 cm.', '17 leaves (36 cm.)']",2020-12-05T16:29:52.138000+00:00,Minutes of Houston Oil Company of Texas,"['Board of Directors', 'Houston Oil Company of Texas']",text,minutes_0097,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/houston_oil_company_minutes_objects/116/pages/page_0/files/minutes_0097.jpg
