extent,format,description,language,rights,title,date_digital_creation,contributor,genre_form,genre_form.1,identifier,geographic_subject,creator,original_publisher,date_created,classification,Image,coordinates
1 map on 21 sheets 44 x 57 cm,"['reformatted digital', 'application/tif']","['Scale [ca.1:1,230] . 1 in. = 100 [ft.]', 'Cushing Library/London Collection one copy is on canvas backing and one copy is unnumbered', 'Cartographic material', 'Cushing Library copies are part of the Stephen Powys Marks London Collection', '""Facsimile reproduction of Ogilby and Morgan\'s map of London, 1677, with the key thereto. Edited for the London and Middlesex Archaeological Society, with an instroduction, by Charles Welch.""--Sheet 5']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,"A large and accurate map of the city of London: ichnographically describing all the streets, lanes, alleys, courts, yards, churches, halls and houses, &c.",2023-11-13T21:23:18.607000+00:00,"['Welch, Charles, 1848-1924', 'London and Middlesex Archaeological Society', 'Morgan, William, -1690']",Maps,Cartographic image,2579936,London (England)--Maps--Early works to 1800--Facsimiles,"Ogilby, John, 1600-1676",London and Middlesex Archaeological Society,1894,G5754.L7 1677 .O3 1894,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_0/files/2579936_01.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_1/files/2579936_02.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_2/files/2579936_03.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_3/files/2579936_04.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_4/files/2579936_05.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_5/files/2579936_06.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_6/files/2579936_07.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_7/files/2579936_08.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_8/files/2579936_09.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_9/files/2579936_10.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_10/files/2579936_11.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_11/files/2579936_12.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_12/files/2579936_13.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_13/files/2579936_14.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_14/files/2579936_15.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_15/files/2579936_16.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_16/files/2579936_17.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_17/files/2579936_18.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_18/files/2579936_19.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_19/files/2579936_20.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_20/files/2579936_21.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_21/files/2579936_22.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_22/files/2579936_23.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/8/pages/page_23/files/2579936_24.jpg,
view 46 x 233 cm. on 6 sheets 65 x 49 cm,"['application/tif', 'reformatted digital']","['Alternate title: London, Westminster & Southwark, drawn and engraved by Wenceslaus Hollar', '""Emery Walker, ph. sc.""', 'Cushing Library copy is part of the Stephen Powys Marks London Collection', 'Facsimile', 'Has watermark', 'Cartographic material', 'Panorama', 'Includes text in Latin, inset view of Westminster, city of London coat of arms, and illus']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,London,2023-11-13T21:20:37.260000+00:00,"['Danckerts, Cornelis, 1561-1634', 'London Topographical Society']",Aerial views,Still Image,2579888,"['London (England)--Pictorial works--Early works to 1800--Facsimiles', 'London (England)--Aerial views--Early works to 1800--Facsimiles']","Hollar, Wenceslaus, 1607-1677",Cornelius Danckers London Topographical Society,1647. 1906-1907.,G5754.L7A35 1647 .H6 1906,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/6/pages/page_0/files/londonmaps_2579888_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/6/pages/page_1/files/londonmaps_2579888_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/6/pages/page_2/files/londonmaps_2579888_3.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/6/pages/page_3/files/londonmaps_2579888_4.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/6/pages/page_4/files/londonmaps_2579888_5.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/6/pages/page_5/files/londonmaps_2579888_6.jpg,
view 43 x 216 cm. on 4 sheets 59 x 80 cm,"['application/tif', 'reformatted digital']","['Has watermark', 'Sheet 1 has: Reproduced by the Typographic Etching Company', 'Cartographic material', '""A facsimile of the probably unique example of the original edition in the King\'s Library, British Museum.""', 'Alternate title: View of London by C.J. Visscher, A.D. 1616', 'Panorama', 'Includes 2 texts in Latin and 2 coats of arms', 'Accompanied by title sheet with text. 1 l', 'Title from title sheet: View of London, A.D. 1616. By Nicholas John Visscher', 'Cushing Library copy is part of the Stephen Powys Marks London Collection']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,London,2023-11-13T21:06:14.490000+00:00,London Topographical Society,Aerial views,Cartographic image,2578390,"['London (England)--Aerial views--Early works to 1800--Facsimiles', 'London (England)--Pictorial works--Early works to 1800--Facsimiles']","Visscher, Claes Jansz., 1586 or 1587-1652",Topographical Society of London,[1616]. 1883-1885.,G5754.L7A35 1616 .V5 1883,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/2/pages/page_0/files/londonmaps_2578390_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/2/pages/page_1/files/londonmaps_2578390_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/2/pages/page_2/files/londonmaps_2578390_3.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/2/pages/page_3/files/londonmaps_2578390_4.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/2/pages/page_4/files/londonmaps_2578390_5.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/2/pages/page_5/files/londonmaps_2578390_6.jpg,
1 map color on sheet 40 x 52 cm,"['application/tif', 'reformatted digital']","['Cartographic material', ""King's Scholar's Pond Sewer, formerly the River Tyburn, also formerly known as the Aye Brook"", 'Scale not given']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,"Plan of the intended sewer at Stratford Place petitioned for by Earl Poulett: see Lord Aldborough's note in the minutes of the Committee of Works, 7th July 1779.",2023-11-13T21:10:55.286000+00:00,"['Aldborough, Edward Stratford, 1736-1801', 'Poulett, John Poulett, 1756-1819']",Maps,Cartographic Image,4026211,"['Westminster (London, England)--Maps', 'Tyburne, River (England)--Maps']",Great Britain Commissioners of Sewers for Westminster and Part of Middlesex,Sewers Westminster &c.,[between 1810 and 1829?],G5754.W54N46 1779 .G78,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/32/pages/page_0/files/londonmaps_4026211.jpg,
"10 maps color (folded) on sheets 110 x 124 cm. or smaller, folded to 28 x 18 cm","['application/tif', 'reformatted digital']","['Mounted on linen', 'Cartographic material', 'Title devised by cataloger', 'Chelsea -- City of London -- Finsbury -- Greenwich [east] -- Greenwich [west] -- Lambeth, east -- Lambeth, west -- Marylebone -- Southwark -- Westminster', 'Scale [ca 1:10,560]', 'Stanford\'s ""School Board map"" was produced in 1877 at the request of the School Board Of London. The School Board was formed as a result of the Education Act of 1870 to ensure that every child in the country between the age of 5 and 13 attended school. The maps were produced to illustrate the locations of existing schools and show the deficiencies in current school places, as well as to show where new schools could be located. Stanford used his highly detailed ""Library map of London and its suburbs"" as the base map for production of the School Board maps. Stanford\'s library map was first published in 1862, with 10 further editions issued in the years leading up to 1877. The School Board of London only requested 200 sets of Stanford\'s original 1877 ""School Board map"". These were distributed to School Board members, superintendents of the various London school divisions, school inspectors, and their assistants']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,[School Board map of London].,2023-11-13T21:10:43.717000+00:00,London (England) School Board,Maps,Cartographic Image,4014834,"['Chelsea (London, England)--Maps', 'Finsbury (London, England)--Maps', 'Lambeth (London, England)--Maps', 'Greenwich (London, England)--Maps', 'Westminster (London, England)--Maps', 'Marylebone (London, England)--Maps', 'City of London (England)--Maps', 'Southwark (London, England)--Maps']",Edward Stanford Ltd,Edward Stanford,1886,G5754.L7E68 1886 .E38,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/22/pages/page_0/files/londonmaps_4014834_01.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/22/pages/page_1/files/londonmaps_4014834_02.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/22/pages/page_2/files/londonmaps_4014834_03.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/22/pages/page_3/files/londonmaps_4014834_04.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/22/pages/page_4/files/londonmaps_4014834_05.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/22/pages/page_5/files/londonmaps_4014834_06.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/22/pages/page_6/files/londonmaps_4014834_07.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/22/pages/page_7/files/londonmaps_4014834_08.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/22/pages/page_8/files/londonmaps_4014834_09.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/22/pages/page_9/files/londonmaps_4014834_10.jpg,
1 map color on sheet 64 x 108 cm,"['application/tif', 'reformatted digital']","['Scale not given', '[ca. 1350]', 'North to left', '""A.O. 544.""', 'Known as the ""Gough Map"", first published in 1870', '""Ancient names transcribed in red.""', 'Cartographic material', '""Ordnance Survey, 1935. Reprinted 1959.""']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,"Facsimile of the ancient map of Great Britain in the Bodleian Library, Oxford, A.D. 1325-50",2023-11-13T21:03:37.727000+00:00,"James, H., 1803-1877",Maps,Cartographic Image,3987353,Great Britain--Maps--Early works to 1800--Facsimiles,Great Britain Ordnance Survey,Ordnance Survey Office,1959,G5740 1350 .G7 1959,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/19/pages/page_0/files/londonmaps_3987353.jpg,
"1 map in 6 parts on 2 sheets color 69 x 105 cm., or smaller","['application/tif', 'reformatted digital']","['Cartographic material', 'Scale not given', 'The River Westbourne is a river in London, England which flows from Whitestone Pond on Hampstead Heath down through Hyde Park to Sloane Square and then into the River Thames at Chelsea. When Belgravia, Chelsea and Paddington were developed, it became necessary to drive the river Westbourne underground in order to build over it. The river was therefore directed into pipes in the early part of the nineteenth century, work which was completed in the 1850s. Since then, the Westbourne has been one of the lost rivers of London, running underground in a pipe. The pipe can still be seen running above the platform of Sloane Square tube station. The pipe is the original one constructed in the nineteenth century. Although the station was badly bombed during the Battle of Britain in November 1940, the old iron pipe was not damaged. The river falls into the river Thames about 300 yards (270 m) west of Chelsea Bridge. This outfall, from a pipe now called the Ranelagh Sewer, can still be seen at low tide']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,Plan shewing the course of River Westbourne and the Ranelagh Sewer taken from the plans at the Paddington Borough Council Offices.,2023-11-13T21:10:02.881000+00:00,"Paddington (London, England) Borough Council",Maps,Cartographic Image,4026202,"['Westbourne River (England)--Maps', 'Westminster (London, England)--Maps']",Great Britain Commissioners of Sewers for Westminster and Part of Middlesex,[Commissioners of Sewers for Westminster and Part of Middlesex?],[between 1810 and 1829?],G5754.W54N46 1800 .G75,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/29/pages/page_0/files/londonmaps_4026202_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/29/pages/page_1/files/londonmaps_4026202_2.jpg,
view 29 x 44 cm,"['reformatted digital', 'application/tif']","['Cushing Library copy is part of the Stephen Powys Marks London Collection', 'Includes text and poem', 'Facsimile', 'Cartographic material', 'Originally published London: I. Smith, 1724-1729', '""Emery Walker Limited, Collotypers.""', 'Panorama', 'London Bridge']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,The west-side of London-Bridge: The east-side of London-Bridge,2023-11-13T21:03:34.693000+00:00,"['Smith, Joseph, active 1705-1748', 'London Topographical Society']",Aerial views,Still Image,2587958,"['London Bridge (London, England)--Aerial views--Early works to 1800--Facsimiles', 'London (England)--Buildings, structures, etc--Pictorial works--Early works to 1800--Facsimiles']","Nicholls, Sutton",London Topographical Society,1921,G5754.L7:2L6A35 1729 .N5 1921,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/11/pages/page_0/files/londonmaps_2587958.jpg,
1 map color on sheet 68 x 56 cm,"['application/tif', 'reformatted digital']","['Cadastral map', 'Oriented with north to the right', 'Also shows buildings and streets of 1897', 'Cartographic material', 'Indexed for lodgings and apartments', '""Note--the reddish brown lines are taken from \'A survey and ground plot of the Royal Palace of Whitehall, with the lodgings and apartments belonging to their majesties--A.D. 1680, by John Fisher, \' and published in 1747 by G. Vertue.""', 'Scale [ca. 1:725]']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,"Plan of buildings in the neighbourhood of Whitehall: showing thereon in red colour the Cockpit and ancient buildings in the neighbourhood thereof, as they stood in 1680",2023-11-13T21:03:34.473000+00:00,"['Fisher, John, active 1670-1703', 'London Topographical Society']",Maps,Cartographic image,3970193,"Whitehall (London, England)--Maps",Great Britain Commissioners of Works,London Topographical Society,1900,G5754.L7:2W5 1897 .G7,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/15/pages/page_0/files/londonmaps_3970193.jpg,
maps color 47 x 69 cm,"['application/tif', 'reformatted digital']","['Ordnanve Survey of England', 'Cartographic material', 'Ordnance Survey of England & Wales', 'Relief shown by contours and spot heights. Depth shown by contours', 'Some cloth backed', 'Scale 1:63 360. 1 in. = 1 statute mile', 'Various edition styles']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,Ordnance Survey of England and Wales.,2023-11-13T21:07:46.411000+00:00,Great Britain War Office General Staff Geographical Section,Maps,Cartographic Image,4015521,"['England--Maps', 'Wales--Maps']",Great Britain Ordnance Survey,War Office,1941-,G5750 s63 .G73,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/25/pages/page_0/files/londonmaps_4015521_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/25/pages/page_1/files/londonmaps_4015521_2.jpg,
