dc_identifier,dcterms_extent,ldp_contains,fedora_writable,fedora_created,dc_creator,dcterms_spatial,dcterms_medium,tamudigital_local/details,fedora_lastModifiedBy,dc_type,fedora_hasParent,dc_subject,fedora_lastModified,dc_title,dc_rights,dcterms_type,dc_format,fedora_createdBy,files,dc_relation,dcterms_temporal,dcterms_created,dc_contributor
3739,"1 sheet of teal blue, black and white marbled paper; 21.50 x 30.75 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/118/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/118/pages,false,2022-06-21T13:54:43.142000+00:00,"Gail-White, Victoria",Hawaii,Paper,"Surface application; Marbled; M5.D4.F13; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.c; Signed; Not stamped; Slight creases; paper on one corner exposed with no marbling; slight marks on paper; tiny tear along one edge; [written in black ink on verso]: ""Victoria Gail-White""",fedoraAdmin,Dutch marbled paper|French snail marbled papers|art reproduction|curl marbled paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:54:43.142000+00:00,Berger-Cloonan #3739,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/118/pages/page_0/files/03739.jpg,,,,
7,"1 sheet of black, gray and white marbled paper; 19.00 x 24.50 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/8/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/8/pages,false,2022-06-21T13:51:54.533000+00:00,"Breugel, Eva Van",Holland,Paper,"Distribution of fibers; Surface application; Laid; Watermarked; Marbled; M5.D4.F1; Paper has watermark of rooster and heraldic shield; laid paper; slight metallic sheen; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; II.H; VIII.F.1.b; Not signed; Stamped; Not stickered; Not embossed; [stamped in blue ink on verso]: ""Eva Clifford Kocq van Breugel, Driebergen Holland""; [stamped in blue ink on verso]: ""EVA VAN BREUGEL""",fedoraAdmin,watermarks|Chevron marbled papers|art reproduction|curl marbled paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Watermarks|Marbled papers,2022-06-21T13:51:54.533000+00:00,Berger-Cloonan #7,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/8/pages/page_0/files/00007.jpg,M5.D4.F1.A,,,
4438,"1 sheet of black, gray, white and cream marbled paper; 19.50 x 27.50 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/134/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/134/pages,false,2022-06-21T13:55:13.516000+00:00,"Frigge, Karli",Netherlands,Paper,"Distribution of fibers; Surface application; Laid; Marbled; M4.D3.F4; Agate marble with cellular aspect; laid paper; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.4.f; Not signed; Stamped; White residue on verso; The Berger/Cloonan paper collection contains a large number of the works of Karli Frigge. Sidney E. Berger wrote Karli Frigge's Life in Marbling (Newtown, PA: Bird & Bull Press, 2004), in which he claims that Karli Frigge is perhaps the greatest marbler in history.; [stamped in black ink on verso]: ""KARLI FRIGGE LOCHEMSEWEG 75 7215 RA JOPPE NEDERLAND [printed in an open square]""",fedoraAdmin,agate marbled paper|Stone marbled papers|art reproduction,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:55:13.516000+00:00,Berger-Cloonan #4438,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/134/pages/page_0/files/04438.jpg,,,,
1096-001,"1 sheet of light brown, dark brown, black and white marbled paper; 20.25 x 25.25 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/71/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/71/pages,false,2022-06-21T13:53:20.753000+00:00,"Cockerell, Douglas|Cockerell, Sydney Morris",England--Cambridge,Paper,"Surface application; Marbled; M4.D5.F4; Sidney E. Berger and Michele V. Cloonan purchased the sheet from the Paper Source in Los Angeles, California circa 1988.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1; Not signed; Stamped; Not stickered; Not embossed; Douglas Cockerell and Sidney Cockerell, father and son, were both talented English marblers. They marbled beginning in the 1970s.; [stamped in black ink on verso]: [copyright symbol] COCKERELLGRANTCHESTERCAMBRIDGEENGLAND1988""",fedoraAdmin,art reproduction|Combed marbled papers|curl marbled paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:53:20.753000+00:00,Berger-Cloonan #1096-001,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/71/pages/page_0/files/01096-001.jpg,M4.D5.F4.A,1980s,1988,Cockerell
10,"1 sheet of purple, light blue and white marbled paper; 19.00 x 24.50 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/11/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/11/orderProxies,false,2022-06-21T13:51:31.098000+00:00,"Breugel, Eva Van",Holland,Paper,"Distribution of fibers; Surface application; Watermarked; Marbled; M5.D4.F1; Paper has watermark of rooster and heraldic shield; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.H; VIII.F.4.f; Not signed; Stamped; Not stickered; Not embossed; [stamped in blue ink on verso]: ""EVA VAN BREUGEL""",fedoraAdmin,agate marbled paper|art reproduction|Stone marbled papers|watermarks,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Watermarks|Marbled papers,2022-06-21T13:51:31.098000+00:00,Berger-Cloonan #10,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/11/pages/page_0/files/00010.jpg,M5.D4.F1.A,,,
1132,"1 sheet of pink, gray and white marbled paper; 20.25 x 25.25 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/107/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/107/orderProxies,false,2022-06-21T13:54:23.423000+00:00,"Cockerell, Douglas|Cockerell, Sydney Morris",England--Cambridge,Paper,"Surface application; Marbled; M4.D3.F7; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1; Not signed; Stamped; Not stickered; Not embossed; Douglas Cockerell and Sidney Cockerell, father and son, were both talented English marblers. They marbled beginning in the 1970s.; [stamped in black ink on verso]: [copyright symbol] COCKERELL 1996 BARTON CAMBRIDGE CB3 7AD ENGLAND Tel/Fax 01223 262430 NO UNAUTHORISED REPRODUCTION""; [stamped in black ink on verso]: ""FINEST ENGLISH HAND MARBLED DESIGN FROM THE COCKERELL STUDIO EST. OVER 80 YRS""",fedoraAdmin,Combed marbled papers|art reproduction|curl marbled paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:54:23.423000+00:00,Berger-Cloonan #1132,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/107/pages/page_0/files/01132.jpg,,1990s,1996,Cockerell
1002,"1 sheet of red, blue, white and light brown marbled paper; 16.00 x 18.00 (uneven edges) in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/44/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/44/orderProxies,false,2022-06-21T13:52:38.382000+00:00,"Ozeum, Mr.",China--Xinjiang Uygur Zizhiqu,Paper,"Surface application; Marbled; M4.D5.F1; Mr. Ozeum donated the sheet to Sidney E. Berger and Michele V. Cloonan.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1; Not signed; Stamped; Not stickered; Not embossed; #01002 and #01003 stored together in onion paper folder; sheet stapled to onion paper folder; [stamped in purple ink on paper folder] ""KHOTAN PAPER, Handmade and marbled, Xinjiang Uygur Autonomous Region PRC, CACAS, Central Asian Culture Art Society""; [stamped in purple ink on paper folder]: ""Limited Edition #all rights by OZEUM <uygur13@tnn.net>""",fedoraAdmin,Combed marbled papers|art reproduction|curl marbled paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:52:38.382000+00:00,Berger-Cloonan #1002,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/44/pages/page_0/files/01002.jpg,M4.D5.F1.A,,,Central Asian Culture Art Society
17,"1 sheet of light blue, brown and black marbled paper; 19.00 x 24.75 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/18/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/18/pages,false,2022-06-21T13:51:30.710000+00:00,"Breugel, Eva Van",Holland,Paper,"Surface application; Marbled; M5.D4.F1; Regular wavy pattern; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1; Signed; Not stamped; Not stickered; Not embossed; [written in white ink on verso]: ""Eva van Breugel""; [written in pencil on verso]: ""1994 and a few later dates.""",fedoraAdmin,Combed marbled papers|art reproduction|curl marbled paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:51:30.710000+00:00,Berger-Cloonan #17,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/18/pages/page_0/files/00017.jpg,M5.D4.F1.A,1990s,1994 [?],
994,"1 sheet of blue, red, green, yellow and light brown marbled paper; 8.00 x 14.00 (uneven edges) in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/36/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/36/orderProxies,false,2022-06-21T13:52:25.176000+00:00,"Yangoz, Hayreddin",China--Xinjiang Uygur Zizhiqu,Paper,"Surface application; Marbled; M4.D5.F1; Central floral and leaf motif; background is random marbling; fibrous handmade paper; Mr. Ozeum donated the sheet to Sidney E. Berger and Michele V. Cloonan.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.2; VIII.F.4; Not signed; Not stamped; Not stickered; Not embossed; Mounted on white backing paper; [written in pencil on verso of white backing paper] ""Paper from Khotan, marbled, HAYREDDIN YANGOZ""",fedoraAdmin,Random marbled papers|marbled paper|art reproduction|Figured marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:52:25.176000+00:00,Berger-Cloonan #994,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/36/pages/page_0/files/00994.jpg,M4.D5.F1.A,,,Central Asian Culture Art Society
6278,"1 sheet of green, purple, gold and light blue marbled paper; 31.00 x 39.00 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/149/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/149/pages,false,2022-06-21T13:55:34.139000+00:00,"Miura, Einen",,Paper,"Surface application; Marbled; M5.D4.F14; Slight metallic sheen; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1; Signed; Not stamped; Not stickered; Not embossed; Corner and edge creased; wrinkled; stained on verso; [written in gold ink on recto]: ""EINEN""",fedoraAdmin,art reproduction|Combed marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:55:34.139000+00:00,Berger-Cloonan #6278,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/149/pages/page_0/files/06278.jpg,M5.D4.F14.A,,,
