dc_subject,dc_title,dc_language,dcterms_spatial,dc_format,dc_identifier,dcterms_issued,fedora_lastModifiedBy,dc_coverage,ldp_contains,dcterms_lcc,dc_rights,fedora_lastModified,fedora_createdBy,fedora_hasParent,fedora_created,fedora_writable,dc_description,dcterms_type,files,dc_contributor,dc_creator
Roads--Louisiana--Maps|Mississippi River--Maps|Indians of North America--Louisiana--Maps|Manuscript Maps|San Antonio (Tex.)--Maps|Indians of North America--Texas--Maps|Rivers--Arkansas--Maps|Catholic Church--Missions--Texas--Maps|Rivers--Texas--Maps|New Orleans (La.)--Maps|Catholic Church--Missions--Louisiana--Maps|Roads--Texas--Maps|Illinois--Maps|Rivers--Illinois--Maps|Texas--Maps|Rivers--Louisiana--Maps|Louisiana--Maps|Fortification--Louisiana--Maps|Fortification--Texas--Maps|Arkansas--Maps|Roads--Illinois--Maps|Roads--Arkansas--Maps,"[Plan del presidio de San Sabá al de los Adaes y San Antonio de Véxar, comenzando desde el Nuevo Reino de Orleans demarcando todos los presidios, misiones, fuentes, pueblos y demás casas, de que se compone el ámbito de dicho mapa.]",spa,Mississippi River|Texas|Illinois|Arkansas|San Antonio (Tex.)|Louisiana|New Orelans (La.),reformatted digital|application/tif,5887652,[1763],fedoraAdmin,(W 98°49ʹ00ʺ--W 88°42ʹ00ʺ/N 39°31ʹ00ʺ--N 29°11ʹ00ʺ),https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/59/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/59/orderProxies,G4031 .E424 1763 .P5,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2022-08-25T17:38:41.326000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects,2022-08-25T17:38:41.326000+00:00,false,"Held in the Floyd and Louise Chapman Texas and Borderlands Collection at Cushing Memorial Library and Archives on the campus of Texas A and M University, College Station, Texas.",Still Image,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/59/pages/page_0/files/SpanishMap.tif,,
Germany--Colonization--Texas--Maps|Adelsverein--Maps|Texas--Emigration and immigration--Maps|Texas--Maps,Texas: eine geographische Skizze bearbeitet nach Berghaus Länderkunde und den neuesten Forschungen des Prinzen Carl zu Solms Braunfels und anderer Reisenden,ger,Texas,reformatted digital|application/tif,6336467,1847,fedoraAdmin,,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/41/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/41/orderProxies,G4031.E27 1847 .F3,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2022-08-25T17:19:31.767000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects,2022-08-25T17:19:31.767000+00:00,false,"Held in the Floyd and Louise Chapman Texas and Borderlands Collection at Cushing Memorial Library and Archives on the campus of Texas A and M University, College Station, Texas.",Still Image,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/41/pages/page_0/files/6336467.tif,"Solms-Braunfels, Carl","Farmer, Walter"
Indians of North America--Maps|Mexico--Maps|Central America--Maps|Texas--Maps|North America--Maps|Mexico City (Mexico)--Maps,Mexico,ger,Mexico City (Mexico)|Mexico|North America|Texas|Central America,application/tif|reformatted digital,in00004363373,[1848?],fedoraAdmin,(W 127°54ʹ00ʺ--W 80°58ʹ00ʺ/N 41°59ʹ00ʺ--N 14°17ʹ00ʺ),https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/51/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/51/orderProxies,G4410 1848 .M3,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2022-08-25T17:25:58.312000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects,2022-08-25T17:25:58.312000+00:00,false,"Held in the Floyd and Louise Chapman Texas and Borderlands Collection at Cushing Memorial Library and Archives on the campus of Texas A and M University, College Station, Texas.|Date of object estimated by library to be 1848.",Still Image,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/51/pages/page_0/files/00004363373.tif,"Humboldt, Alexander, von, 1769-1859",
"Civil Engineering--Handbooks--manuals, etc.","The civil engineers's pocket-book, of mensuration, trigonometry, surveying, hydraulics ... [etc.]: in addition to which the elucidation of certain important principles of construction is made in a more simple manner than heretofore",eng,,application/tif|reformatted digital,3106095,1886,fedoraAdmin,,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/17/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/17/pages,TA151 .T77 1886,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2022-08-25T15:50:07.750000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects,2022-08-25T15:50:07.750000+00:00,false,"Held in the Rare Books Collection of the Cushing Memorial Library and Archives at Texas A and M University, in College Station, TX.",Text,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/17/pages/page_0/files/3106095_1.tif|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/17/pages/page_1/files/3106095_2.tif,"Trautwine, John C. (John Cresson), 1850-1924, editor.","Trautwine, John C. (John Cresson), 1810-1883."
"Guatemala--Maps|Mexico--Maps|Texas--Maps|Texas--History--Republic, 1836-1846--Maps",Méxique,fre,Guatemala|Texas|Mexico,reformatted digital|application/tif,6419992,1845?,fedoraAdmin,(W 124°48ʹ00ʺ--W 85°15ʹ00ʺ/N 43°39ʹ00ʺ--N 13°30ʹ00ʺ),https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/42/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/42/orderProxies,G3300 1845 .D8,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2022-08-25T17:25:03.052000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects,2022-08-25T17:25:03.052000+00:00,false,"Date of object estimated by library to be 1845.|Held in the Floyd and Louise Chapman Texas and Borderlands Collection at Cushing Memorial Library and Archives on the campus of Texas A and M University, College Station, Texas..",Still Image,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/42/pages/page_0/files/6419992.tif,"George|Smith, Ch.","Duvotenay, Th. (Thunot), 1796-1875"
Texas--Annexation to the United States,"Annexation of Texas to the United States: Message from the President of the United States, in compliance with a resolution of the House of Representatives of the 13th instant, respecting an annexation of Texas to the United States.",eng,Texas,reformatted digital|application/tif,1125894,[1837],fedoraAdmin,,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/9/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/9/orderProxies,F390 .U416 1837,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2022-08-25T15:38:54.352000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects,2022-08-25T15:38:54.352000+00:00,false,"Date of object determined by library to be 1837.|Held in the Floyd and Louise Chapman Texas and Borderlands Collection at Cushing Memorial Library and Archives on the campus of Texas A and M University, College Station, Texas.",Text,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/9/pages/page_0/files/1125894.tif,"Hunt, Memucan, 1807-1856|Forsyth, John 1780-1841",United States - Department of State.
Southern States--Maps--Early works to 1800|Mexico--Maps--Early works to 1800|Central America--Maps--Early works to 1800,Nueva Hispania tabula nova,lat,Mexico|Southern States|Central America,application/tif|reformatted digital,5966669,1574,fedoraAdmin,(W 118°35ʹ00ʺ--W 79°25ʹ00ʺ/N 32°43ʹ00ʺ--N 10°05ʹ00ʺ),https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/32/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/32/orderProxies,G4410 1574 .R8,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2022-08-25T17:17:08.778000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects,2022-08-25T17:17:08.778000+00:00,false,"Held in the Floyd and Louise Chapman Texas and Borderlands Collection at Cushing Memorial Library and Archives on the campus of Texas A and M University, College Station, Texas.",Still Image,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/32/pages/page_0/files/5966669_a.tif|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/32/pages/page_1/files/5966669_b.tif,,"Ruscelli, Girolamo, -approximately 1565"
Texas--History--Republic--1836-1846|United States--Foreign Relations--Texas,"Message from the President of the United States, in relation to the boundary between the United States and the Republic of Texas, January 20, 1842.",eng,United States|Texas,reformatted digital|application/tif,1214433,[1842?],fedoraAdmin,,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/10/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/10/pages,F390 .U7 1842,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2022-08-25T15:37:55.081000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects,2022-08-25T15:37:55.081000+00:00,false,"Held in the Floyd and Louise Chapman Texas and Borderlands Collection at Cushing Memorial Library and Archives on the campus of Texas A and M University, College Station, Texas.|Date of object estimated by library to be 1842.",Text,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/10/pages/page_0/files/1214433.tif,,United States - President (1841-1845: Tyler)
Germans--Colonization--Texas--Maps|Texas--Colonies--Maps|Texas--Maps|Land grants--Texas--Maps|Texas--Emigration and immigration--Maps,"Karte von Texas, entworfen nach den Vermessungen welche in den Acten der General Land Office der Republic, liegen bis zum Jahr 1839",ger,Texas,application/tif|reformatted digital,5680176,1845?,fedoraAdmin,(W 101°--W 95°/N 34°--N 25°),https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/23/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/23/orderProxies,G4031.E1 1845 .A3,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2022-08-25T17:11:34.682000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects,2022-08-25T17:11:34.682000+00:00,false,"Date of object estimated by library to be 1845.|Held in the Floyd and Louise Chapman Texas and Borderlands Collection at Cushing Memorial Library and Archives on the campus of Texas A and M University, College Station, Texas.",Still Image,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/23/pages/page_0/files/5680176.tif,"Randel, Jesse F.|Hunt, Richard S.|Bourgeois d'Orvanne, Alexander|Fisher, Henry F.",Texas General Land Office|Adelsverein
"Mexico, Valley of (Mexico)--Maps--19th century|Texas--Maps--19th century|Veracruz (Veracruz-Llave, Mexico)--Maps--19th century|California--Maps--19th century|Acapulco (Mexico)--Maps--19th century|Mexico--Maps--19th century|Mexico--Maps|Texas--Maps|California--Maps",A new map of Mexico and adjacent provinces,eng,"California|Mexico|Mexico, Valley of (Mexico)|Veracruz (Veracruz-Llave, Mexico)|Texas|Acapulco (Mexico)",reformatted digital|application/tif,5897398,1810,fedoraAdmin,(W 131°--W 87°/N 41°--N 15°),https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/26/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/26/pages,G4410 1810 .A7,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2022-08-25T17:00:29.834000+00:00,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects,2022-08-25T17:00:29.834000+00:00,false,"Held in the Floyd and Louise Chapman Texas and Borderlands Collection at Cushing Memorial Library and Archives on the campus of Texas A and M University, College Station, Texas.",Still Image,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/26/pages/page_0/files/5879398_a.tif|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas_objects/26/pages/page_1/files/5879398_b.tif,,"Arrowsmith, Aaron, 1750-1823"
