dc_format,dcterms_spatial,ldp_contains,dc_rights,dcterms_abstract,dcterms_isPartOf,fedora_created,dc_contributor,fedora_lastModified,fedora_hasParent,dc_type,dc_title,dc_subject,dc_language,dcterms_extent,fedora_writable,dc_description,fedora_createdBy,dcterms_type,dc_creator,dcterms_created,fedora_lastModifiedBy,files
reformatted digital,"Washington (D. C.)|Cherokee Nation, Oklahoma",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/115/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/115/pages,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Envelope that contained the documents relating to the denial of the Sarah Hines et al. application for citizenship in the Cherokee Nation by the Commission to the Five Civilized Tribes. It is stamped ""Refused. Action approved by Secretary of the Interior, June 24,  1904.""","1/17: Reed, Betsy, R-404, and Sarah Hines, R-405. 1901, 1904",2025-08-14T18:07:54.571000+00:00,United States. Commission to the Five Civilized Tribes,2025-08-14T18:07:54.571000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Correspondence,Sarah Hines et al.: [Envelope for documents of a denied case for Cherokee Freedmen enrollment],"African Americans|Cherokee Indians--Tribal citizenship|Hines, Sarah|Freed persons",eng,1 envelope,false,"Typewritten on the envelope: ""Cherokee Freedmen R-405; See Cher. Fr. No. R 404.""",fedoraAdmin,Text,United States. Department of the Interior,1904-06-24,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/115/pages/page_0/files/1-17ReedBetsy_0001_0001.jp2
reformatted digital,"Cherokee Nation, Oklahoma|Washington (D. C.)",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/155/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/155/pages,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Envelope that contained the documents relating to the denial of Fannie Vann's application to be enrolled as a Cherokee Freedman by the Commission to the Five Civilized Tribes. It is stamped ""Refused. Action approved by Secretary of the Interior, May 20, 1904.""","1/26: Vann, Fannie, R-358. 1904",2025-08-14T18:10:17.309000+00:00,United States. Commission to the Five Civilized Tribes,2025-08-14T18:10:17.309000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Correspondence,Fannie Vann: [Envelope for documents of a denied case for Cherokee Freedmen enrollment],"African American women|African Americans|Cherokee Indians--Tribal citizenship|Freed persons|Vann, Fannie|Governmental investigations",eng,1 envelope,false,"Stamped at the top of the envelope: ""Cherokee Freedmen R-358.""",fedoraAdmin,Text,United States. Department of the Interior,1904-05-20,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/155/pages/page_0/files/1-26VannFannie_0001_0001.jp2
reformatted digital,"Texas--Rusk County|Oklahoma--Delaware District (Indian Territory)|Oklahoma--Vinita (Indian Territory)|Cherokee Nation, Oklahoma",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/132/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/132/pages,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","James M. Bell and Zeek Starr provide supplemental testimony on behalf of the applicants in the Parmelia Rowe et al. case for enrollment as Cherokee Freedmen. James M. Bell of Delaware District testifies that he knew ""Aunt"" Sallie Mayfield, the enslaver of Parmelia Rowe, in the Cherokee Nation before she moved to Texas in 1847, and that his father had moved to Rusk County, Texas, during the same year. He testifies that he did not know Parmelia Rowe or the names of any of the people who were enslaved by Sallie Mayfield. He testifies knowing Jess Rowe, who was formerly enslaved by George Starr and also came to Texas in 1847. Bell claims that Sallie Mayfield, Jess Rowe, and his father were all ""Cherokee by blood"" and have continuously resided in Texas. Zeek Starr, the son of George Starr, testifies that he was born in Texas in 1849, after his family had moved there, and that Jess, one of their enslaved persons, lived with them  there during the Civil War. He also testifies that he knew ""Aunt"" Sallie Mayfield in Texas and that his father was re-admitted as a Cherokee citizen after returning to the Cherokee Nation after the war.","1/20: Rowe Family. Joseph (R-360, D-1016), Parmelia (R-361, D-681). 1901, 1903-1904",2025-08-14T18:09:03.526000+00:00,"Smith, Edgar|Starr, Zeek|Von Weise, Chas.|Davenport, James S., 1864-1940|Bell, James M.|Needles, T. B. (Thomas. B.), 1835-1914",2025-08-14T18:09:03.526000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Interviews,"In the matter of the application of Parmelia Rowe, C. F. D. 681: Supplemental testimony, Department of the Interior, Commission to the Five Civilized Tribes, Vinita, I. T., October 15th, 1901","Governmental investigations|Children of freed persons|African American women|American Civil War (United States : 1861-1865)|African Americans|Rowe, Parmelia|Cherokee Indians--Tribal citizenship|Freed persons|Indian slaveholders|Migration, Internal--Southern States|Enslaved persons",eng,4 pages,false,"""File with the case of Parmelia Rowe et al., 681.""|Interviewers: James S. Davenport (Attorney for the Cherokee Nation), Edgar Smith (Attorney for the applicant, from the firm, Mellette & Smith), T. B. Needles (Commissioner); Interviewees: James M. Bell, Zeek Starr; Stenographer: Chas. Von Weise",fedoraAdmin,Text,United States. Commission to the Five Civilized Tribes,1901-10-15,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/132/pages/page_0/files/1-20RoweFamily_0006_0001.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/132/pages/page_1/files/1-20RoweFamily_0006_0002.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/132/pages/page_2/files/1-20RoweFamily_0006_0003.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/132/pages/page_3/files/1-20RoweFamily_0006_0004.jp2
reformatted digital,"Cherokee Nation, Oklahoma|Washington (D. C.)",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/65/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/65/orderProxies,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","In this letter, A.C. Tonner,  the Acting Commissioner of the Office of Indian Affairs presents a report from the Commission to the Five Civilized Tribes to the U.S. Secretary of the Interior, dated March 15, 1904. He describes the reasons behind the Commission's decision to reject the Cherokee Freedmen application for Jesse Hicks and his son (William Hicks""). It describes how Hicks, who was formerly enslaved by a Cherokee citizen, left the Cherokee Nation during the Civil War, returning to it in 1867, only to relocate to Kansas for the next twenty ears.  In the meantime, his son, born in 1887, is declared to have ""no right as a Cherokee Freedman except as derived from his father.""  The letter ends with a recommendation of this decision.","1/9: Hicks, Jesse, R-417. 1904, 1906",2025-08-14T18:14:41.729000+00:00,"Tonner, A. C.",2025-08-14T18:14:41.729000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Correspondence,"[Jesse Hicks et al. case]: Letter from A. C. Tonner, Acting Commissioner to the Office of Indian Affairs to the Secretary of the Interior, Washington, June 10, 1904","Children of freed persons|Hicks, William|American Civil War (United States : 1861-1865)|African Americans|Cherokee Indians--Tribal citizenship|United States. Commission to the Five Civilized Tribes|Hicks, Jesse|Freed persons|Migration, Internal--Southern States|Governmental investigations",eng,1 page,false,"At top of document: ""Refer in reply to the following: Land. 18424-1904.; Copy?""",fedoraAdmin,Text,United States. Office of Indian Affairs,1904-06-10,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/65/pages/page_0/files/1-9_Hicks_Jesse_0004_0002.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/65/pages/page_1/files/1-9_Hicks_Jesse_0004_0001.jp2
reformatted digital,"Arkansas--Fort Smith|Oklahoma--Vinita (Indian Territory)|Cherokee Nation, Oklahoma",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/90/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/90/pages,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Testimony of Ruth Hunt, a Cherokee Freedman from Vinita on behalf of Martha Albert and her children for membership in the Cherokee Nation. Ruth testifies that she spent the Civil War in Fort Smith, Arkansas, and that Martha's husband worked for her family in 1867 after she returned to the Cherokee Nation. Also includes the testimonies of Emma Finley, the sister of Ruth Hunt, from Tahlequah Territory, and Harry Still, a Cherokee Freedman and former enslaved person. According to his testimony, Harry Still had been previously enslaved by George Whitmire, the brother of Johnson Whitmire, Martha Albert's former enslaver.","1/12: Knalls, Lula, et al., R-420. 1901, 1905",2025-08-14T18:17:06.374000+00:00,"Rosson, J. O. (John O.)|Still, Harry|Hastings, William Wirt, 1866-1938|Needles, T. B. (Thomas. B.), 1835-1914|Finley, Emma|Hunt, Ruth|McRea, A. S.",2025-08-14T18:17:06.374000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Interviews,"[Martha Albert et al. case testimonies]: Supplemental Testimony F.-D.#42: Department of the Interior, Commission to the Five Civilized Tribes, Vinita, I. T., May 21, 1901 [2 copies]","Children of freed persons|African American women|Albert, Martha|American Civil War (United States : 1861-1865)|African Americans|Cherokee Indians--Tribal citizenship|Indian slaveholders|Freed persons|Migration, Internal--Southern States|Enslaved persons|Governmental investigations",eng,5 pages (2 copies),false,"""To be filed with case of Lula Knalls, et al., C.F.D.#100.""|Interviewers: A. S. McRea (Attorney for applicants), W. W. Hastings (Cherokee Representative), T. B. Needles (Commissioner); Interviewees: Ruth Hunt, Emma Finley, Harry Still; Stenographer: J. O. Rosson",fedoraAdmin,Text,United States. Commission to the Five Civilized Tribes,1901-05-21,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/90/pages/page_0/files/1-12_Knalls_Lula_0011_0001.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/90/pages/page_1/files/1-12_Knalls_Lula_0011_0002.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/90/pages/page_2/files/1-12_Knalls_Lula_0011_0003.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/90/pages/page_3/files/1-12_Knalls_Lula_0011_0004.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/90/pages/page_4/files/1-12_Knalls_Lula_0011_0005.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/90/pages/page_5/files/1-12_Knalls_Lula_0011_0006.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/90/pages/page_6/files/1-12_Knalls_Lula_0011_0007.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/90/pages/page_7/files/1-12_Knalls_Lula_0011_0008.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/90/pages/page_8/files/1-12_Knalls_Lula_0011_0009.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/90/pages/page_9/files/1-12_Knalls_Lula_0011_0010.jp2
reformatted digital,"Cherokee Nation, Oklahoma|Oklahoma--Sequoyah District (Indian Territory)|Oklahoma--Fort Gibson (Indian Territory)",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/82/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/82/orderProxies,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Testimony of Lula Knalls on behalf of herself and her three children for enrollment as Cherokee Freedmen. Martha Albert, her aunt, also serves as a witness during this hearing. Lula is the daughter of ""Jenny Barnes"" and the half-sister of Robert Barnes. Although Lula claims to have lived in the Cherokee Nation (on ""Lee's Creek"" and in the Sequoyah District) during her entire life, she cannot be identified on the census rolls of 1880 or 1896, or on the Kerns-Clifton roll. The decision is made to list Lula, as well as her daughter Sarah French and her son, Fred E. Knalls, on a ""doubtful card"" for further consideration. Meanwhile, her oldest son, Frank Gardner, who was twenty-two years old at the time, would be required to apply separately on his own behalf.","1/12: Knalls, Lula, et al., R-420. 1901, 1905",2025-08-14T18:16:00.857000+00:00,"Albert, Martha|Von Weise, Chas.|Knalls, Lula|Breckinridge, Clifton Rodes, 1846-1932|Hastings, William Wirt, 1866-1938",2025-08-14T18:16:00.857000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Interviews,"[Lula Knalls et al. case testimonies]: Department of the Interior, Commission to the Five Civilized Tribes, Fort Gibson, I. T., April 18, 1901","Freed persons|Knalls, Lula|Governmental investigations|Cherokee Indians--Census, 1896|Knalls, Fred E.|Gardner, Frank|Children of freed persons|Cherokee Indians--Census, 1880|African American women|African Americans|Cherokee Indians--Tribal citizenship|French, Sarah",eng,4 pages,false,"Interviewers: Clifton R. Breckinridge (Commissioner), W. W. Hastings (Attorney for the Cherokee Nation); Interviewees: Lula Knalls, Martha Albert|Signed by Clifton R. Breckinridge and Chas. Von Weise (the stenographer).",fedoraAdmin,Text,United States. Commission to the Five Civilized Tribes,1901-04-18,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/82/pages/page_0/files/1-12_Knalls_Lula_0003_0001.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/82/pages/page_1/files/1-12_Knalls_Lula_0003_0002.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/82/pages/page_2/files/1-12_Knalls_Lula_0003_0003.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/82/pages/page_3/files/1-12_Knalls_Lula_0003_0004.jp2
reformatted digital,"Oklahoma--Nowata (Indian Territory)|Oklahoma--Muskogee (Indian Territory)|Cherokee Nation, Oklahoma",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/92/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/92/orderProxies,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","The official decision of the Commission to the Five Civilized Tribes to deny the application of John May and his children (Sophia, Ettie, Minnie, Elmer and Idella May) for enrollment as Cherokee Freedmen. It states that he may have appeared before the Commission on June 24, 1901 in Nowata, Indian Territory in order to testify.  The evidence shows that he was formerly enslaved by a Cherokee citizen and left the Cherokee Nation during the Civil War, but did not return within the required timeframe, as decreed in the case of ""Moses Whitmire, trustee, etc. vs. the Cherokee Nation et al."" in 1896. None of the applicants were identified in the ""authenticated"" 1880 Cherokee tribal roll. It was decided to deny this case according to provisions in the Curtis Act, approved by Congress on June 28, 1898.","1/13: May, John, D-328. 1904",2025-08-14T18:16:55.335000+00:00,"Bixby, Tams, 1854-1922|Breckinridge, Clifton Rodes, 1846-1932|Needles, T. B. (Thomas. B.), 1835-1914|Stanley, W. E.",2025-08-14T18:16:55.335000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Correspondence,"Decision : in the matter of the application for the enrollment of John May and his minor children, Sophia, Ettie, Minnie, Elmer, Idella and Nellie May, as Cherokee Freedmen","Children of freed persons|Cherokee Indians--Census, 1880|May, John|American Civil War (United States : 1861-1865)|African Americans|Cherokee Indians--Tribal citizenship|Migration, Internal--Southern States|Freed persons|United States. Curtis Act|Governmental investigations|Cherokee Indians--Census, 1896|Cherokee Indians--Legal status, laws, etc.",eng,2 pages with a larger blue sheet of paper that was attached to the document,false,"""Cherokee Freedmen D 828.""|Stamped with the signatures of the Commissioners to the Five Civilized Tribes: Tams Bixby, T.B. Needles, C.R. Breckinridge, W.E. Stanley.",fedoraAdmin,Text,United States. Commission to the Five Civilized Tribes,1904-03-11,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/92/pages/page_0/files/1-13MayJohn_0001_0002.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/92/pages/page_1/files/1-13MayJohn_0001_0003.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/92/pages/page_2/files/1-13MayJohn_0001_0001.jp2
reformatted digital,"Cherokee Nation, Oklahoma|Washington (D. C.)",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/80/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/80/pages,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Envelope that contained the documents relating to the denial of the Lula Knalls et al. application for citizenship in the Cherokee Nation by the Commission to the Five Civilized Tribes. It is stamped ""Refused. Action approved by Secretary of the Interior, Jun 21,  1904.""","1/12: Knalls, Lula, et al., R-420. 1901, 1905",2025-08-14T18:15:45.325000+00:00,United States. Commission to the Five Civilized Tribes,2025-08-14T18:15:45.325000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Correspondence,Lula Knalls et al.: [Envelope for documents of a denied case for Cherokee Freedmen enrollment],"Knalls, Lula|Governmental investigations|Children of freed persons|African American women|African Americans|Cherokee Indians--Tribal citizenship|Freed persons",eng,1 envelope,false,"Handwritten in red ink: ""See Cherokee Freedmen...Nos. R418, R419 & R421 to R431...""|Stamped on the envelope: ""Cherokee Freedmen, R 420""",fedoraAdmin,Text,United States. Department of the Interior,1904-06-21,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/80/pages/page_0/files/1-12_Knalls_Lula_0001_0001.jp2
reformatted digital,"Oklahoma--Muskogee (Indian Territory)|Cherokee Nation, Oklahoma|Oklahoma--Vian (Indian Territory)|Arkansas--Fort Smith",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/14/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/14/orderProxies,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Letter from Tams Bixby, the Commissioner of the Five Civilized Tribes to Henry Albert of Vian Indian Territory. The letter informs him of the denial of his Cherokee Freedmen application for himself and his children, Harry, Raymond, and Lewey Albert. It also informs him that a copy of the Commissioner's decision has been sent to his attorneys, Neal and London of Fort Smith, Arkansas.","1/1: Albert, Henry, et al., R-421. 1901,1905",2025-08-14T18:09:19.564000+00:00,"Bixby, Tams, 1854-1922",2025-08-14T18:09:19.564000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Correspondence,"[Henry Albert et al. case]: Letter from Tams Bixby, Chairman to the Commission to the Five Civilized Tribes, to Henry Albert, July 24, 1905","Albert, Henry|Cherokee Indians--Tribal citizenship|Albert, Lewey|Freed persons|Governmental investigations|Albert, Raymond|Children of freed persons|Albert, Harry|African American women|African Americans",eng,1 page,false,"The letter is addressed from ""Muskogee, Indian Territory.""|""COPY"" is stamped at the top of the page.|""Incl. B-27.""|Cherokee Freedman, R-421.""",fedoraAdmin,Text,United States. Commission to the Five Civilized Tribes,1905-07-24,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/14/pages/page_0/files/1-1_Albert_Henry_0013_0001.jp2
reformatted digital,"Washington (D. C.)|Cherokee Nation, Oklahoma",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/44/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/44/pages,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Envelope that contained documents relating to the denial of Mary A. Suagee's application for citizenship in the Cherokee Nation by the Commission to the Five Civilized Tribes. It is stamped ""Refused. Action approved by Secretary of the Interior, Feb 28, 1902.""","1/5: Brown Family. Charles (D-952, R-400), Charles Jr. (D-954, R-401), John (D-965, R-402), Suagee, Mary (R-403). 1901, 1906",2025-08-14T18:13:38.254000+00:00,United States. Commission to the Five Civilized Tribes,2025-08-14T18:13:38.254000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Correspondence,Mary A. Suagee: [Envelope for documents of a denied case for Cherokee Freedmen enrollment],"Suagee, Mary A.|African American women|African Americans|Cherokee Indians--Tribal citizenship|Freed persons|Governmental investigations",eng,1 envelope,false,"The envelope is stamped: ""Cherokee, R-403.""",fedoraAdmin,Text,United States. Department of the Interior,1902-02-28,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/44/pages/page_0/files/1-5BrownFamily_0001_0002.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/44/pages/page_1/files/1-5BrownFamily_0001_0003.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/44/pages/page_2/files/1-5BrownFamily_0001_0004.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/44/pages/page_3/files/1-5BrownFamily_0001_0005.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/44/pages/page_4/files/1-5BrownFamily_0001_0006.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/44/pages/page_5/files/1-5BrownFamily_0001_0007.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/44/pages/page_6/files/1-5BrownFamily_0001_0008.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/44/pages/page_7/files/1-5BrownFamily_0001_0001.jp2
