fedora_created,fedora_hasParent,dcterms_created,dc_type,tamudigital_local/details,ldp_contains,dc_subject,dcterms_extent,fedora_writable,fedora_lastModifiedBy,dc_title,dc_identifier,fedora_lastModified,dc_rights,dcterms_medium,dcterms_accessRights,dc_publisher,fedora_createdBy,dcterms_type,dc_format,files,dc_creator,dcterms_spatial,dc_relation,dc_contributor
2020-11-09T20:45:45.965000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects,1780 [?],Gold gilt papers|art reproduction,"Surface application; Printed; P4.D6.F1; Overall pattern depicts 2 rows of 4 saints each; gold over red paste background; ""Ecce homo St. Joseph; Sta Maria; Jesus Christus; St. Petrus; St. Matthaeus; St. Simon; St. Sebastian""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H.1.d.1; Not signed. Not stamped.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/40/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/40/pages,Decorative paper,"1 sheet of red, gold and off-white Dutch gilt paper; 13.25 x 15.75 in.",false,fedoraAdmin,Berger-Cloonan #12280,12280,2020-11-09T20:45:45.965000+00:00,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Paper,Openly accessible,Texas A & M University. Libraries,fedoraAdmin,StillImage,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/40/pages/page_0/files/12280.jpg,,,,
2020-11-09T20:44:47.322000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects,Circa 1790,Gold gilt papers|art reproduction|Laid lines,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F1; Overall pattern of floral and fruit design; gold stamped over orange and blue diamond; 4 borders; laid paper; Contained in clear plastic sleeve with #12289; Not in Haemmerle; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Margolis and Moss Books in Santa Fe, New Mexico circa 2004.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d.1; Not signed. Not stamped.; Center fold line",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/50/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/50/orderProxies,Decorative paper,"1 sheet of orange, blue, yellow, gold and off-white Dutch gilt paper; 14.00 x 16.50 in.",false,fedoraAdmin,Berger-Cloonan #12290,12290,2020-11-09T20:44:47.322000+00:00,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Paper,Openly accessible,Texas A & M University. Libraries,fedoraAdmin,StillImage,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/50/pages/page_0/files/12290.jpg,"Reymund, Paul",,,
2020-11-09T20:45:45.144000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects,1782,Gold gilt papers|art reproduction|Laid lines,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F1; Overall pattern depicts 6 rows of various soldiers, farmers, carriages, etc.; pale green paste background; 4 light borders; laid paper; Inscription original piece: ""1782 in Augspurg bei Johann Carl Munck No. 22""; Contained in clear plastic sleeve along with another sheet of Dutch gilt; See Haemmerle #224; Sidney E. Berger and Michele V. Cloonan purchased the sheet at the Los Angeles County Book Fair on 02/14/1998.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d.1; Not signed. Stamped.; Center fold line; stains on recto and verso; creased; most gold missing",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/37/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/37/orderProxies,Decorative paper,1 sheet of light green and off-white Dutch gilt paper; 13.50 x 16.75 in.,false,fedoraAdmin,Berger-Cloonan #12277,12277,2020-11-09T20:45:45.144000+00:00,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Paper,Openly accessible,Texas A & M University. Libraries,fedoraAdmin,StillImage,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/37/pages/page_0/files/12277.jpg,"Munck, Johann Carl","Augsburg, Germany",,
2020-11-09T20:46:01.692000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects,Circa 1775 [?],art reproduction|Gold gilt papers|Laid lines,Distribution of fibers; Surface application; Laid; Printed; P4.D6.F1; Overall pattern with 4 rows of 8 saints each; gold over teal blue paste; 4 borders; laid paper; Contained in clear plastic sleeve; See Haemmerle #657a anonymous; Sidney E. Berger and Michele V. Cloonan purchased the sheet.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d.1; Not signed. Not stamped.; Center fold line,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/55/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/55/pages,Decorative paper,"1 sheet of teal blue, gold and off-white Dutch gilt paper; 13.50 x 15.50 in.",false,fedoraAdmin,Berger-Cloonan #12298,12298,2020-11-09T20:46:01.692000+00:00,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Paper,Openly accessible,Texas A & M University. Libraries,fedoraAdmin,StillImage,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/55/pages/page_0/files/12298.jpg,,,,
2020-11-09T20:45:26.217000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects,18th century-19th century,Stormont marbled papers|art reproduction,"Surface application; Marbled; M4.D1.F6; Previously used as an endpaper in a bookbinding; Inscription original piece: ""Gloucester, probably late 18, early 19th c."", ""7."", ""542/ 4 rok""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.g; Not signed. Not stamped. Stickered. Not embossed.; Portion of identifying sticker missing",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/24/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/24/pages,Marbled papers,"1 sheet of blue, yellow, green, black, pink and white marbled paper; 9.00 x 15.00  in.",false,fedoraAdmin,Gloucester (Berger-Cloonan #1524),1524,2020-11-09T20:45:26.217000+00:00,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Paper,Openly accessible,Texas A & M University. Libraries,fedoraAdmin,StillImage,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/24/pages/page_0/files/01524.jpg,,,,
2020-11-09T20:45:25.679000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects,19th century,art reproduction|nonpareil marbled paper|Non pareil marbled papers,Surface application; Marbled; M4.D1.F6; Previously used as an endpaper in a bookbinding; heavy weight paper; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped. Not stickered. Not embossed.; Slightly torn along edges,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/22/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/22/orderProxies,Marbled papers,"1 sheet of red, blue, black, yellow and white marbled paper; 5.75 x 9.00 in.",false,fedoraAdmin,Berger-Cloonan #1522,1522,2020-11-09T20:45:25.679000+00:00,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Paper,Openly accessible,Texas A & M University. Libraries,fedoraAdmin,StillImage,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/22/pages/page_0/files/01522.jpg,,,,
2020-11-09T20:45:06.582000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects,19th century,Non pareil marbled papers|art reproduction|nonpareil marbled paper,Surface application; Marbled; M4.D1.F6; Previously used as an endpaper in a bookbinding; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped. Not stickered. Not embossed.,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/8/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/8/orderProxies,Marbled papers,"1 sheet of yellow, blue, maroon and white marbled paper; 5.25 x 8.50 in.",false,fedoraAdmin,Berger-Cloonan #1504,1504,2020-11-09T20:45:06.582000+00:00,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Paper,Openly accessible,Texas A & M University. Libraries,fedoraAdmin,StillImage,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/8/pages/page_0/files/01504.jpg,,,,
2020-11-09T20:44:26.203000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects,19th century,Non pareil marbled papers|art reproduction|nonpareil marbled paper,Surface application; Marbled; M4.D1.F6; Previously used as an endpaper in a bookbinding; heavy weight paper; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped. Not stickered. Not embossed.; Small tear along edge,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/16/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/16/orderProxies,Marbled papers,"1 sheet of maroon, blue, black, brown, yellow and white marbled paper; 5.50 x 8.25  in.",false,fedoraAdmin,Berger-Cloonan #1516,1516,2020-11-09T20:44:26.203000+00:00,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Paper,Openly accessible,Texas A & M University. Libraries,fedoraAdmin,StillImage,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/16/pages/page_0/files/01516.jpg,,,,
2020-11-09T20:44:47.546000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects,19th century,art reproduction|Oil on water marbled papers,Surface application; Marbled; M5.D3.F9; Glossy finish; striking colors; Frederik Muller donated the sheet to Sidney E. Berger and Michele V. Cloonan in 2008.  Sidney E. Berger met Frederik Muller at the Antiquarian Booksellers Association of America (ABAA) Book Fair in Boston that same year.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.f; Not signed. Not stamped.; Marbling color on  side edges on verso; creased; torn; wrinkled; black marks on verso,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/32/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/32/orderProxies,Marbled papers,"1 sheet of blue, black and cream marbled paper; 20.00 x 29.50 in.",false,fedoraAdmin,Berger-Cloonan #11378,11378,2020-11-09T20:44:47.546000+00:00,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Paper,Openly accessible,Texas A & M University. Libraries,fedoraAdmin,StillImage,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/32/pages/page_0/files/11378.jpg,,,M5.D3.F9.A,
2020-11-09T20:44:46.981000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects,1785 [?],art reproduction|Gold gilt papers,"Surface application; Printed; P4.D6.F1; Overall pattern depicts 4 rows of 8 saint each; gold over deep purple paste background; Inscription original piece: ""PAUL REYMUND IN NURNBERG""; Contained in clear plastic sleeve along with another sheet of Dutch gilt; See Haemmerle #348; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Carta Pura in Munich, Germany in 10/2011.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H.1.d.1; Not signed. Stamped.; Paste on verso",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/42/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/42/pages,Decorative paper,"1 sheet of dark purple, gold and light gray Dutch gilt paper; 14.00 x 16.75 in.",false,fedoraAdmin,Berger-Cloonan #12282,12282,2020-11-09T20:44:46.981000+00:00,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Paper,Openly accessible,Texas A & M University. Libraries,fedoraAdmin,StillImage,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-07-30_objects/42/pages/page_0/files/12282.jpg,"Reymund, Paul","Nuremberg, Germany",,
