dcterms_accessRights,dc_type,fedora_createdBy,fedora_hasParent,dcterms_type,dcterms_medium,fedora_writable,dc_title,dc_rights,ldp_contains,dc_identifier,dc_publisher,dcterms_created,fedora_created,dcterms_extent,dc_subject,fedora_lastModified,tamudigital_local/details,fedora_lastModifiedBy,dc_format,files,dc_relation,dcterms_spatial,dc_contributor,dc_creator
Openly accessible,Stormont marbled papers|Laid lines|art reproduction,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects,StillImage,Paper,false,Berger-Cloonan #6844,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/380/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/380/orderProxies,6844,Texas A & M University. Libraries,19th century,2020-07-30T21:56:13.139000+00:00,"1 sheet of black, light purple and white marbled paper; 4.00 x 5.75 in.",Marbled papers,2020-07-30T21:56:13.139000+00:00,Distribution of fibers; Surface application; Laid; Marbled; C2.B2; Previously used as an endpaper in a bookbinding; laid paper; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.4.g; Not signed. Not stamped.; Slightly rough binding edge; faded edges on verso; musty odor,fedoraAdmin,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/380/pages/page_0/files/06844.jpg,,,,
Openly accessible,combed marbled papers|art reproduction,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects,StillImage,Paper,false,Berger-Cloonan #6960,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/492/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/492/orderProxies,6960,Texas A & M University. Libraries,19th century,2020-07-30T21:53:15.803000+00:00,"1 sheet of dark red, green, black, tan and white marbled paper; 4.50 x 12.75 in.",Marbled papers,2020-07-30T21:53:15.803000+00:00,Surface application; Marbled; C2.B3; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1; Not signed. Not stamped.; Abrasion; musty odor,fedoraAdmin,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/492/pages/page_0/files/06960.jpg,,,,
Openly accessible,Stormont marbled papers|art reproduction,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects,StillImage,Paper,false,Berger-Cloonan #6861,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/397/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/397/orderProxies,6861,Texas A & M University. Libraries,19th century,2020-07-30T21:36:46.087000+00:00,"1 sheet of blue, green, red, yellow, black  and white marbled paper; 4.00 x 6.75 in.",Marbled papers,2020-07-30T21:36:46.087000+00:00,Surface application; Marbled; C2.B2; Previously used as an endpaper in a bookbinding; Semi-glossy finish; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.g; Not signed. Not stamped.; Yellowed and stained on verso; wrinkling; irregular binding edge; musty odor,fedoraAdmin,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/397/pages/page_0/files/06861.jpg,,,,
Openly accessible,art reproduction|curl marbled paper|Bouquet marbled papers,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects,StillImage,Paper,false,Berger-Cloonan #6670,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/340/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/340/orderProxies,6670,Texas A & M University. Libraries,19th century,2020-07-30T21:35:26.659000+00:00,"1 sheet of red, blue, green, white and tan marbled paper; 5.25 x 8.00 in.",Marbled papers,2020-07-30T21:35:26.659000+00:00,"Surface application; Marbled; C2.B1; Previously used as an endpaper in a bookbinding; semi-glossy finish; Inscription on original piece: ""[(?)] r4""; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.a; Not signed. Not stamped.; Deep corner crease; edge tear; uneven binding edge; musty odor",fedoraAdmin,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/340/pages/page_0/files/06670.jpg,,,,
Openly accessible,Zebra marbled papers|art reproduction,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects,StillImage,Paper,false,Berger-Cloonan #12851,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/911/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/911/pages,12851,Texas A & M University. Libraries,19th century,2020-07-30T21:54:35.017000+00:00,"1 sheet of black, green, pink, yellow, light gray and white marbled paper; 7.75 x 9.50 in.",Marbled papers,2020-07-30T21:54:35.017000+00:00,Surface application; Marbled; C2.B1; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.i; Not signed. Not stamped.; Small abrasion on recto; staining on verso; rough binding edge; musty odor,fedoraAdmin,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/911/pages/page_0/files/12851.jpg,,,,
Openly accessible,curl marbled paper|French snail marbled papers|dutch marbled paper|art reproduction,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects,StillImage,Paper,false,Berger-Cloonan #8254,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/678/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/678/orderProxies,8254,Texas A & M University. Libraries,19th century,2020-07-30T21:50:56.345000+00:00,"1 sheet of blue, red, yellow, green and white marbled paper; 7.75 x 10.00 in.",Marbled papers,2020-07-30T21:50:56.345000+00:00,Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.c; Not signed. Not stamped.; Torn; discolored; holes; musty odor,fedoraAdmin,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/678/pages/page_0/files/08254.jpg,,,,
Openly accessible,Non pareil marbled papers|nonpareil marbled paper|art reproduction,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects,StillImage,Paper,false,Berger-Cloonan #8234,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/658/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/658/orderProxies,8234,Texas A & M University. Libraries,19th century,2020-07-30T21:41:25.615000+00:00,"1 sheet of dark red, black and white marbled paper; 5.50 x 8.00 in.",Marbled papers,2020-07-30T21:41:25.615000+00:00,Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped.; Musty odor,fedoraAdmin,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/658/pages/page_0/files/08234.jpg,,,,
Openly accessible,Laid lines|nonpareil marbled paper|art reproduction|Non pareil marbled papers,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects,StillImage,Paper,false,Berger-Cloonan #8283,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/707/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/707/orderProxies,8283,Texas A & M University. Libraries,18th century [?],2020-07-30T21:42:18.813000+00:00,"1 sheet of red, blue, green, yellow and white marbled paper; 8.75 x 11.00 in.",Marbled papers,2020-07-30T21:42:18.813000+00:00,"Distribution of fibers; Surface application; Laid; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; Laid paper; Inscription on original piece: ""[42? /-/-""- [written on pencil on verso];""T[r Dalyn Sale""; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated these sheets to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.1.e; Not signed. Not stamped.; Very faded; minor spots and discoloration; creased; one rough edge; musty odor",fedoraAdmin,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/707/pages/page_0/files/08283.jpg,,,,
Openly accessible,art reproduction|Gold gilt papers|Laid lines,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects,StillImage,Paper,false,Berger-Cloonan #12294,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/808/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/808/pages,12294,Texas A & M University. Libraries,Circa 1826,2020-07-30T21:54:12.846000+00:00,"1 sheet of teal blue, gold and off-white Dutch gilt paper; 13.25 x 15.50 in.",Decorative paper,2020-07-30T21:54:12.846000+00:00,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F1; Overall pattern with 30 wild and tamed animals; gold over teal blue paste; 4 borders; laid paper; Inscription on original piece: ""G. N. RENNER & ABEL""; Contained in clear plastic sleeve; See Haemmerle #385 notes on white paper; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Andreas Mueller in Potsdam, Germany in 2012.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d.1; Not signed.   Stamped.; Center fold line",fedoraAdmin,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/808/pages/page_0/files/12294.jpg,,,,
Openly accessible,Non pareil marbled papers|art reproduction,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects,StillImage,Paper and leather,false,Berger-Cloonan #10297,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/770/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/770/orderProxies,10297,Texas A & M University. Libraries,19th century [?],2020-07-30T21:43:41.947000+00:00,"1 dark red, blue, yellow and white marbled paper and brown leather bookcover; 5.50 x 8.75 in.",Marbled papers,2020-07-30T21:43:41.947000+00:00,Surface application; Marbled; P1.D4.F3; Half bound with marbled paste-down; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped.; Cover cracked and paste-down creased; abraded; edges scuffed; discolored; fragile,fedoraAdmin,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_public_domain-2020-07-30_objects/770/pages/page_0/files/10297.jpg,P1.D4.F3.A,,,
