dc_format,fedora_hasParent,dcterms_created,fedora_created,tamudigital_local/details,dc_rights,dcterms_isPartOf,dcterms_spatial,fedora_writable,dc_abstract,dcterms_extent,fedora_lastModified,dc_subject,ldp_contains,dc_description,dcterms_type,dc_type,dc_title,fedora_lastModifiedBy,fedora_createdBy,files,dc_publisher,dc_creator
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1925?,2021-06-10T20:07:08.474000+00:00,Picture Files Bryan Early-1986 #49,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,"Photograph of the A&M Kountry Store on Armstrong's Day, the store features advertisements for Emerald-Oil and Cooklite. A shows pavilion has ovens provided by Texas Power & Light Company and tables from East Side Furniture Company on display.",1 photograph; 20 x 25 cm,2021-06-15T15:05:41.627000+00:00,General stores|Texas--Bryan,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/26/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/26/orderProxies,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Photographs,"[A&M Country Store, Armstrong's Day]",fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/26/pages/page_0/files/bryanscene49.tif,,
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1927,2021-06-10T20:05:34.433000+00:00,Picture Files Bryan Early-1986 #26,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,Photography of the J.W. Howell residence which was located at the intersection of what is now 29th Street and Texas Avenue. The Howell house was razed in the 1960s to make room for the City National Bank building.  Otis Instruments occupies the site today.,1 photograph; 10 x 15 cm,2021-06-10T20:05:34.433000+00:00,"Homes|Texas--Bryan|Two-story houses|Howell, J. W.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/20/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/20/pages,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Photographs,[Residence of J.W. Howell],fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/20/pages/page_0/files/bryanscene26.tif,Fox Co.,
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1912?,2021-06-10T20:04:08.806000+00:00,Picture Files Bryan Early-1986 #17,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,"The Opera House, later called the Palace Theater, was built in 1910. The theater's roof collapsed in 1987, in the early 1990s the Lyle Loveet used the stage as the setting for his music video to ""This Old Porch."" The city renovated the site in the late 1990s to become the outdoor venue it is today.",1 postcard; 9 x 14 cm,2021-06-10T20:04:08.806000+00:00,Texas--Bryan|Theaters,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/14/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/14/pages,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Postcards,"Opera House, Bryan, Tex.",fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/14/pages/page_0/files/bryanscene17.tif,E.C. Kropp Co.,
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1919,2021-06-10T20:07:36.894000+00:00,Picture Files Bryan Early-1986 #7,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,H.K. Baker Collection,"Bryan, Texas",false,"Texas A&M College Corps of Cadets gathered on Main Street, Bryan in honor of Armistice Day. David Reid Groceries and Market can be seen in the background.",1 photograph; 9 x 15 cm,2021-06-10T20:07:36.894000+00:00,Texas--Bryan|Central business districts|Agricultural and Mechanical College of Texas. Corps of Cadets|Armistice Day,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/6/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/6/pages,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Photographs,"[TAMC Corps gathered on Armistice Day, Main Street, Bryan]",fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/6/pages/page_0/files/bryanscene7.tif,,
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1919,2021-06-10T20:02:57.203000+00:00,Picture Files Bryan Early-1986 #6,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,"Texas A&M College Corps of Cadets marching down Main Street, Bryan in honor of Armistice Day. David Reid Groceries and Market can be seen in the background.","1 photograph; 11 x 15 cm, mounted on sheet 13 x 18 cm",2021-06-10T20:02:57.203000+00:00,Texas--Bryan|Central business districts|Agricultural and Mechanical College of Texas. Corps of Cadets|Armistice Day,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/5/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/5/pages,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Photographs,"[TAMC Corps March on Armistice Day, Main Street, Bryan]",fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/5/pages/page_0/files/bryanscene6.tif,,
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1920?,2021-06-10T20:03:25.812000+00:00,Picture Files Bryan Early-1986 #12,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,Methodist Church located at 506 East 28th St.,"1 postcard, color; 9 x 14 cm",2021-06-10T20:03:25.812000+00:00,Methodist church buildings|Church buildings|Texas--Bryan,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/11/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/11/orderProxies,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Postcards,"Methodist Church, Bryan, Texas.",fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/11/pages/page_0/files/bryanscene12.tif,The Albertype Co.,
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1920?,2021-06-10T20:06:19.870000+00:00,Picture Files Bryan Early-1986 #33,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,Methodist Church located at 506 East 28th St.,1 photograph; 20 x 25 cm,2021-06-10T20:06:19.870000+00:00,Methodist church buildings|Texas--Bryan|Church buildings,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/23/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/23/pages,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Photographs,"[Methodist Church, Bryan, Texas]",fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/23/pages/page_0/files/bryanscene33.tif,,White Rose Studio and Gift Shop
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1910?,2021-06-10T20:04:51.500000+00:00,Picture Files Bryan Early-1986 #21,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Foy Collection,"Bryan, Texas",false,Photograph of unidentified building with a buggy and boy on horseback in front. Building has two floors with a dome and what appears to be a statue of a man on top. Building is apparently made of rough hewed stone blocks and features a porch at each of the two corners that appear in the photo.,1 photograph; 3 x 2 cm,2021-06-10T20:04:51.500000+00:00,Stone buildings|Horse-drawn vehicles|Texas--Bryan,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/17/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/17/orderProxies,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Photographs,[Unidentified building with buggy and boy on horse],fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/17/pages/page_0/files/bryanscene21.tif,,
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1955?,2021-06-10T20:03:11.537000+00:00,Picture Files Bryan Early-1986 #11,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,"St. Andrew's Church, West 26th St. at Parker. ""The Rev. H.W. Reeves, Rector.",1 postcard; 9 x 14 cm,2021-06-10T20:03:11.537000+00:00,Anglican church buildings|Texas--Bryan|Church buildings,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/10/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/10/pages,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Postcards,St. Andrew's Episcopal Church,fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/10/pages/page_0/files/bryanscene11.tif,Curteich-Chicago,
reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects,1925?,2021-06-10T20:06:03.468000+00:00,Picture Files Bryan Early-1986 #28,No copyright - Non-commercial use only; http://rightsstatements.org/vocab/NoC-NC/1.0/,Bryan Scenes,"Bryan, Texas",false,"Photograph of the Villa Maria Ursuline Academy, located at 2400 Osborn Ln. The academy was opened in 1901 and closed in 1929.",1 photograph; 12 x 17 cm,2021-06-10T20:06:03.468000+00:00,Texas--Bryan|School buildings|Catholic schools|Ursulines,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/22/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/22/pages,"Held in the Bryan Scenes picture file at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",StillImage,Photographs,[Villa Maria Ursuline Academy],fedoraAdmin,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/brazos-150_objects/22/pages/page_0/files/bryanscene28.tif,,White Rose Studio and Gift Shop
