URI,Created,Works,Environment,Parent Collection,Url to collection online,Sheet Creator,Sheet Done,Date Created,Archipelago Collection,Notes,Errors
https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters,2020-11-20T17:04:48.072000+00:00,34,prod,College of Medicine,,,,,,,
https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/charting-texas,2022-08-25T15:37:55.081000+00:00,58,prod,Cushing Collections,,,,,,,
https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/Stephen_Powys_Marks_London_Collection,2020-06-11T15:56:41.291000+00:00,11,prod,Cushing Collections,,,,,,,
https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/BasbanesEternalPassion,2024-10-15T21:04:02.645000+00:00,25,prod,Cushing Collections,,,,,,,
https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-collection,2020-06-11T20:26:13.019000+00:00,11,prod,Cushing Collections,,,,,,,
https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/basbanes-texts,2022-11-09T21:44:44.117000+00:00,25,prod,Cushing Collections,,,,,,,
https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_a,2021-03-15T16:42:56.116000+00:00,433,prod,Cushing Collections,,,,,,,
https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021,2023-06-05T16:30:19.214000+00:00,108,prod,Cushing Collections,,,,,,,
https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0,2022-05-12T20:04:08.126000+00:00,0,prod,Cushing Collections,,,,,,,
https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3,2021-06-16T14:12:13.032000+00:00,86,prod,Cushing Collections,,,,,,,
