field_name,collection,csv_file
tamudigital_localcountry,alice_in_wonderland,alice_in_wonderland.csv
dc_citation,alice_in_wonderland,alice_in_wonderland.csv
dc_subject,alice_in_wonderland,alice_in_wonderland.csv
dcterms_URL,alice_in_wonderland,alice_in_wonderland.csv
dc_creator,alice_in_wonderland,alice_in_wonderland.csv
fedora_lastModified,alice_in_wonderland,alice_in_wonderland.csv
ldp_contains,alice_in_wonderland,alice_in_wonderland.csv
dcterms_created,alice_in_wonderland,alice_in_wonderland.csv
fedora_lastModifiedBy,alice_in_wonderland,alice_in_wonderland.csv
fedora_writable,alice_in_wonderland,alice_in_wonderland.csv
dcterms_otherIdentifier,alice_in_wonderland,alice_in_wonderland.csv
dcterms_rightsHolder,alice_in_wonderland,alice_in_wonderland.csv
dcterms_isPartOfSeries,alice_in_wonderland,alice_in_wonderland.csv
dc_title,alice_in_wonderland,alice_in_wonderland.csv
dcterms_rightsURI,alice_in_wonderland,alice_in_wonderland.csv
dcterms_isPartOf,alice_in_wonderland,alice_in_wonderland.csv
fedora_created,alice_in_wonderland,alice_in_wonderland.csv
dc_abstract,alice_in_wonderland,alice_in_wonderland.csv
fedora_createdBy,alice_in_wonderland,alice_in_wonderland.csv
fedora_hasParent,alice_in_wonderland,alice_in_wonderland.csv
dc_rights,alice_in_wonderland,alice_in_wonderland.csv
files,alice_in_wonderland,alice_in_wonderland.csv
dcterms_abstract,alice_in_wonderland,alice_in_wonderland.csv
dcterms_extent,apfelbaum-ww1,apfelbaum-ww1.csv
dc_subject,apfelbaum-ww1,apfelbaum-ww1.csv
fedora_writable,apfelbaum-ww1,apfelbaum-ww1.csv
ldp_contains,apfelbaum-ww1,apfelbaum-ww1.csv
dcterms_type,apfelbaum-ww1,apfelbaum-ww1.csv
dc_type,apfelbaum-ww1,apfelbaum-ww1.csv
fedora_created,apfelbaum-ww1,apfelbaum-ww1.csv
dc_title,apfelbaum-ww1,apfelbaum-ww1.csv
dc_rights,apfelbaum-ww1,apfelbaum-ww1.csv
fedora_hasParent,apfelbaum-ww1,apfelbaum-ww1.csv
dcterms_isPartOf,apfelbaum-ww1,apfelbaum-ww1.csv
dcterms_abstract,apfelbaum-ww1,apfelbaum-ww1.csv
fedora_createdBy,apfelbaum-ww1,apfelbaum-ww1.csv
fedora_lastModifiedBy,apfelbaum-ww1,apfelbaum-ww1.csv
dcterms_temporal,apfelbaum-ww1,apfelbaum-ww1.csv
dc_format,apfelbaum-ww1,apfelbaum-ww1.csv
dc_description,apfelbaum-ww1,apfelbaum-ww1.csv
dc_creator,apfelbaum-ww1,apfelbaum-ww1.csv
dc_publisher,apfelbaum-ww1,apfelbaum-ww1.csv
dcterms_created,apfelbaum-ww1,apfelbaum-ww1.csv
fedora_lastModified,apfelbaum-ww1,apfelbaum-ww1.csv
files,apfelbaum-ww1,apfelbaum-ww1.csv
dcterms_alternative,apfelbaum-ww1,apfelbaum-ww1.csv
dcterms_spatial,apfelbaum-ww1,apfelbaum-ww1.csv
dc_subject,basbanes-texts,basbanes-texts.csv
ldp_contains,basbanes-texts,basbanes-texts.csv
dcterms_type,basbanes-texts,basbanes-texts.csv
dc_creator,basbanes-texts,basbanes-texts.csv
dc_rights,basbanes-texts,basbanes-texts.csv
dc_language,basbanes-texts,basbanes-texts.csv
dcterms_abstract,basbanes-texts,basbanes-texts.csv
fedora_lastModifiedBy,basbanes-texts,basbanes-texts.csv
fedora_writable,basbanes-texts,basbanes-texts.csv
dc_title,basbanes-texts,basbanes-texts.csv
fedora_created,basbanes-texts,basbanes-texts.csv
dc_format,basbanes-texts,basbanes-texts.csv
dc_description,basbanes-texts,basbanes-texts.csv
fedora_lastModified,basbanes-texts,basbanes-texts.csv
fedora_createdBy,basbanes-texts,basbanes-texts.csv
fedora_hasParent,basbanes-texts,basbanes-texts.csv
files,basbanes-texts,basbanes-texts.csv
dcterms_created,basbanes-texts,basbanes-texts.csv
dc_type,basbanes-texts,basbanes-texts.csv
dcterms_coverage,basbanes-texts,basbanes-texts.csv
dc_contributor,basbanes-texts,basbanes-texts.csv
dc_subject,BasbanesEternalPassion,BasbanesEternalPassion.csv
fedora_lastModifiedBy,BasbanesEternalPassion,BasbanesEternalPassion.csv
ldp_contains,BasbanesEternalPassion,BasbanesEternalPassion.csv
fedora_created,BasbanesEternalPassion,BasbanesEternalPassion.csv
