dc_description,dc_extent,ldp_contains,dc_genre,dc_abstract,dcterms_type,fedora_createdBy,dc_format,dc_subject,dc_creator,fedora_hasParent,dc_date,fedora_created,dc_title,dc_rights,dc_title:alternative,fedora_writable,fedora_lastModified,fedora_lastModifiedBy,dc_language,dcterms_IsPartOf,files
"Held in the Colonial Mexican Imprint Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.|PQ7296.G3 L5 1802",21 cm,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/26/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/26/pages,script,"An early 19th-century manuscript copy of an unpublished early 19th-century play by playwright Fernando Gavi?la. Fernando Gavi?la was an actor active in Mexico City in the 1790's and early 1800's, who also wrote at least one other play, ""La lealtad americana, drama heroyco en un acto"" (1796). Both he and Dolores Mungui?a are listed in the credits of this zarzuela; Sen?ora Mungui?a played the title role.",text,fedoraAdmin,reformatted digital,"Nineteenth century|Manuscripts, Mexican|Zarzuelas--Libretto","Gavila, Fernando",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects,1802,2021-05-17T21:43:46.735000+00:00,La linda poblana: zarzuela en dos actos,http://rightsstatements.org/vocab/NoC-NC/1.0/,The pretty woman from Puebla: a zarzuela in two acts,false,2021-05-17T21:43:46.735000+00:00,fedoraAdmin,spa,Colonial Mexican Imprint Collection,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/26/pages/page_0/files/0025.jpg
"Held in the Colonial Mexican Imprint Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.|PQ7296.G3 L5 1802",21 cm,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/115/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/115/pages,script,"An early 19th-century manuscript copy of an unpublished early 19th-century play by playwright Fernando Gavi?la. Fernando Gavi?la was an actor active in Mexico City in the 1790's and early 1800's, who also wrote at least one other play, ""La lealtad americana, drama heroyco en un acto"" (1796). Both he and Dolores Mungui?a are listed in the credits of this zarzuela; Sen?ora Mungui?a played the title role.",text,fedoraAdmin,reformatted digital,"Manuscripts, Mexican|Zarzuelas--Libretto|Nineteenth century","Gavila, Fernando",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects,1802,2021-05-17T21:40:08.025000+00:00,La linda poblana: zarzuela en dos actos,http://rightsstatements.org/vocab/NoC-NC/1.0/,The pretty woman from Puebla: a zarzuela in two acts,false,2021-05-17T21:40:08.025000+00:00,fedoraAdmin,spa,Colonial Mexican Imprint Collection,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/115/pages/page_0/files/0114.jpg
"Held in the Colonial Mexican Imprint Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.|PQ7296.G3 L5 1802",21 cm,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/17/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/17/pages,script,"An early 19th-century manuscript copy of an unpublished early 19th-century play by playwright Fernando Gavi?la. Fernando Gavi?la was an actor active in Mexico City in the 1790's and early 1800's, who also wrote at least one other play, ""La lealtad americana, drama heroyco en un acto"" (1796). Both he and Dolores Mungui?a are listed in the credits of this zarzuela; Sen?ora Mungui?a played the title role.",text,fedoraAdmin,reformatted digital,"Manuscripts, Mexican|Zarzuelas--Libretto|Nineteenth century","Gavila, Fernando",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects,1802,2021-05-17T21:41:29.894000+00:00,La linda poblana: zarzuela en dos actos,http://rightsstatements.org/vocab/NoC-NC/1.0/,The pretty woman from Puebla: a zarzuela in two acts,false,2021-05-17T21:41:29.894000+00:00,fedoraAdmin,spa,Colonial Mexican Imprint Collection,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/17/pages/page_0/files/0016.jpg
"Held in the Colonial Mexican Imprint Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.|PQ7296.G3 L5 1802",21 cm,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/106/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/106/pages,script,"An early 19th-century manuscript copy of an unpublished early 19th-century play by playwright Fernando Gavi?la. Fernando Gavi?la was an actor active in Mexico City in the 1790's and early 1800's, who also wrote at least one other play, ""La lealtad americana, drama heroyco en un acto"" (1796). Both he and Dolores Mungui?a are listed in the credits of this zarzuela; Sen?ora Mungui?a played the title role.",text,fedoraAdmin,reformatted digital,"Manuscripts, Mexican|Zarzuelas--Libretto|Nineteenth century","Gavila, Fernando",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects,1802,2021-05-17T21:37:51.423000+00:00,La linda poblana: zarzuela en dos actos,http://rightsstatements.org/vocab/NoC-NC/1.0/,The pretty woman from Puebla: a zarzuela in two acts,false,2021-05-17T21:37:51.423000+00:00,fedoraAdmin,spa,Colonial Mexican Imprint Collection,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/106/pages/page_0/files/0105.jpg
"PQ7296.G3 L5 1802|Held in the Colonial Mexican Imprint Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",21 cm,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/56/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/56/orderProxies,script,"An early 19th-century manuscript copy of an unpublished early 19th-century play by playwright Fernando Gavi?la. Fernando Gavi?la was an actor active in Mexico City in the 1790's and early 1800's, who also wrote at least one other play, ""La lealtad americana, drama heroyco en un acto"" (1796). Both he and Dolores Mungui?a are listed in the credits of this zarzuela; Sen?ora Mungui?a played the title role.",text,fedoraAdmin,reformatted digital,"Manuscripts, Mexican|Zarzuelas--Libretto|Nineteenth century","Gavila, Fernando",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects,1802,2021-05-17T21:51:17.573000+00:00,La linda poblana: zarzuela en dos actos,http://rightsstatements.org/vocab/NoC-NC/1.0/,The pretty woman from Puebla: a zarzuela in two acts,false,2021-05-17T21:51:17.573000+00:00,fedoraAdmin,spa,Colonial Mexican Imprint Collection,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/56/pages/page_0/files/0055.jpg
"Held in the Colonial Mexican Imprint Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.|PQ7296.G3 L5 1802",21 cm,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/47/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/47/orderProxies,script,"An early 19th-century manuscript copy of an unpublished early 19th-century play by playwright Fernando Gavi?la. Fernando Gavi?la was an actor active in Mexico City in the 1790's and early 1800's, who also wrote at least one other play, ""La lealtad americana, drama heroyco en un acto"" (1796). Both he and Dolores Mungui?a are listed in the credits of this zarzuela; Sen?ora Mungui?a played the title role.",text,fedoraAdmin,reformatted digital,"Nineteenth century|Manuscripts, Mexican|Zarzuelas--Libretto","Gavila, Fernando",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects,1802,2021-05-17T21:49:00.839000+00:00,La linda poblana: zarzuela en dos actos,http://rightsstatements.org/vocab/NoC-NC/1.0/,The pretty woman from Puebla: a zarzuela in two acts,false,2021-05-17T21:49:00.839000+00:00,fedoraAdmin,spa,Colonial Mexican Imprint Collection,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/47/pages/page_0/files/0046.jpg
"Held in the Colonial Mexican Imprint Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.|PQ7296.G3 L5 1802",21 cm,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/60/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/60/orderProxies,script,"An early 19th-century manuscript copy of an unpublished early 19th-century play by playwright Fernando Gavi?la. Fernando Gavi?la was an actor active in Mexico City in the 1790's and early 1800's, who also wrote at least one other play, ""La lealtad americana, drama heroyco en un acto"" (1796). Both he and Dolores Mungui?a are listed in the credits of this zarzuela; Sen?ora Mungui?a played the title role.",text,fedoraAdmin,reformatted digital,"Manuscripts, Mexican|Zarzuelas--Libretto|Nineteenth century","Gavila, Fernando",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects,1802,2021-05-17T21:52:25.943000+00:00,La linda poblana: zarzuela en dos actos,http://rightsstatements.org/vocab/NoC-NC/1.0/,The pretty woman from Puebla: a zarzuela in two acts,false,2021-05-17T21:52:25.943000+00:00,fedoraAdmin,spa,Colonial Mexican Imprint Collection,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/60/pages/page_0/files/0059.jpg
"Held in the Colonial Mexican Imprint Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.|PQ7296.G3 L5 1802",21 cm,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/38/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/38/orderProxies,script,"An early 19th-century manuscript copy of an unpublished early 19th-century play by playwright Fernando Gavi?la. Fernando Gavi?la was an actor active in Mexico City in the 1790's and early 1800's, who also wrote at least one other play, ""La lealtad americana, drama heroyco en un acto"" (1796). Both he and Dolores Mungui?a are listed in the credits of this zarzuela; Sen?ora Mungui?a played the title role.",text,fedoraAdmin,reformatted digital,"Manuscripts, Mexican|Zarzuelas--Libretto|Nineteenth century","Gavila, Fernando",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects,1802,2021-05-17T21:46:44.397000+00:00,La linda poblana: zarzuela en dos actos,http://rightsstatements.org/vocab/NoC-NC/1.0/,The pretty woman from Puebla: a zarzuela in two acts,false,2021-05-17T21:46:44.397000+00:00,fedoraAdmin,spa,Colonial Mexican Imprint Collection,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/38/pages/page_0/files/0037.jpg
"Held in the Colonial Mexican Imprint Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.|PQ7296.G3 L5 1802",21 cm,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/51/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/51/pages,script,"An early 19th-century manuscript copy of an unpublished early 19th-century play by playwright Fernando Gavi?la. Fernando Gavi?la was an actor active in Mexico City in the 1790's and early 1800's, who also wrote at least one other play, ""La lealtad americana, drama heroyco en un acto"" (1796). Both he and Dolores Mungui?a are listed in the credits of this zarzuela; Sen?ora Mungui?a played the title role.",text,fedoraAdmin,reformatted digital,"Manuscripts, Mexican|Zarzuelas--Libretto|Nineteenth century","Gavila, Fernando",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects,1802,2021-05-17T21:50:09.182000+00:00,La linda poblana: zarzuela en dos actos,http://rightsstatements.org/vocab/NoC-NC/1.0/,The pretty woman from Puebla: a zarzuela in two acts,false,2021-05-17T21:50:09.182000+00:00,fedoraAdmin,spa,Colonial Mexican Imprint Collection,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/51/pages/page_0/files/0050.jpg
"Held in the Colonial Mexican Imprint Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.|PQ7296.G3 L5 1802",21 cm,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/29/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/29/pages,script,"An early 19th-century manuscript copy of an unpublished early 19th-century play by playwright Fernando Gavi?la. Fernando Gavi?la was an actor active in Mexico City in the 1790's and early 1800's, who also wrote at least one other play, ""La lealtad americana, drama heroyco en un acto"" (1796). Both he and Dolores Mungui?a are listed in the credits of this zarzuela; Sen?ora Mungui?a played the title role.",text,fedoraAdmin,reformatted digital,"Manuscripts, Mexican|Zarzuelas--Libretto|Nineteenth century","Gavila, Fernando",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects,1802,2021-05-17T21:44:27.853000+00:00,La linda poblana: zarzuela en dos actos,http://rightsstatements.org/vocab/NoC-NC/1.0/,The pretty woman from Puebla: a zarzuela in two acts,false,2021-05-17T21:44:27.853000+00:00,fedoraAdmin,spa,Colonial Mexican Imprint Collection,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/la_linda_poblana_objects/29/pages/page_0/files/0028.jpg
