dc_subject,dc_type,dc_format,fedora_lastModifiedBy,dcterms_created,fedora_lastModified,fedora_hasParent,fedora_writable,dcterms_extent,dc_description,dcterms_isPartOf,dc_rights,dcterms_temporal,ldp_contains,dcterms_type,dcterms_spatial,dcterms_abstract,dc_publisher,fedora_createdBy,dc_title,fedora_created,files,dcterms_alternative,dc_creator
Battlefields|France--Meuse|World War (1914-1918),Postcards,reformatted digital,fedoraAdmin,1914?,2021-10-27T16:10:34.759000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects,false,1 postcard; 9 x 14 cm,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",Archive of World War I German and Austrian Documents,No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,1914-1918,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/140/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/140/orderProxies,StillImage,Meuse|France,Photo postcard of the destruction of Argonne Forest.,Stengel & Co.,fedoraAdmin,Agonnen,2021-10-27T16:10:34.759000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/140/pages/page_0/files/mss00170_01-46_0001.jpg,,
Germany--Saxony|World War (1914-1918)|Prisoners of war|Soldiers,Postcards,reformatted digital,fedoraAdmin,1914?,2021-10-27T16:42:41.692000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects,false,1 postcard; 9 x 14 cm,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",Archive of World War I German and Austrian Documents,No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,1914-1918,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/279/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/279/orderProxies,StillImage,Saxony|Germany,Color photo postcard of captured Russian soldiers.,Karl Mucke,fedoraAdmin,Aokunft gefangener Russen in Königsbrück,2021-10-27T16:42:41.692000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/279/pages/page_0/files/mss00170_02-02_0017.jpg,Arrival of captured Russians in Königsbrück,
Hôtel-Dieu de Laon|Hospitals|World War (1914-1918)|France--Laon,Postcards,reformatted digital,fedoraAdmin,1914?,2021-10-27T17:26:38.520000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects,false,1 postcard; 9 x 14 cm,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",Archive of World War I German and Austrian Documents,No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,1914-1918,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/91/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/91/pages,StillImage,Laon|France,"Photo postcard of Hôtel-Dieu in Laon, France with military patients sitting in front. Postcard would have originally been issued in a postcard book.",Georg Stilke,fedoraAdmin,Laon: Hôtel-Dieu,2021-10-27T17:26:38.520000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/91/pages/page_0/files/mss00170_01-41_0023.jpg,,
Castles|France--Aisne|Streets|World War (1914-1918)|Buildings--War damage,Postcards,reformatted digital,fedoraAdmin,1914?,2021-10-27T17:08:19.568000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects,false,1 postcard; 9 x 14 cm,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",Archive of World War I German and Austrian Documents,No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,1914-1918,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/388/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/388/orderProxies,StillImage,Aisne|France,"Photo postcard of Castle of the Bôve, located in the territory of the commune of Bouconville-Vauclair.",,fedoraAdmin,"Weg von Bouconville nach Schloss ""la Bôve"": rechts und links zerstorte Hauser. Im Hintergrundes (x) Schloss ""la  Bôve""",2021-10-27T17:08:19.568000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/388/pages/page_0/files/mss00170_02-06_0011.jpg,"Route from Bouconville to ""la Bôve"" castle: houses destroyed on the right and left. In the background (x) castle ""la Bôve""",
World War (1914-1918)|Soldiers,Postcards,reformatted digital,fedoraAdmin,1914?,2021-10-27T17:02:05.794000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects,false,1 postcard; 9 x 14 cm,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",Archive of World War I German and Austrian Documents,No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,1914-1918,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/362/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/362/orderProxies,StillImage,,Photo postcard of a group of soldiers in a field.,,fedoraAdmin,[Soldiers in a field],2021-10-27T17:02:05.794000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/362/pages/page_0/files/mss00170_02-05_0033.jpg,,
France--Roubaix|World War (1914-1918)|Parks,Postcards,reformatted digital,fedoraAdmin,1914?,2021-10-27T16:14:03.537000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects,false,1 postcard; 9 x 14 cm,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",Archive of World War I German and Austrian Documents,No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,1914-1918,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/155/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/155/orderProxies,StillImage,Roubaix|France,"Photo postcard of Barbieux Park in Roubaix, France.",Dr. Trenkler & Co.,fedoraAdmin,"Roubaix, Park Barbieux",2021-10-27T16:14:03.537000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/155/pages/page_0/files/mss00170_01-47_0011.jpg,,
France--Reims|Statues|World War (1914-1918),Postcards,reformatted digital,fedoraAdmin,1914?,2021-10-27T16:04:22.998000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects,false,1 postcard; 9 x 14 cm,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",Archive of World War I German and Austrian Documents,No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,1914-1918,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/113/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/113/orderProxies,StillImage,Reims|France,"Photo postcard of the square and the statue of Jean-Baptiste Colbert in Reims, France. Postcard would have originally been issued in a postcard book.",,fedoraAdmin,Reims: Statue et Square Colbert,2021-10-27T16:04:22.998000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/113/pages/page_0/files/mss00170_01-43_0011.jpg,Reims. Statue at Colbert Square.,
Men|Women|Streets|World War (1914-1918),Postcards,reformatted digital,fedoraAdmin,1914?,2021-10-27T16:41:04.655000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects,false,1 postcard; 9 x 14 cm,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",Archive of World War I German and Austrian Documents,No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,1914-1918,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/272/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/272/pages,StillImage,,Photo postcard of a street scene in an unidentified location.,R.U. Komp,fedoraAdmin,[Street scene],2021-10-27T16:41:04.655000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/272/pages/page_0/files/mss00170_02-02_0003.jpg,,
Spies|World War (1914-1918)|Soldiers,Postcards,reformatted digital,fedoraAdmin,1914?,2021-10-27T16:39:13.755000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects,false,1 postcard; 9 x 14 cm,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",Archive of World War I German and Austrian Documents,No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,1914-1918,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/264/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/264/orderProxies,StillImage,,Photo postcard of two German soldiers brining in a Russian spy.,Imberg & Lefson,fedoraAdmin,Russischer Spion wird eingebracht,2021-10-27T16:39:13.755000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/264/pages/page_0/files/mss00170_01-51_0046.jpg,Russian spy brought in,
World War (1914-1918)|Railroad stations|Belgium--Charleroi,Postcards,reformatted digital,fedoraAdmin,1914?,2021-10-27T17:06:39.283000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects,false,1 postcard; 9 x 14 cm,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",Archive of World War I German and Austrian Documents,No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,1914-1918,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/381/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/381/orderProxies,StillImage,Belgium|Charleroi,"Photo postcard of the railway station in Gilly, Belgium. Postcard would have originally been issued in a postcard book.",S.D.,fedoraAdmin,Gilly - Le Haut de Sart-Allet,2021-10-27T17:06:39.283000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre_objects/381/pages/page_0/files/mss00170_02-05_0071.jpg,Gilly - railroad station,
