dcterms_extent,dc_subject,fedora_writable,ldp_contains,dcterms_type,dc_type,fedora_created,dc_title,dc_rights,fedora_hasParent,dcterms_isPartOf,dcterms_abstract,fedora_createdBy,fedora_lastModifiedBy,dcterms_temporal,dc_format,dc_description,dc_creator,dc_publisher,dcterms_created,fedora_lastModified,files,dcterms_alternative,dcterms_spatial
1 postcard; 9 x 14 cm,Catholic church buildings|World War (1914-1918),false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/74/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/74/orderProxies,StillImage,Postcards,2021-12-06T18:18:15.170000+00:00,St. Thomas,No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects,Archive of World War I German and Austrian Documents,Photo of St. Thomas church or monastery in unknown location.,fedoraAdmin,fedoraAdmin,1914-1918,reformatted digital,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",K.S. Minister des Innern,C.C. Meinhold & Söhne,1914?,2021-12-06T18:18:15.170000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/74/pages/page_0/files/mss00170_01-40_0009.jpg,,
1 postcard; 9 x 14 cm,Soldiers|World War (1914-1918),false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/342/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/342/pages,StillImage,Postcards,2021-12-06T18:45:38.469000+00:00,[Soldiers],No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects,Archive of World War I German and Austrian Documents,Photo postcard of a group of soldiers.,fedoraAdmin,fedoraAdmin,1914-1918,reformatted digital,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",,,1914?,2021-12-06T18:45:38.469000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/342/pages/page_0/files/mss00170_02-04_0071.jpg,,
1 postcard; 14 x 9 cm,World War (1914-1918)|Women|Postal service,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/189/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/189/pages,StillImage,Postcards,2021-12-06T17:51:42.471000+00:00,Wie freue ich mich auf die nächste Feldpost!,No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects,Archive of World War I German and Austrian Documents,Colored photo postcard of a woman waiting for mail from a serviceman.,fedoraAdmin,fedoraAdmin,1914-1918,reformatted digital,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",,S. V. D.,1914?,2021-12-06T17:51:42.471000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/189/pages/page_0/files/mss00170_01-49_0061.jpg,How I look forward to the next field post!,
1 postcard; 9 x 14 cm,World War (1914-1918)|Cottages|Poland--Kalisz,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/159/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/159/pages,StillImage,Postcards,2021-12-06T17:44:55.189000+00:00,Kalisz. Domek Szwajcarski.,No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects,Archive of World War I German and Austrian Documents,"Photo postcard of a Swiss cottage in Kalisz, Poland.",fedoraAdmin,fedoraAdmin,1914-1918,reformatted digital,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",,,1914?,2021-12-06T17:44:55.189000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/159/pages/page_0/files/mss00170_01-47_0021.jpg,Kalisz. Swiss cottage.,Belgium|Kalisz
1 postcard; 9 x 14 cm,Buildings--War damage|Artillery|World War (1914-1918)|Belgium--Lier,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/385/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/385/orderProxies,StillImage,Postcards,2021-12-06T18:55:45.937000+00:00,Fort Lierre: Wirkung eines 42 c/m mörsers auf einew panzerturm,No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects,Archive of World War I German and Austrian Documents,"Photo postcard of an artillery damaged turret in Lier, Belgium.",fedoraAdmin,fedoraAdmin,1914-1918,reformatted digital,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",,,1914?,2021-12-06T18:55:45.937000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/385/pages/page_0/files/mss00170_02-06_0005.jpg,Fort Lier: effect of a 42 cm mortar on a tank turret|Fort de Lierre: effet d'un obus de 42 c.m sur une coupole,Lier|Belgium
1 postcard; 9 x 14 cm,Belarus--Minsk|Lakes|World War (1914-1918),false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/210/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/210/pages,StillImage,Postcards,2021-12-06T17:57:08.051000+00:00,[Lake Narocz],No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects,Archive of World War I German and Austrian Documents,Photo postcard of Narach Lake in Belarus.,fedoraAdmin,fedoraAdmin,1914-1918,reformatted digital,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",,,1916,2021-12-06T17:57:08.051000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/210/pages/page_0/files/mss00170_01-50_0025.jpg,,Belarus|Minsk
1 postcard; 14 x 9 cm,"Castles|France--Roubaix|Château Vaissier (Roubaix, France)|World War (1914-1918)",false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/152/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/152/orderProxies,StillImage,Postcards,2021-12-06T17:43:20.244000+00:00,"Roubaix, Schloß Vaissier",No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects,Archive of World War I German and Austrian Documents,"Photo postcard of Vaissier Castle in Roubaix, France.",fedoraAdmin,fedoraAdmin,1914-1918,reformatted digital,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",,Dr. Trenkler & Co.,1914?,2021-12-06T17:43:20.244000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/152/pages/page_0/files/mss00170_01-47_0005.jpg,Vaisser Castle,France|Roubaix
1 postcard; 9 x 14 cm,Poland--Grudziadz|World War (1914-1918)|Cities and towns,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/33/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/33/pages,StillImage,Postcards,2021-12-06T18:08:48.231000+00:00,Graudenz - Ausblick vom Schloßberg,No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects,Archive of World War I German and Austrian Documents,"Photo postcard of a city view taken from Castle Hill in Grudziadz, Poland.",fedoraAdmin,fedoraAdmin,1914-1918,reformatted digital,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",,,1914?,2021-12-06T18:08:48.231000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/33/pages/page_0/files/mss00170_01-36_0021.jpg,"Grudziadz, view from Castle Hill",Grudziadz|Poland
1 postcard; 9 x 14 cm,Cities and towns|France--Strasbourg|World War (1914-1918),false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/12/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/12/pages,StillImage,Postcards,2021-12-06T17:28:08.647000+00:00,[Strasbourg?],No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects,Archive of World War I German and Austrian Documents,"Photo postcard of unidentified location, potentially Strasboug, France.",fedoraAdmin,fedoraAdmin,1914-1918,reformatted digital,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",,Jul. Manias & Cie,1914?,2021-12-06T17:28:08.647000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/12/pages/page_0/files/mss00170_01-35_0029.jpg,,France|Strasbourg
1 postcard; 9 x 14 cm,France--Liévin|World War (1914-1918)|Coal mines and mining,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/118/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/118/pages,StillImage,Postcards,2021-12-06T17:35:38.156000+00:00,Zeche 9 Liévin,No copyright - Non-commercial use only; for more information see: http://rightsstatements.org/vocab/NoC-NC/1.0/,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects,Archive of World War I German and Austrian Documents,"Photo postcard of Colliery 9 in Liévin, France.",fedoraAdmin,fedoraAdmin,1914-1918,reformatted digital,"Held in the Archive of World War I German and Austrian Documents at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas.",,Trau & Schwab,1914?,2021-12-06T17:35:38.156000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/apfelbaum-ww1_objects/118/pages/page_0/files/mss00170_01-44_0001.jpg,,Liévin|France
