dc_title,dc_description,fedora_hasParent,fedora_lastModified,fedora_createdBy,fedora_writable,fedora_lastModifiedBy,ldp_contains,fedora_created,dcterms_spatial,files,dc_date,dcterms_abstract
Reed Arena,"Reed Arena was erected in 1998 for a cost of $230,000.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T18:25:44.164000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/654/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/654/pages,2025-05-15T18:25:44.164000+00:00,"30.60614791270674, -96.34617885582267",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/654/pages/page_0/files/Reed%205.tif,,
CE TTI Building,,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T17:35:52.223000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/173/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/173/orderProxies,2025-05-15T17:35:52.223000+00:00,"30.62263327818132, -96.34010340064778",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/173/pages/page_0/files/CE%206.tif,,
Civil Engineering,"The Civil Engineering Building was built in 1932 apart of a Veterinary Medicine Group Buildings for a cost of $200,000. The building was originally called the Veterinary Hospital.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T17:38:37.654000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/201/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/201/pages,2025-05-15T17:38:37.654000+00:00,"30.619679002376873, -96.33894522032836",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/201/pages/page_0/files/3842965770_55d0d0b28f_o.jpg,1950,Vet Science Class in front of Civil Engineering
Guion Hall,"Guion Hall was built in 1918 for a cost of $115,000 and razed 1971.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T17:56:12.012000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/374/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/374/orderProxies,2025-05-15T17:56:12.012000+00:00,"30.613304326641657, -96.33995244628555",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/374/pages/page_0/files/2822107347_acfec0ec8e_o.jpg,,Guion Hall
Civil Engineering,"The Civil Engineering Building was built in 1932 apart of a Veterinary Medicine Group Buildings for a cost of $200,000. The building was originally called the Veterinary Hospital.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T17:38:32.751000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/200/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/200/pages,2025-05-15T17:38:32.751000+00:00,"30.616082164559465, -96.34027231806671",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/200/pages/page_0/files/Civil%20Engineering%20Vet%20Science%203.tif,1933,Civil Engineering (VS) under construction
Engineering Physics,,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T17:45:42.593000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/272/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/272/orderProxies,2025-05-15T17:45:42.593000+00:00,,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/272/pages/page_0/files/Engineering%20Physics%202.tif,,
Bell Building,The Bell Building was built in 1942 and razed 2014. This building was also a branch of the U. S. Department of Agriculture.,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T17:30:50.588000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/121/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/121/pages,2025-05-15T17:30:50.588000+00:00,"30.615802197402747, -96.34755621873339",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/121/pages/page_0/files/Bell%20Building%201.tif,,
Military Walk,,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T18:07:54.146000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/489/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/489/orderProxies,2025-05-15T18:07:54.146000+00:00,"30.61568652688091, -96.34163257155147",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/489/pages/page_0/files/3481081934_d18eb9352f_o.jpg,,
Horse Barn,"The Horse Barns was erected in 1932 apart of a Veterinary Medicine Group Buildings for a cost of $200,000.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T17:59:31.305000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/407/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/407/orderProxies,2025-05-15T17:59:31.305000+00:00,"30.61653752428546, -96.33597597807139",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/407/pages/page_0/files/4049916565_c09c787a33_o.jpg,,Horse Barn
Horse Barn,"The Horse Barns was erected in 1932 apart of a Veterinary Medicine Group Buildings for a cost of $200,000.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T17:59:27.683000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/406/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/406/pages,2025-05-15T17:59:27.683000+00:00,"30.61653752428546, -96.33597597807139",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/406/pages/page_0/files/4156498982_8894e1d0b4_o.jpg,,Horse Barn
