dc_subject,fedora_writable,ldp_contains,dc_type,dcterms_created,dc_language,fedora_createdBy,dc_title,dc_format,fedora_created,fedora_lastModified,dc_rights,dcterms_type,fedora_lastModifiedBy,fedora_hasParent,dc_description,dcterms_abstract,dc_creator,files,dcterms_coverage,dc_contributor
"Letters|Book collectors|Gentle madness (Basbanes, Nicholas A., 1943- )|Basbanes, Nicholas A., 1943-|O'More, Haven|O'More, Lorea|Garden Ltd.",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/14/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/14/orderProxies,Business correspondence,1990-10-17,eng,fedoraAdmin,Letters to Lorea and Haven O'More,reformatted digital,2022-07-20T19:29:18.585000+00:00,2022-07-20T19:29:18.585000+00:00,in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.","Letter from Nicholas Basbanes to Lorea O'More, seeking an interview with her husband, book collector Haven O'More, for research of his book A Gentle Madness. 3 pages total.  Includes a letter that was previously sent to Haven O'More.","Basbanes, Nicholas A., 1943-",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/14/pages/page_0/files/Basbanes-Letters-to-O-More.pdf,,
"Gentle madness (Basbanes, Nicholas A., 1943- )|Manuscripts",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/11/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/11/orderProxies,Prospectuses,1989,eng,fedoraAdmin,Revised Prospectus for A Gentle Madness. Typescript with autograph corrections. [1989].,reformatted digital,2022-07-20T14:26:26.413000+00:00,2022-07-20T14:26:26.413000+00:00,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",Corrected typescript of a revised prospectus for the book that would eventually become A Gentle Madness (1995).,"Basbanes, Nicholas A., 1943-",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/11/pages/page_0/files/AGM-revised-prosepctus.pdf,,
"Gentle madness (Basbanes, Nicholas A., 1943- )|Manuscripts",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/23/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/23/orderProxies,,1988-11-29,eng,fedoraAdmin,"Early Proposal for Marc Jaffee, 1988",reformatted digital,2022-07-20T14:26:01.515000+00:00,2022-07-20T14:26:01.515000+00:00,in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.","An early proposal for the book that would become A Gentle Madness given to Marc Jaffe, an editor at Houghton Mifflin Co., November 29, 1988.","Basbanes, Nicholas A., 1943-",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/23/pages/page_0/files/Early-proposal.pdf,,
"Librarians|Interviews|Stoddard, Roger E. (Roger Eliot)|Manuscripts|Gentle madness (Basbanes, Nicholas A., 1943- )",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/20/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/20/orderProxies,,1989-11,eng,fedoraAdmin,Interview notes for A Gentle Madness,reformatted digital,2022-07-20T14:26:53.328000+00:00,2022-07-20T14:26:53.328000+00:00,in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.","The first of many pages of notes documenting an early interview of librarian Roger Stoddard by Nicholas A. Basbanes in the research of A Gentle Madness, November 8, 1989.","Basbanes, Nicholas A., 1943-",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/20/pages/page_0/files/AGM-interview-p1.pdf,,
"Blumberg, Stephen Carrie|Pictorial works|Homes|Collectibles",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/9/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/9/orderProxies,linocuts (prints)|art reproduction,1991?,,fedoraAdmin,Linocut print inscribed to Nicholas A. Basbanes.,reformatted digital,2022-07-20T14:26:49.043000+00:00,2022-07-20T14:26:49.043000+00:00,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,StillImage,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.","Linocut print depicting Stephen Blumberg's home in Ottumwa, Iowa, inscribed to Nicholas A. Basbanes.","Blumberg, Stephen Carrie",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/9/pages/page_0/files/blumberg-linocut.jpg,Iowa--Ottumwa,
"Blumberg, Stephen Carrie|Thieves|Portraits|Book collectors",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/6/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/6/orderProxies,Photographs|Portraits,1991,,fedoraAdmin,Photograph of Stephen C. Blumberg with book.,reformatted digital,2022-07-20T21:31:31.869000+00:00,2022-07-20T21:31:31.869000+00:00,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,StillImage,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.","Photograph of Stephen C. Blumberg inspecting ""Upland Game Birds and Water Fowl of the United States"" taken by Nicholas A. Basbanes during his visit to Ottumwa, IA with Blumberg shortly before the latter was sentenced for stealing more than 23,600 rare, valuable and assorted other books from 268 or more universities and museums in 45 states, two Canadian provinces, and Washington, D.C","Basbanes, Nicholas A., 1943-",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/6/pages/page_0/files/blumberg-photograph-1.jpg,Iowa--Ottumwa,
"Blumberg, Stephen Carrie|Thieves|Christmas cards|Hayman, Robert|Book collectors",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/17/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/17/pages,Personal correspondence|Greeting cards,1995,eng,fedoraAdmin,Holiday card sent to Robert Hayman by Stephen C. Blumberg,reformatted digital,2022-07-20T21:31:32.148000+00:00,2022-07-20T21:31:32.148000+00:00,in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,StillImage,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.","Holiday card sent to bookseller Robert Hayman by book thief Stephen C. Blumberg, 1995.","Blumberg, Stephen Carrie",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/17/pages/page_0/files/blumberg-holiday-card.pdf,,
"Manuscripts|Gentle madness (Basbanes, Nicholas A., 1943- )",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/21/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/21/orderProxies,,1995?,eng,fedoraAdmin,Typesetters markup for proof of A Gentle Madness,reformatted digital,2022-07-20T14:26:00.678000+00:00,2022-07-20T14:26:00.678000+00:00,in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",Typesetters markup for proof of A Gentle Madness,,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/21/pages/page_0/files/AGM-typesetters-copy.jpg,,
"Book thefts|Librarians|Collectibles|Booksellers and bookselling|Blumberg, Stephen Carrie",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/18/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/18/pages,,1995?,eng,fedoraAdmin,Notification to Librarian or Bookseller,reformatted digital,2022-07-20T14:25:27.143000+00:00,2022-07-20T14:25:27.143000+00:00,in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.","Copy of ""Notification to Librarian or Bookseller"" which convicted book thief Blumberg was required to show upon entry to any library or book store. Given to Basbanes by bookseller Robert Hayman.",,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/18/pages/page_0/files/blumberg-notification.pdf,,
"Blumberg, Stephen Carrie|Thieves|Portraits|Book collectors",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/7/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/7/orderProxies,Photographs|Portraits,1991,,fedoraAdmin,Photograph of Stephen C. Blumberg outside storage warehouse.,reformatted digital,2022-07-21T14:22:58.656000+00:00,2022-07-21T14:22:58.656000+00:00,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,StillImage,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.","Image of Stephen C. Blumberg posing with a book outside a storage warehouse photographed by Nicholas A. Basbanes during his visit to Ottumwa, IA with Blumberg shortly before the latter was sentenced for stealing more than 23,600 rare, valuable and assorted other books from 268 or more universities and museums in 45 states, two Canadian provinces, and Washington, D.C","Basbanes, Nicholas A., 1943-",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-texts-2022-07-20_objects/7/pages/page_0/files/blumberg-photograph-2.jpg,Iowa--Ottumwa,
