dc_type,dc_identifier,ldp_contains,dcterms_accessRights,fedora_created,dc_publisher,tamudigital_local/details,fedora_hasParent,dcterms_created,dc_format,fedora_createdBy,dcterms_extent,dcterms_type,dcterms_medium,dc_rights,fedora_lastModifiedBy,fedora_writable,dc_subject,dc_title,fedora_lastModified,files,dcterms_spatial,dc_creator,dc_relation
Gold gilt papers|Laid lines|art reproduction,5406|12306,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/32/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/32/pages,Openly accessible,2021-06-16T14:19:03.238000+00:00,Texas A & M University. Libraries,"Surface application; Printed; P4.D6.F2; Overall pattern of floral design with orange and green diamond paste background; backed; Contained in BASSENGE folder;  Was book cover; book plate on verso; No Haemmerle; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Bassenge Kunst und Buchauktion (Auction 97, Lot #5406) in 08/2011.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H.1.d.1; Not signed. Not stamped.; Creased at center fold line; worn at crease; edge tear",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,1750s,reformatted digital,fedoraAdmin,"1 sheet of orange, green and off-white Dutch gilt paper; 12.00 x 15.00 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12306,2021-06-16T14:19:03.238000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/32/pages/page_0/files/12306.jpg,,,
Laid lines|art reproduction|Patterned paste papers,12407,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/72/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/72/orderProxies,Openly accessible,2021-06-16T14:28:17.003000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Laid; Paste; P4.D6.F7; Hernhuter (monastery near Leipzig)paper used as book cover with plain cream paper backing; wave or fan design; laid paper; inscription on piece: ""Sterb = Acten der Gemeinde fur das Jahr 1832.""; [printed in black ink on recto of decorated white label affixed to recto]: ""[after Gemeinde]  Heilingenmoschel""; [written in black ink on recto of decorated white label affixed to recto]:  ""[after Gemeinde] Heilingenmoschel.""; Barry McKay donated the sheet to Sidney E. Berger and Michele V. Cloonan circa 2002.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.G.3; Not signed. Not stamped. Stickered. Not embossed.; Small worn areas on recto; creased for binding; 2 pieces joined; stains and writing on decorated white label affixed to recto",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,Mid 18th century,reformatted digital,fedoraAdmin,"1 book cover (3 images, front, inside view, back); black, gray and white paste paper; 13.75 x 19.75 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12407,2021-06-21T21:30:00.608000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/72/pages/page_0/files/12407a.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/72/pages/page_1/files/12407b.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/72/pages/page_2/files/12407c.jpg,Germany,,
,12304|5443,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/31/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/31/pages,Openly accessible,2021-06-16T14:18:49.615000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F2; Overall pattern of star or asterisk with dot design; gold over white background; Contained in BASSENGE folder; See Haemmerle #130; laid paper; Stamped in the block on recto: ""CUM. PRIVILEGIO . SAC. CAES. MAI. ANNO. 1723. JOS. FRID. LEOPOLD. EXCUD. AUG V.""; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Bassenge Kunst und Buchauktion (Auction 98, Lot #5443) in 12/2011; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d.1; Not signed. Stamped.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,1723,reformatted digital,fedoraAdmin,1 sheet of gold and off-white Dutch gilt paper; 12.50 x 15.75 in.,StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12304,2022-05-18T23:45:11.951000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/31/pages/page_0/files/12304.jpg,Germany--Augsburg,"Leopold, Joseph Friedrich",
Laid lines|Dribbled paste papers|art reproductions,12406,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/71/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/71/pages,Openly accessible,2021-06-16T14:28:01.070000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Laid; Paste; P4.D6.F7; Hernhuter (monastery near Leipzig)paper used as book cover with plain white paper backing; speckled or dribbled design; laid paper; inscription on piece: ""Sterb = Uft fur die Gemeinde. pro 1840""; [printed in black ink on recto of decorated white label affixed to recto]: ""[after fur die Gemeinde]  Heilingenmoschel""; [written in black ink on recto of decorated white label affixed to recto: “[after fur die Gemeinde] Heilingenmoschel""; Barry McKay donated the sheet to Sidney E. Berger and Michele V. Cloonan circa 2002.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.G.2.b; Not signed. Not stamped. Stickered. Not embossed.; Creased corners; small worn areas on recto; creased for binding",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,Mid 18th century,reformatted digital,fedoraAdmin,"1 book cover (3 images, front, inside view, back); black and white paste paper; 13.75 x 19.50 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12406,2021-06-21T21:25:51.686000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/71/pages/page_0/files/12406a.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/71/pages/page_1/files/12406b.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/71/pages/page_2/files/12406c.jpg,Germany,,
Printed papers|art reproduction|endpapers,7010,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/3/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/3/pages,Openly accessible,2021-06-16T14:12:41.588000+00:00,Texas A & M University. Libraries,Surface application; Printed; M5.D5.F16; Previously used as an endpaper in a bookbinding; textured surface; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H; Not signed. Not stamped.; Mold spots on recto; paper has been folded into fourths; large tear in one quadrant; edge tears; creased corners.,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,19th century,reformatted digital,fedoraAdmin,1 sheet of dark purple and pink printed paper; 20.00 x 29.75 in.,StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #7010,2021-06-21T22:45:04.311000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/3/pages/page_0/files/07010.jpg,,,
endpapers|Watermarks|Laid lines|art reproduction,10294,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/15/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/15/pages,Openly accessible,2021-06-16T14:15:11.727000+00:00,Texas A & M University. Libraries,Distribution of fibers; Laid; Watermarked; P1.D4.F3; Previously used as an endpaper in a bookbinding; laid; unidentified watermark; Photograph taken with the aid of a light table. The false image color more accurately captures the details of the laid paper and associated watermark(s).; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; II.H; Not signed. Not stamped.; Discolored; edges torn; center torn; fragile,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,19th century [?],reformatted digital,fedoraAdmin,1 sheet of white laid paper; 4.00 x 6.75 in.,StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Watermarks|Decorative paper,Berger-Cloonan #10294,2021-06-21T22:49:15.432000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/15/pages/page_0/files/10294.jpg,,,P1.D4.F3.A
Random marbled papers|endpapers|marbled paper|Laid lines|art reproduction,7009,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/2/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/2/orderProxies,Openly accessible,2021-06-16T14:12:27.419000+00:00,Texas A & M University. Libraries,Distribution of fibers; Surface application; Laid; Marbled; M5.D5.F16; Previously used as an endpaper in a bookbinding; laid paper; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.4; Not signed. Not stamped.; One-third fold; worn areas on recto; creased corner; edge tears; staining on verso.,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,19th century,reformatted digital,fedoraAdmin,"1 sheet of light blue, dark blue and white marbled paper; 12.25 x 13.00 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Marbled papers,Berger-Cloonan #7009,2021-06-21T22:37:24.437000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/2/pages/page_0/files/07009.jpg,,,
art reproduction|Laid lines|Block-printed papers,12385,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/56/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/56/pages,Openly accessible,2021-06-16T14:24:34.258000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F7; Charming colonial village scene with animals; laid paper; Inscription on original piece: ""Acq. L.A. Book Fair 2/14/1998 Apx by gatekend 300-""; Contained in a white folder marked in pencil: ""18th century Printed etc.""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1; Not signed. Not stamped. Not stickered. Not embossed.; Creased; torn; wrinkled; discolored on recto and verso; early repair and repaint to bottom center; repair tape on verso; pinholes",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,1740,reformatted digital,fedoraAdmin,"1 sheet of brown, orange and cream block-printed paper; 18.00 x 14.50 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12385,2021-06-16T14:24:34.258000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/56/pages/page_0/files/12385.jpg,,,
Laid lines|art reproduction|Watermarks,12371,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/45/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/45/pages,Openly accessible,2021-06-16T14:22:01.774000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Laid; Watermarked; P4.D6.F7; Laid paper; religious scenes and 2 crest copper plate printed in black ink on recto; used for invitations or broadsides; watermark has bird like figure and filigree with letters above; inscription on piece: ""394 MG 100-ACQ. L.A. Book Fair 2/14/1998""; [written in black ink on verso]: ""3777. 11 October 1935""; [stamped in black in on verso]: ""GEMEENTELIJKE BIBLIOTHEEK ROTTERDAM"" [in a circle around a crest]; Contained in a white folder marked in pencil: 18th century Printed etc.""; Sidney E. Berger and Michele V. Cloonan purchased the sheet.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; II.H; Not signed. Not stamped. Not stickered. Not embossed.; Creased; edge tears; wrinkled; stained  and discolored on recto and verso",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,1800,reformatted digital,fedoraAdmin,1 sheet of cream laid watermarked paper; 5.75 x 22.50 in.,StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12371,2021-06-16T14:22:01.774000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/45/pages/page_0/files/12371.jpg,,,
Laid lines|Block-printed papers|art reproduction,12384,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/55/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/55/orderProxies,Openly accessible,2021-06-16T14:24:20.505000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F7; Charming printed and colored scenes of animals and musicians; laid paper; Inscription on original piece: ""kattumpapier Hollandisch, um 1780 vgl. Haemmerle Farbtat 18 5 [circled] SDB 1086""; Contained in a white folder marked in pencil: ""18th century Printed etc."";  See Haemmerle p. 161 plate 18; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1; Not signed. Not stamped. Not stickered. Not embossed.; Creased; folded at center; small edge tears; slight discoloration recto and verso",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,1780,reformatted digital,fedoraAdmin,"1 sheet of green, black, gold and cream block-printed paper; 18.25 x 14.75 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12384,2021-06-16T14:24:20.505000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/55/pages/page_0/files/12384.jpg,,,
