fedora_hasParent,dcterms_medium,dc_relation,dc_identifier,dc_type,dc_creator,fedora_lastModified,dcterms_spatial,dcterms_type,tamudigital_local/details,ldp_contains,fedora_createdBy,fedora_created,dc_format,dc_title,fedora_lastModifiedBy,dc_rights,fedora_writable,dcterms_extent,dc_subject,files,dcterms_temporal,dcterms_created,dc_contributor,dc_language,dcterms_alternative,dcterms_provenance
https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects,Paper,P4.D5.F3.A,76,Printed papers|art reproduction|decorated papers,"Hughes, Milena",2022-06-22T13:36:20.453000+00:00,United States,StillImage,"Surface application; Printed; Abstract image probably related to marbling process; very somber color tones; [written in pencil on recto]; ""Milena""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H; Signed; Not stamped; Not stickered; Not embossed; P4.D5.F3; Stored in plastic sleeve; catalog number written on backing paper",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/56/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/56/pages,fedoraAdmin,2022-06-22T13:36:20.453000+00:00,reformatted digital,Berger-Cloonan #76,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,false,"1 digital print of black, white and cream abstract image; 7.00 x 8.00  in.",Decorative paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/56/pages/page_0/files/00076.jpg,,,,,,
https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects,Paper,M5.D3.F2.A,236,art reproduction|Combed marbled papers|curl marbled paper,"Barutcugil, Hikmet",2022-06-22T13:36:25.143000+00:00,Turkey,StillImage,"Surface application; Marbled; [written in black ink on verso]; ""Hikmet Barutgil 1991""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1; Signed; Not stamped; Not stickered; Not embossed; M5.D3.F2",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/61/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/61/orderProxies,fedoraAdmin,2022-06-22T13:36:25.143000+00:00,reformatted digital,Berger-Cloonan #236,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,false,"1 sheet of pink, purple, blue and white marbled paper; 7.25 x 15.50 in.",Marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/61/pages/page_0/files/00236.jpg,1990s,1991,,,,
https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects,Paper,P4.D5.F3.A,56|20102,decorated papers|art reproduction|block printing (relief printing process)|Block-printed papers,"Hughes, Milena",2022-06-22T13:35:47.940000+00:00,United States,StillImage,"Surface application; Printed ; Repeating floral and vine motifs over linear rolled patterns; straight green lines; paper thin; [printed in black ink on white sticker on verso]; ""Milena Hughes for Jane Albert Studio, Inc. New York, NY USA #20102""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H.1; Not signed; Not stamped; Stickered; Not embossed; P4.D5.F3; Piece of white tape on verso",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/36/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/36/orderProxies,fedoraAdmin,2022-06-22T13:35:47.940000+00:00,reformatted digital,Berger-Cloonan #56,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,false,"1 sheet of gold, green and light brown printed paper; 18.00 x 22.00 in.",Block printing|Decorative paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/36/pages/page_0/files/00056.jpg,,,"Jane Albert Studio, Inc.",,,
https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects,Paper,P4.D3.F1.A,1622,Chiyogami papers|art reproduction|decorated papers,,2022-06-22T13:38:45.241000+00:00,,StillImage,"Surface application; Printed; Fan, blossom and maple leaf motifs; slight metallic sheen; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H.1.b; Not signed; Not stamped; Not stickered; Not embossed; P4.D3.F1",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/141/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/141/pages,fedoraAdmin,2022-06-22T13:38:45.241000+00:00,reformatted digital,Berger-Cloonan #1622,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,false,"1 sheet of light blue, dark blue, red, gold, black and white printed paper; 25.00 x 38.00 in.",Decorative paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/141/pages/page_0/files/01622.jpg,,,,,,
https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects,Paper,,598,curl marbled paper|art reproduction|Combed marbled papers,"Pogany, Susan Browning, 1947-",2022-06-22T13:37:08.828000+00:00,Kansas--Lawrence,StillImage,"Surface application; Marbled; [written in black in on verso]; ""[copyright] Susan Pogany 2006""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1; Signed; Not stamped; Not stickered; Not embossed; W3.D6.F9",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/86/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/86/pages,fedoraAdmin,2022-06-22T13:37:08.828000+00:00,reformatted digital,Berger-Cloonan #598,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,false,"1 sheet of purple, white and blue marbled paper23.00 x 31.25 in.",Marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/86/pages/page_0/files/00598.jpg,2000s,2006,,,,
https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects,Paper,M4.D1.F9.A,1597,art reproduction|decorated papers|Printed papers,,2022-06-22T13:37:57.784000+00:00,Virginia--Williamsburg,StillImage,"Surface application; Printed; Sheet depicts sheet music as well as small illustration of Revolutionary-Era soldiers; letterpress printed; [printed in black ink on recto]; ""Hand Set and Printed, at the Printing Office in Williamsburg, Virginia.""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H; Not signed; Not stamped; Not stickered; Not embossed; M4.D1.F9",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/116/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/116/orderProxies,fedoraAdmin,2022-06-22T13:37:57.784000+00:00,reformatted digital,Berger-Cloonan #1597: The White Cockade,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,false,"1 sheet of black, white and cream printed paper; 11.00 x 19.50 in.",Musical texts|Letterpress printing,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/116/pages/page_0/files/01597.jpg,,,,eng,The White Cockade,
https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects,Paper,M4.D1.F9.A,1602-001,Printed papers|art reproduction|decorated papers,,2022-06-22T13:38:08.314000+00:00,Turkey--Istanbul,StillImage,"Surface application; Printed; Sheet printed to resemble Turkish marbling with 2 floral motifs; central framed area includes text; [printed in black ink on recto]; ""Exhibition of Turkish Paper by Hikmet Barutcugil, Ayasofa 15 - 30, Sep : 90""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H; Not signed; Not stamped; Not stickered; Not embossed; M4.D1.F9",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/121/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/121/orderProxies,fedoraAdmin,2022-06-22T13:38:08.314000+00:00,reformatted digital,Berger-Cloonan #1602-001: Exhibition of Turkish Paper by Hikmet Barutcugil (1990),fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,false,"1 sheet of green, yellow, red, brown, light blue, dark blue, pink, orange, black and white printed paper; 14.00 x 19.50 in.",Marbled papers--Exhibitions|Decorative paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/121/pages/page_0/files/01602.jpg,,,,eng,Exhibition of Turkish Paper,
https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects,Paper,P4.D3.F1.A,1634,Chiyogami papers|art reproduction|decorated papers,,2022-06-22T13:39:11.682000+00:00,,StillImage,"Surface application; Printed; Fan, blossom and maple leaf motifs; slight metallic sheen; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H.1.b; Not signed; Not stamped; Not stickered; Not embossed; P4.D3.F1",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/153/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/153/pages,fedoraAdmin,2022-06-22T13:39:11.682000+00:00,reformatted digital,Berger-Cloonan #1634,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,false,"1 sheet of brown, blue, green, red, gold and white printed paper; 25.00 x 38.00 in.",Decorative paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/153/pages/page_0/files/01634.jpg,,,,,,
https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects,Paper,P4.D3.F1.A,1748,Chiyogami papers|art reproduction|decorated papers,,2022-06-22T13:42:42.571000+00:00,,StillImage,"Surface application; Printed; Chrysanthemum, cherry blossom, fan, pine and tortoise-shell motifs; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H.1.b; Not signed; [stamped in blue ink on verso] ""Made in Japan'; Not stickered; Not embossed; P4.D3.F1",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/266/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/266/orderProxies,fedoraAdmin,2022-06-22T13:42:42.571000+00:00,reformatted digital,Berger-Cloonan #1748,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,false,"1 sheet of red, maroon, yellow, green, brown and white printed paper; 25.00 x 39.00     in.",Decorative paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/266/pages/page_0/files/01748.jpg,,,,,,
https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects,Paper,,1696,art reproduction|decorated papers|Chiyogami papers,,2022-06-22T13:41:06.049000+00:00,,StillImage,"Surface application; Printed; Repeating tree pattern; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H.1.b; Not signed; [stamped in blue ink on verso] ""Made in Japan'; Not stickered; Not embossed; P4.D3.F1",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/214/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/214/orderProxies,fedoraAdmin,2022-06-22T13:41:06.049000+00:00,reformatted digital,Berger-Cloonan #1696,fedoraAdmin,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,false,"1 sheet of black, brown, red and white printed paper; 25.50 x 39.00 in.",Decorative paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_8_objects/214/pages/page_0/files/01696.jpg,,,,,,
