dc_subject,dc_language,fedora_writable,dc_contributor,dc_description,dc_rights,dcterms_spatial,ldp_contains,fedora_hasParent,fedora_createdBy,dc_creator,fedora_lastModifiedBy,dcterms_isPartOf,dc_type,dcterms_type,fedora_lastModified,fedora_created,dcterms_extent,dc_format,dc_title,dcterms_created,dcterms_abstract,files
"African American women|Freed persons|Wright, Minnie|Cherokee Indians--Tribal citizenship|Governmental investigations|Wisdom, D. M.|Children of freed persons|United States. Department of the Interior|African Americans|Wright, Anna|Wright, Ruthie|Wright, Henry|Wright, Nora",eng,false,"Breckinridge, Clifton Rodes, 1846-1932","Typewritten at the top: ""Cherokee F. D-185.""|The letter is addressed from ""Muskogee, Indian Territory.""","No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Oklahoma--Vian (Indian Territory)|Cherokee Nation, Oklahoma|Oklahoma--Muskogee (Indian Territory)",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/172/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/172/orderProxies,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects,fedoraAdmin,United States. Commission to the Five Civilized Tribes,fedoraAdmin,"1/30: Wright, Ruthie, et al., R-397. 1904-1906",Correspondence,Text,2025-08-14T15:18:00.626000+00:00,2025-08-14T15:18:00.626000+00:00,1 page,reformatted digital,"[Ruthie Wright et al. case]: Letter from C. R. Breckinridge, Commissioner in  Charge to the Five Civilized Tribes, to Ruthie Wright, Vian, Indian Territory, March 16, 1904",1904-03-16,"C. R. Breckinridge, Commissioner in Charge to the Five Civilized Tribes, informs Ruthie Wright of the Commission's decision to deny the application for herself and her four minor children (Henry,  Nora, Minnie, and Anna Wright) to be enrolled as Cherokee Freedmen. A copy of the official decision was originally enclosed with this letter, and Ruthie is informed that a copy of this decision and proceedings of her case has been sent to her attorney, D.M. Wisdom of Muskogee, Indian Territory, as well as the Secretary of the Interior for his review and final approval.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/172/pages/page_0/files/1-30WrightRuthie_0002_0001.jp2
"Enslaved persons|Cherokee Indians--Tribal citizenship|Children of freed persons|Governmental investigations|African Americans|Indian slaveholders|African American women|Freed persons|Albert, Martha",eng,false,"Needles, T. B. (Thomas. B.), 1835-1914|McRea, A. S.|Whitmire, Walter, Samuel, 1852-1926|Alberty, J. W.|Hastings, William Wirt, 1866-1938|Jones, Bruce C.","Interviewers: A.S. McRea (Attorney for applicants), W.W. Hastings (Counsel for Cherokee Nation), T. B. Needles; Interviewees: Watt Whitmire & J.W. Albert;, Stenographer: Bruce C. Jones|""File with Cherokee Freedman, D-103, John Barnes""","No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Oklahoma--Fort Gibson (Indian Territory)|Oklahoma--Goingsnake District (Indian Territory)|Arkansas|Texas|Cherokee Nation, Oklahoma",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/28/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/28/pages,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects,fedoraAdmin,United States. Commission to the Five Civilized Tribes,fedoraAdmin,"1/3: Barnes Family, R-422. 1901, 1905",Interviews,Text,2025-08-14T15:19:26.211000+00:00,2025-08-14T15:19:26.211000+00:00,5 pages,reformatted digital,"[Martha Albert et al. case testimonies]: Department of the Interior, Commission to the Five Civilized Tribes, Fort Gibson, I. T., September 4, 1901",1901-09-04,"Testimony of Watt Whitmire on behalf of Martha Albert, a formerly enslaved person, and her children for membership in the Cherokee Nation. Watt testifies that he is the son of Johnson Whitmire, Martha Albert's former enslaver. He discusses his recollections of enslaved persons living on his father's farm in Goingsnake District before the Civil War. Also includes the testimony of J.W. Alberty, a Cherokee ""by blood"" from Goingsnake District.. J.W. Alberty testifies about his recollection of the Whitmire family and the sale of Martha's family to a man called Dillingham from Arkansas, who allegedly later moved them to Texas.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/28/pages/page_0/files/1-3_Barnes_Family_0008_0001.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/28/pages/page_1/files/1-3_Barnes_Family_0008_0002.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/28/pages/page_2/files/1-3_Barnes_Family_0008_0003.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/28/pages/page_3/files/1-3_Barnes_Family_0008_0004.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/28/pages/page_4/files/1-3_Barnes_Family_0008_0005.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/28/pages/page_5/files/1-3_Barnes_Family_0008_0006.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/28/pages/page_6/files/1-3_Barnes_Family_0008_0007.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/28/pages/page_7/files/1-3_Barnes_Family_0008_0008.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/28/pages/page_8/files/1-3_Barnes_Family_0008_0009.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/28/pages/page_9/files/1-3_Barnes_Family_0008_0010.jp2
"American Civil War (United States : 1861-1865)|African Americans|Indian slaveholders|African American women|Freed persons|Enslaved persons|Albert, Martha|Migration, Internal--Southern States|Cherokee Indians--Tribal citizenship|Children of freed persons|Governmental investigations",eng,false,"Finley, Emma|Hastings, William Wirt, 1866-1938|Rosson, J. O. (John O.)|Hunt, Ruth|McRea, A. S.|Still, Harry|Needles, T. B. (Thomas. B.), 1835-1914","""To be filed with case of Henry Albert, et al., C.F.D.#102.""|Interviewers: A. S. McRea, (Attorney for applicants) W. W. Hastings (Cherokee Representative), T. B. Needles (Commissioner); Interviewees: Ruth Hunt, Emma Finley, Harry Still; Stenographer: J. O. Rosson","No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Cherokee Nation, Oklahoma|Oklahoma--Vinita (Indian Territory)|Arkansas--Fort Smith",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/6/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/6/orderProxies,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects,fedoraAdmin,United States. Commission to the Five Civilized Tribes,fedoraAdmin,"1/1: Albert, Henry, et al., R-421. 1901,1905",Interviews,Text,2025-08-14T15:21:51.266000+00:00,2025-08-14T15:21:51.266000+00:00,5 pages (2 copies),reformatted digital,"[Martha Albert et al. case testimonies]: Supplemental Testimony F.-D.#42: Department of the Interior, Commission to the Five Civilized Tribes, Vinita, I. T., May 21, 1901 [2 copies]",1901-05-21,"Testimony of Ruth Hunt, a Cherokee Freedman from Vinita on behalf of Martha Albert and her children for membership in the Cherokee Nation. Ruth testifies that she spent the Civil War in Fort Smith, Arkansas, and that Martha's husband worked for her family in 1867 after she returned to the Cherokee Nation. Also includes the testimonies of Emma Finley, the sister of Ruth Hunt, from Tahlequah Territory, and Harry Still, a Cherokee Freedman and former enslaved person. According to his testimony, Harry Still had been previously enslaved by George Whitmire, the brother of Johnson Whitmire, Martha Albert's former enslaver.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/6/pages/page_0/files/1-1_Albert_Henry_0005_0001.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/6/pages/page_1/files/1-1_Albert_Henry_0005_0002.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/6/pages/page_2/files/1-1_Albert_Henry_0005_0003.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/6/pages/page_3/files/1-1_Albert_Henry_0005_0004.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/6/pages/page_4/files/1-1_Albert_Henry_0005_0005.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/6/pages/page_5/files/1-1_Albert_Henry_0005_0006.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/6/pages/page_6/files/1-1_Albert_Henry_0005_0007.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/6/pages/page_7/files/1-1_Albert_Henry_0005_0008.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/6/pages/page_8/files/1-1_Albert_Henry_0005_0009.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/6/pages/page_9/files/1-1_Albert_Henry_0005_0010.jp2
"Cherokee Indians--Tribal citizenship|Governmental investigations|American Civil War (United States : 1861-1865)|African Americans|Umphuris, Dollie|Indian slaveholders|Cherokee Indians--Census, 1880|Cherokee Indians--Legal status, laws, etc.|African American women|Freed persons|Enslaved persons|Migration, Internal--Southern States|United States. Curtis Act",eng,false,"Bixby, Tams, 1854-1922|Stanley, W. E.|Breckinridge, Clifton Rodes, 1846-1932|Needles, T. B. (Thomas. B.), 1835-1914","Includes stamped signatures of Commissioners Tams Bixby, T.B. Needles, C.R. Breckinridge, W.E. Stanley, signed at Muskogee, Indian Territory, March 5, 1904.|Typewritten at the top of the document: ""Cherokee Freedmen D-8.""","No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Oklahoma--Fort Gibson (Indian Territory)|Texas|Cherokee Nation, Oklahoma",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/151/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/151/orderProxies,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects,fedoraAdmin,United States. Commission to the Five Civilized Tribes,fedoraAdmin,"1/25: Umphuris, Dollie, R-384. 1904, 1906",Correspondence,Text,2025-08-14T15:16:41.453000+00:00,2025-08-14T15:16:41.453000+00:00,1 page,reformatted digital,Decision: in the matter of the application of Dollie Umphuris for enrollment as a Cherokee Freedman,1904-03-05,"The official decision of the Commission to the Five Civilized Tribes to deny the application of Dollie Umphuris for citizenship in the Cherokee Nation. Based on evidence presented during proceedings that took place at Fort Gibson, Indian Territory, it is determined that she had been enslaved by John Harnage. A Cherokee citizen prior to 1856, had taken her to Texas during that year, and was re-admitted to citizenship in the Cherokee Nation after he returned in 1881. Dollie Umphuris was not identified in the 1880 authenticated Cherokee tribal roll. It is concluded by the Commission that Dollie had not been enslaved by a Cherokee citizen at the beginning of the war, and that her case should be denied according to provisions in the Curtis Act, passed by Congress on June 28, 1898.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/151/pages/page_0/files/1-25UmphurisDollie_0002_0001.jp2
"Freed persons|Cherokee Indians--Tribal citizenship|Governmental investigations|African Americans|Rowe,  Joseph",eng,false,"Hutchinson, Wm.|Hastings, William Wirt, 1866-1938|Rowe, Joseph","Interviewers: W. W. Hastings (Attorney for Cherokee Nation); Interviewee: Joseph Rowe; Stenographer, Wm. Hutchinson|""C.F.D. 1016.""","No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Rowe, Joseph|Cherokee Nation, Oklahoma|United States Department of the Interior|Oklahoma--Muskogee (Indian Territory)",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/133/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/133/orderProxies,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects,fedoraAdmin,United States. Commission to the Five Civilized Tribes,fedoraAdmin,"1/20: Rowe Family. Joseph (R-360, D-1016), Parmelia (R-361, D-681). 1901, 1903-1904",Interviews,Text,2025-08-14T15:15:40.069000+00:00,2025-08-14T15:15:40.069000+00:00,2 pages,reformatted digital,"Supplemental testimony and proceedings in the matter of the application for the enrollment of Joseph Rowe et al., as Cherokee Freedmen: Department of the Interior, Commission to the Five Civilized Tribes, Vinita, I. T., November 17, 1903",1903-11-17,Testimony of Joseph Rowe,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/133/pages/page_0/files/1-20RoweFamily_0007_0001.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/133/pages/page_1/files/1-20RoweFamily_0007_0002.jp2
"Cherokee Indians--Tribal citizenship|Governmental investigations|Children of freed persons|African Americans|Williams, Ed",eng,false,United States. Commission to the Five Civilized Tribes,,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Cherokee Nation, Oklahoma|Washington (D. C.)",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/168/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/168/pages,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects,fedoraAdmin,United States. Department of the Interior,fedoraAdmin,"1/29: Williams, Ed., R-359. 1904",Correspondence,Text,2025-08-14T15:17:40.877000+00:00,2025-08-14T15:17:40.877000+00:00,1 envelope,reformatted digital,Ed Williams: [Envelope for documents of a denied case for Cherokee Freedmen enrollment],1904-05-27,"Envelope that contained the documents relating to the denial of Ed Williams' application to be enrolled as a Cherokee Freedman by the Commission to the Five Civilized Tribes. It is stamped ""Refused. Action approved by Secretary of the Interior, May 27, 1904.""",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/168/pages/page_0/files/1-29WilliamsEd_0001_0001.jp2
"African American women|Migration, Internal--United States|Freed persons|Reed, Betsy|Cherokee Indians--Tribal citizenship|Governmental investigations|Children of freed persons|African Americans",eng,false,"Von Weise, Chas.|Breckinridge, Clifton Rodes, 1846-1932|Hastings, William Wirt, 1866-1938|Smith, Edgar","Includes a typewritten signature of J.A. Cady (Clerk of Linn County Kansas) and a handwritten signature of C.R. Breckinridge.|Appearances: W. W. Hastings (Attorney for the Cherokee Nation), Edgar Smith (Attorney for the applicants, from the firm Mellette & Smith), Clifton R. Breckinridge (Commissioner), Chas. von Weise (Stenographer)|At the top of the letter, the sentence ""File with Sarah Hines et al."" appears, where the original case number is crossed out and replaced with the handwritten number: ""C.F.D. 1094.""","No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Cherokee Nation, Oklahoma|Oklahoma--Vinita (Indian Territory)|Kansas--Mound City (Township)|Kansas--Linn County",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/117/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/117/pages,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects,fedoraAdmin,United States. Commission to the Five Civilized Tribes,fedoraAdmin,"1/17: Reed, Betsy, R-404, and Sarah Hines, R-405. 1901, 1904",,Text,2025-08-14T15:14:43.275000+00:00,2025-08-14T15:14:43.275000+00:00,1 page,reformatted digital,"In the matter of the application of Betsy Reed, C.F.D. 1093--Supplemental testimony [from the Commission to the Five Civilized Tribes, Vinita, I.T., October 29th, 1901]",1901-10-29,"W.W. Hastings requests a certificate from Linn County, Kansas be admitted as evidence that that Betsy Reed, the wife of Joseph Reed, had lived continuously in Mound City Township, Kansas from 1870 to 1878. Edgar Smith objects to this request as inadmissible evidence. Commissioner C.R. Breckinridge decides to take note of Smith's objections and file the certificate with the testimony with the Betsy Reed case (C.F.D. 1093) for further consideration by the Commission. He also decides to file it with additional cases: Sarah Hines et al. and Senie Dorgan (C.F.D. 1095).",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/117/pages/page_0/files/1-17ReedBetsy_0003_0001.jp2
"Cherokee Indians--Census, 1880|Cherokee Indians--Legal status, laws, etc.|Freed persons|Migration, Internal--Southern States|United States. Curtis Act|Cherokee Indians--Tribal citizenship|May, John|Governmental investigations|Children of freed persons|American Civil War (United States : 1861-1865)|African Americans|Cherokee Indians--Census, 1896",eng,false,"Bixby, Tams, 1854-1922|Stanley, W. E.|Breckinridge, Clifton Rodes, 1846-1932|Needles, T. B. (Thomas. B.), 1835-1914","Stamped with the signatures of the Commissioners to the Five Civilized Tribes: Tams Bixby, T.B. Needles, C.R. Breckinridge, W.E. Stanley.|""Cherokee Freedmen D 828.""","No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Oklahoma--Muskogee (Indian Territory)|Oklahoma--Nowata (Indian Territory)|Cherokee Nation, Oklahoma",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/92/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/92/pages,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects,fedoraAdmin,United States. Commission to the Five Civilized Tribes,fedoraAdmin,"1/13: May, John, D-328. 1904",Correspondence,Text,2025-08-14T15:24:13.771000+00:00,2025-08-14T15:24:13.771000+00:00,2 pages with a larger blue sheet of paper that was attached to the document,reformatted digital,"Decision : in the matter of the application for the enrollment of John May and his minor children, Sophia, Ettie, Minnie, Elmer, Idella and Nellie May, as Cherokee Freedmen",1904-03-11,"The official decision of the Commission to the Five Civilized Tribes to deny the application of John May and his children (Sophia, Ettie, Minnie, Elmer and Idella May) for enrollment as Cherokee Freedmen. It states that he may have appeared before the Commission on June 24, 1901 in Nowata, Indian Territory in order to testify.  The evidence shows that he was formerly enslaved by a Cherokee citizen and left the Cherokee Nation during the Civil War, but did not return within the required timeframe, as decreed in the case of ""Moses Whitmire, trustee, etc. vs. the Cherokee Nation et al."" in 1896. None of the applicants were identified in the ""authenticated"" 1880 Cherokee tribal roll. It was decided to deny this case according to provisions in the Curtis Act, approved by Congress on June 28, 1898.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/92/pages/page_0/files/1-13MayJohn_0001_0002.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/92/pages/page_1/files/1-13MayJohn_0001_0003.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/92/pages/page_2/files/1-13MayJohn_0001_0001.jp2
"Rowe, Salina|Reese, Savannah|Seals, Adamiah|Rowe, Parmelia|Seals, Pearle|African American women|Freed persons|Rowe, Joseph|Cherokee Indians--Tribal citizenship|Governmental investigations|Seals, Alverta|Children of freed persons|Rowe, Jesse|Wilson, Flessie M.|Lyons, Martha|Seals Clifford|Rowe, Nancy|African Americans|Rowe, Colis",eng,false,"Needles, T. B. (Thomas. B.), 1835-1914","""Cherokee Freedmen D-681 et al.""|Stamped at the top of the letter: ""Copy.""","No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Cherokee Nation, Oklahoma|Oklahoma--Vinita (Indian Territory)|Oklahoma--Muskogee (Indian Territory)",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/130/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/130/orderProxies,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects,fedoraAdmin,United States. Commission to the Five Civilized Tribes,fedoraAdmin,"1/20: Rowe Family. Joseph (R-360, D-1016), Parmelia (R-361, D-681). 1901, 1903-1904",Correspondence,Text,2025-08-14T15:15:28.716000+00:00,2025-08-14T15:15:28.716000+00:00,1 page,reformatted digital,"[Pamela Rowe et al. case]: Letter from T.B. Needles, Commissioner to the Five Civilized Tribes, Muskogee, Indian Territory, to Edgar Smith, Attorney for Parmelia Rowe et al., Vinita, Indian Territory, May 5, 1905",1904-05-05,"T.B. Needles informs Edgar Smith, who represented Parmelia Rowe et al., that The Commission has decided to deny the applications in this consolidated case for enrollment as Cherokee Freedmen. This decision affects the applications of Pamelia Rowe, as well as Nancy, Salena, Colis, Jesse, Joseph, Pellie, Clarinda, Osa, Lena, Jesse Rowe Jr., Adami (also referred to in other documents as ""Adamiah""), Alverta, Pearly and Clifford Seals, Martha Lyons, Arra and Ina Ray, Mary, Claude, Joseph and Flessie M. Wilson, and Savannah Reese. The decision has been sent to the Secretary of the Interior for final approval.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/130/pages/page_0/files/1-20RoweFamily_0004_0003.jp2
"African American women|Freed persons|Cherokee Indians--Tribal citizenship|Governmental investigations|African Americans|Whitmire, Phyllis",eng,false,United States. Commission to the Five Civilized Tribes,"Stamped at the top: ""Cherokee Freedmen, R-354.""","No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Washington (D. C.)|Cherokee Nation, Oklahoma",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/165/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/165/orderProxies,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects,fedoraAdmin,United States. Department of the Interior,fedoraAdmin,"1/28: Whitmire, Phyllis, R-354. 1904",Correspondence,Text,2025-08-14T15:17:31.795000+00:00,2025-08-14T15:17:31.795000+00:00,1 envelope,reformatted digital,Phyllis Whitmire: [Envelope for copy of a testimony in a denied case for Cherokee Freedmen enrollment],1904-05-23,"Envelope that contained the documents relating to the denial of Phyllis Whitmire's application to be enrolled as a Cherokee Freedman by the Commission to the Five Civilized Tribes. It is stamped ""Refused. Action approved by Secretary of the Interior, May 23, 1904.""",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen_objects/165/pages/page_0/files/1-28WhitmirePhyllis_0001_0001.jp2
