dc_subject,dcterms_type,ldp_contains,fedora_writable,fedora_createdBy,fedora_lastModified,dcterms_spatial,dcterms_extent,dcterms_isPartOf,dc_contributor,dc_format,dcterms_temporal,dc_type,tamudigital_local/details,fedora_hasParent,dc_rights,fedora_lastModifiedBy,dc_title,dcterms_created,dc_identifier,fedora_created,dcterms_abstract,files,dc_creator,dc_language,dcterms_tableOfContents,dcterms_provenance,dc_description
Education parks|Texas A & M University. College of Veterinary Medicine--Aerial views|Campus planning|School lands|Aerial photography,StillImage,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/85/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/85/pages,false,fedoraAdmin,2022-02-11T23:04:54.440000+00:00,Texas|College Station,1 black-and-white negative; 9.5X12mm,College of Veterinary Medicine Image Collection,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,reformatted digital,1970s,Aerial photographs|Photographs,"Written on photograph: ""Aerial photograph of Vet. School area before 1979.""",https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,fedoraAdmin,"Aerial Images of Veterinary College and Surrounding Areas, number 40",Between 1970 and 1978,797,2022-02-11T23:04:54.440000+00:00,A direct overhead view of the buildings and facilities of the College of Veterinary Medicine between F&B road and Highway 60 (University Drive); taken before 1979.,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/85/pages/page_0/files/CVM_0797.jpg,,,,,
"Clone Cells|Hill, Jonathan|Texas A & M University. College of Veterinary Medicine--Faculty|Veterinarians|Reproductive technology|Deans (Education)|Genetic Engineering|Second Chance|Bovine|Cattle|Cloning|Animals, Genetically Modified|Press conferences|Adams, H. Richard|Westhusin, Mark",StillImage,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/336/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/336/pages,false,fedoraAdmin,2022-02-11T23:53:49.848000+00:00,Texas|College Station,1 slide in color (photograph); 5X5mm,College of Veterinary Medicine Image Collection,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,reformatted digital,1990s,Photographs,,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,fedoraAdmin,"Cloned Steer News Conference, number 24",1999,1050,2022-02-11T23:53:49.848000+00:00,"Dr. H. Richard Adams, Dean of Veterinary Medicine at Texas A&M University, stands at podium to speak about the cloned bull project to the press. Scientists Dr. Jonathan Hill and Dr. Mark Westhusin at Texas A&M University stand to the side of the podium. The latter pair have successfully cloned what is believed to be the first calf cloned from an adult bull, which is also the oldest animal ever cloned, a 21-year-old Brahman from Ralph and Sandra Fisher of La Grange, Texas. The cloned calf 'Second Chance' not only looks just like his father, but also has his father's exact DNA. Their research could have enormous implications in the beef cattle industry and in the future applications of cloning technology.",https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/336/pages/page_0/files/CVM_1050.jpg,,,,,
"Laboratory Personnel|Diagnostic services|Dissecting microscopes|Veterinary laboratories|Texas Veterinary Medical Diagnostic Laboratory|Equipment and Supplies|Diagnosis, Laboratory|Pathology, Veterinary|Diagnostic Equipment",StillImage,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/513/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/513/pages,false,fedoraAdmin,2022-02-12T00:36:27.854000+00:00,College Station|Texas,1 color print (photograph); 6X6.5mm,College of Veterinary Medicine Image Collection,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,reformatted digital,,Photographs,,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,fedoraAdmin,Man Looks at Specimens through Microscope,,1235,2022-02-12T00:36:27.854000+00:00,A man uses a multiview dissecting microscope to analyze a specimen.,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/513/pages/page_0/files/CVM_1235.jpg,,,,,
"Cloning|Animals, Genetically Modified|Cattle|Fisher, Sandra|Press conferences|Clone Cells|Fisher, Ralph|Reproductive technology|Genetic Engineering|Second Chance|Bovine",StillImage,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/374/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/374/orderProxies,false,fedoraAdmin,2022-02-12T00:02:52.414000+00:00,Texas|College Station,"1 color print (photograph); 10X15mm, with negative",College of Veterinary Medicine Image Collection,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,reformatted digital,1990s,Photographs,"Written on photograph: ""36405.""",https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,fedoraAdmin,"Cloned Steer News Conference, number 62",9/2/1999,1088,2022-02-12T00:02:52.414000+00:00,"Ralph and Sandra Fisher, owners of the cloned bull Second Chance, speak at the press conference for him. Scientists Dr. Jonathan Hill and Dr. Mark Westhusin at Texas A&M University have successfully cloned what is believed to be the first calf cloned from an adult bull, which is also the oldest animal ever cloned, a 21-year-old Brahman from Ralph and Sandra Fisher of La Grange, Texas. The cloned calf 'Second Chance' not only looks just like his father, but also has his father's exact DNA. Their research could have enormous implications in the beef cattle industry and in the future applications of cloning technology.",https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/374/pages/page_0/files/CVM_1088.jpg,,,,,
"Operating room nursing|Surgery, Veterinary|Dogs|Veterinary students|Veterinarians|Women veterinary students|Texas A & M University. College of Veterinary Medicine--Students|Anesthesia|Women veterinarians|Surgical instruments and apparatus",StillImage,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/204/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/204/pages,false,fedoraAdmin,2022-02-11T23:22:53.685000+00:00,College Station|Texas,1 black-and-white negative; 2.5X3.5mm,College of Veterinary Medicine Image Collection,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,reformatted digital,,Photographs,,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,fedoraAdmin,"Dog in Surgery, number 11",,917,2022-02-11T23:22:53.685000+00:00,"While two veterinarians or veterinary students (one male, one female) to the right of the image operate on the dog, a female veterinarian or student to the left adjusts the anesthesia.",https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/204/pages/page_0/files/CVM_0917.jpg,,,,,
Texas A & M University. College of Veterinary Medicine--Aerial views|Campus planning|School lands|Aerial photography|Education parks,StillImage,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/104/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/104/orderProxies,false,fedoraAdmin,2022-02-11T22:38:24.777000+00:00,Texas|College Station,1 black-and-white negative; 5.5X5.5mm negative with proof,College of Veterinary Medicine Image Collection,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,reformatted digital,1980s,Aerial photographs|Photographs,"Written on photograph: ""Aerial 1982-2.""",https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,fedoraAdmin,"Aerial Images of Veterinary College and Surrounding Areas, number 59",1982,816,2022-02-11T22:38:24.777000+00:00,This is an image taken from an airplane with a view of the lands located to the west of the Main Campus. The Veterinary Medicine Education Complex is visible along University Drive (Highway 60). This picture was taken before the construction of the Reynolds building (College of Medicine) and the Medical Sciences Library building. At this time the Small Animal Hospital and Clinic had not started the construction of new additions and renovations.,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/104/pages/page_0/files/CVM_0816.jpg,,,,,
College buildings|Texas A & M University. College of Veterinary Medicine--Buildings,StillImage,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/169/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/169/orderProxies,false,fedoraAdmin,2022-02-11T23:14:49.274000+00:00,College Station|Texas,1 black-and-white negative; 2.5X3.5mm,College of Veterinary Medicine Image Collection,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,reformatted digital,,Photographs,,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,fedoraAdmin,"Unidentified Building, number 12: Greenhouse",,882,2022-02-11T23:14:49.274000+00:00,"Two green houses occupy the image, one to the left and one on the far right. There is also a truck, circa 1970, in parking lot or driveway between the two greenhouses with a brick, Windowless building in front of the truck.",https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/169/pages/page_0/files/CVM_0882.jpg,,,,,
Veterinary services|Small Animal Medicine|Animal cages|Animal health|Cat Diseases|Animal health technicians|Isolation--Hospital care|Cats,StillImage,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/242/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/242/orderProxies,false,fedoraAdmin,2022-02-11T23:31:41.827000+00:00,Texas|College Station,1 black-and-white negative; 2.5X3.5mm,College of Veterinary Medicine Image Collection,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,reformatted digital,,Photographs,,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,fedoraAdmin,"Cat Placed in Special Containment Area, number 05",,955,2022-02-11T23:31:41.827000+00:00,A woman puts black cat into a cage of some sort with glass door for treatment.,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/242/pages/page_0/files/CVM_0955.jpg,,,,,
"Specimen Handling|Veterinary laboratories|Microscopes|Texas Veterinary Medical Diagnostic Laboratory|Equipment and Supplies|Diagnosis, Laboratory|Diagnostic Equipment|Pathology, Veterinary|Women medical technologists|Laboratory Personnel|Diagnostic services",StillImage,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/525/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/525/pages,false,fedoraAdmin,2022-02-12T00:39:22.169000+00:00,Texas|College Station,1 color print (photograph); 6X6.5mm,College of Veterinary Medicine Image Collection,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,reformatted digital,,Photographs,,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,fedoraAdmin,"Woman uses Equipment, number 13",,1247,2022-02-12T00:39:22.169000+00:00,A woman observes one of several vials of liquid through an inverted microscope.,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/525/pages/page_0/files/CVM_1247.jpg,,,,,
"Clone Cells|Hill, Jonathan|Texas A & M University. College of Veterinary Medicine--Faculty|Veterinarians|Reproductive technology|Genetic Engineering|Deans (Education)|Second Chance|Bovine|Cloning|Animals, Genetically Modified|Cattle|Press conferences|Adams, H. Richard|Westhusin, Mark",StillImage,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/350/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/350/orderProxies,false,fedoraAdmin,2022-02-11T23:57:09.069000+00:00,College Station|Texas,1 black-and-white slide (photograph); 5X5mm,College of Veterinary Medicine Image Collection,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,reformatted digital,1990s,Photographs,,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,fedoraAdmin,"Cloned Steer News Conference, number 38",1999,1064,2022-02-11T23:57:09.069000+00:00,"Scientists Dr. Jonathan Hill and Dr. Mark Westhusin stand at a podium and discuss their cloned bull project to the press. Scientists Dr. Jonathan Hill and Dr. Mark Westhusin at Texas A&M University have successfully cloned what is believed to be the first calf cloned from an adult bull, which is also the oldest animal ever cloned, a 21-year-old Brahman from Ralph and Sandra Fisher of La Grange, Texas. The cloned calf 'Second Chance' not only looks just like his father, but also has his father's exact DNA. Their research could have enormous implications in the beef cattle industry and in the future applications of cloning technology.",https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/350/pages/page_0/files/CVM_1064.jpg,,,,,
"Texas A & M University. College of Veterinary Medicine--Students|Anesthesia|Women veterinarians|Surgical instruments and apparatus|Operating room nursing|Surgery, Veterinary|Dogs|Veterinary students|Veterinarians|Women veterinary students",StillImage,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/201/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/201/pages,false,fedoraAdmin,2022-02-11T23:22:12.199000+00:00,Texas|College Station,1 black-and-white negative; 2.5X3.5mm,College of Veterinary Medicine Image Collection,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,reformatted digital,,Photographs,,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,fedoraAdmin,"Dog in Surgery, number 08",,914,2022-02-11T23:22:12.199000+00:00,"While two veterinarians or veterinary students (one male, one female) to the right of the image operate on the dog, another veterinarian on a stool to the left records information and checks her watch (presumably checking vitals).",https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-1_objects/201/pages/page_0/files/CVM_0914.jpg,,,,,
