dc_type,fedora_createdBy,dc_creator,fedora_hasParent,dc_rights,dc_contributor,fedora_lastModifiedBy,dcterms_extent,fedora_created,ldp_contains,dcterms_provenance,dc_title,dcterms_temporal,dc_subject,dcterms_isPartOf,dcterms_abstract,dcterms_created,dc_identifier,dcterms_type,fedora_lastModified,fedora_writable,files,dcterms_spatial,tamudigital_local/details,dc_description
Photographs,fedoraAdmin,"Golden, George E.",https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences|United States. Department of Agriculture,fedoraAdmin,1 black-and -white print (photograph); 9X14.5mm,2023-02-17T16:50:49.159000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/90/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/90/orderProxies,"Written on photograph: ""This collection of kodak pictures, made by the late, Dr. Frank D. Porter in the course of his life work and interest with diseased animals is bequeathed to the library of Texas A&M College at his request, in the hope it will be of service and help to students in the pursuit of their career.  The pictures were made by Dr. F. D. Porter while on the Foot & Mouth disease in California in year of 1930 and in Houston in 1924.  And some were acquired from G. E. Golden. Dr. Frank D. Porter, Born-Indiana-1879, Died-Ft. Worth, TX-May 22, 1950.""","Frank D. Porter-Golden  Foot & Mouth Collection, number 38",Between 1924 and 1930,"Animal Diseases|Calves|Porter, Frank D.--Photograph collections|Foot-and-Mouth Disease",College of Veterinary Medicine Image Collection,This image shows the head of a calf that has been infected with foot-and-mouth disease.,Between 1924 and 1930,0088,StillImage,2023-02-17T16:50:49.159000+00:00,false,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/90/pages/page_0/files/CVM_0088.jpg,,,
Photographs|Portraits,fedoraAdmin,,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,fedoraAdmin,1 black-and -white print (photograph); 16X11.5mm,2023-02-17T18:04:37.923000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/309/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/309/pages,,"Dr. Michael E. DeBakey, number 01",1990s,"Cardiologists|Baylor College of Medicine--Faculty|DeBakey, Michael E. (Michael Ellis), 1908-2008|Veterinary teachers|Veterinarians",College of Veterinary Medicine Image Collection,"A professional headshot image of Dr. Michael Ellis DeBakey, M.D., renowned American heart surgeon.  Dr. DeBakey (September 7, 1908 - July 11, 2008) was a Lebanese-American cardiac surgeon, scientist, and medical educator. Dr. DeBakey developed the roller pump, which became an essential component of the heart-lung machine that made open-heart surgery possible. He was one of the first to perform coronary artery bypass surgery, and in 1953 he performed the first successful carotid endarterectomy. A pioneer in the development of an artificial heart, DeBakey was the first to use an external heart pump successfully. In 1999 TAMU established the Michael E. DeBakey Institute for Comparative Cardiovascular Science and Biomedical Devices.  The Michael E. DeBakey Institute at Texas A&M College of Veterinary Medicine & Biomedical Sciences, founded as a collaboration between Texas A&M, the Baylor College of Medicine and the UT Health Science Center at Houston for cardiovascular research, was named after DeBakey.",1999,0309,StillImage,2023-02-17T18:04:37.923000+00:00,false,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/309/pages/page_0/files/CVM_0309.jpg,,,
Photographs,fedoraAdmin,,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,fedoraAdmin,1 color negative; Kodak,2023-02-17T18:38:04.832000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/409/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/409/orderProxies,,"Ellie Greenbaum with Animals at the Stevenson Center, number 11",1990s,"Cats|Animal housing|Small Animal Medicine and Surgery|Human-animal relationships|Stevenson Companion Animal Life-Care Center|Pet medicine|Stevenson Companion Animal Life-Care Center--Employees|Pets|Greenbaum, Ellie",College of Veterinary Medicine Image Collection,"Ellie Greenbaum (Associate Director of the Stevenson Companion Animal Life-Care Center) at her desk with resident feline ""Jessica,"" who came to the Center in December of 1998.",1999-09-14,0359-22,StillImage,2023-02-17T18:38:04.832000+00:00,false,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/409/pages/page_0/files/CVM_0359-22.jpg,College Station|Texas,,
Photographs,fedoraAdmin,,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,fedoraAdmin,"1 color print (photograph); 19.5X24.5mm, mounted",2023-02-17T17:53:07.317000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/276/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/276/pages,,Puppy at the Small Animal Clinic,,"Pets|Texas A & M University. College of Medicine--Employees|Small Animal Medicine and Surgery|Dogs|Hospitals, Teaching|Puppies|Hospitals, Animal|Pet medicine",College of Veterinary Medicine Image Collection,A yellow Labrador puppy is being greeted by two staff members at the Small Animal Clinic while one of them holds its leash.,,0276,StillImage,2023-02-17T17:53:07.317000+00:00,false,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/276/pages/page_0/files/CVM_0276.jpg,College Station|Texas,,
Photographs,fedoraAdmin,,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,fedoraAdmin,1 black-and -white print (photograph); 19X24mm,2023-02-17T17:37:14.646000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/229/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/229/pages,,Ross P. Marsteller Award Recipient: Richard L. Goode,1970s,"Veterinary medicine--Awards|Deans (Education)|Veterinary students|Goode, Richard L.|Texas A & M University. College of Veterinary Medicine--Students|Veterinary teachers|Texas A & M University. College of Veterinary Medicine--Awards|Award presentations|Price, Alvin Audis|Texas A & M University. College of Veterinary Medicine--Faculty",College of Veterinary Medicine Image Collection,"Richard L. Goode (on the right) was presented the Ross P. Marsteller Award by Dean A. A. Price (on the left).  This award was given to a student having a livestock background who completed the second year of the professional curriculum, and displayed outstanding proficiency in large animal clinics. This photograph was taken on July 7, 1972 during the annual award ceremony honoring the academic achievements of undergraduate students at the College of Veterinary Medicine.",1972-07-07,0229,StillImage,2023-02-17T17:37:14.646000+00:00,false,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/229/pages/page_0/files/CVM_0229.jpg,Texas|College Station,"Written on photograph: ROSS P. MARSTELLER AWARD:  An award of $300 presented in memory of the late Dr. R. P. Marstiller [sic] to a student having a livestock background, completing the second year of the professional curriculum, and displaying outstanding proficiency in large animal clinics.  RECIPIENT: Richard L. Goode",
Photographs,fedoraAdmin,,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,fedoraAdmin,"1 color print (photograph); 15X22.5mm, mounted",2023-02-17T17:44:54.087000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/252/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/252/pages,,Dr. Kittane Mayura and Dr. Timothy D. Phillips with a Microscope,Between 1970 and 1990,"Veterinary teachers|Veterinary laboratories|Texas A & M University. Department of Veterinary & Public Health--Faculty|Phillips, Timothy D.|Texas A & M University. College of Veterinary Medicine--Faculty|Mayura, Kittane|Women college teachers|Microscopes",College of Veterinary Medicine Image Collection,Two faculty members from the Department of Veterinary & Public Health are shown.  Dr. Kittane Mayura is seated at a microscope  while Dr. Timothy D. Phillips looks on.,Between 1970 and 1990,0252|0161,StillImage,2023-02-17T17:44:54.087000+00:00,false,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/252/pages/page_0/files/CVM_0252.jpg,College Station|Texas,,
Photographs,fedoraAdmin,"Rydzewski, Tony",https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,fedoraAdmin,"1 color print (photograph); 15X22.5mm, mounted",2023-02-17T17:52:25.537000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/274/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/274/orderProxies,,Wing of the Texas Veterinary Medical Diagnostic Laboratory,1990s,Historic buildings|Texas Veterinary Medical Diagnostic Laboratory--Buildings|College buildings|Texas A & M University. College of Veterinary Medicine--Buildings,College of Veterinary Medicine Image Collection,"A view of a wing that was added to the Texas Veterinary Medical Diagnostic Laboratory (TVMDL) in 1992.  The first TVMDL facility was built in 1969, and has since had three expansions in 1978, 1992 and 2004.",1993-10,0151|0274,StillImage,2023-02-17T17:52:25.537000+00:00,false,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/274/pages/page_0/files/CVM_0274.jpg,Texas|College Station,"Written on photograph: ""TVMDL- New Addition.""",
Photographs,fedoraAdmin,,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,fedoraAdmin,1 black-and -white print (photograph); 12X17mm,2023-02-17T16:25:22.050000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/20/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/20/orderProxies,,"Hog Cholera Serum Production, number 3",,Swine--Vaccination|Swine-Equipment and supplies|Veterinary laboratories|Blood|Swine Diseases|Serum|Veterinary medicine--History|Vaccines|Swine|Cholera|Swine-Virus diseases|Cholera--Vaccination,College of Veterinary Medicine Image Collection,Two men administer anti-hog cholera serum to the hog on the rolling table.  The activity featured in this photograph took place in the anti-hog cholera serum laboratory that occupied the east wing of the veterinary hospital built in 1908 at the corner of Spence and Robert streets.  It was used for this purpose until 1917 when a new anti-hog serum laboratory was constructed on the corner of Roberts and Bizzell streets.,between 1905 and 1920,0019,StillImage,2023-02-17T16:25:22.050000+00:00,false,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/20/pages/page_0/files/CVM_0019.jpg,College Station|Texas,,
Photographs,fedoraAdmin,,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,A&M College Studio|Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,fedoraAdmin,1 black-and -white print (photograph); 7X11.5mm,2023-02-17T17:03:53.277000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/130/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/130/pages,"From a book of personal photographs given to Jerome Jackson Waters Jr. from John N. Olson; both of the graduating class of 1913, on the event of their 1938 class reunion. During this same year, Waters became an Instructor at the Illinois National Guard.  In 1941,  he became Commanding Officer of the Sixth Training Regiment.  From 1942 to 1944 he was appointed Commanding Officer Artillery 76th Division.  From 1944 to 1945, he was Commanding Officer Artillery XXXII Corps. Brig. Gen. Jerome J. Waters passed away in 1972.","Final Review of A&M College of Texas Corps of Cadets on Main Drill Field, June 4 1938",1930s,"Texas Agricultural and Mechanical College of Texas. Corps of Cadets|Aggie traditions|Special Events|Military exhibition drill|Main Drill Field (College Station, Tex.)|Waters, Jerome Jackson--Photograph collections",College of Veterinary Medicine Image Collection,"A view of the Main Drill Field during Final Review, the last activity of the Corps of Cadets before it is dismissed for the summer.  This exercise includes a full military review of the entire Corps of Cadets, designed to formally signify the transition of command of the Corps from one year to the next.  Main Drill also served as the university's early football field prior to construction of a permanent field in 1905, as well as the site of horse-drawn artillery and infantry exercises and student pilot training in the 1920s. The Aggie Bonfire was held on the Main Drill Field from 1909 until 1955.  In 1920, A&M's Board of Directors paid tribute to former cadets killed during World War I by planting oak trees around the field, each with a marker that provided the name, class and site and date of death for each man. t",1938-06-04,0128,StillImage,2023-02-17T17:03:53.277000+00:00,false,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/130/pages/page_0/files/CVM_0128.jpg,College Station|Texas,,
Photographs,fedoraAdmin,,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,fedoraAdmin,1 color negative; Kodak,2023-02-17T18:32:22.968000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/392/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/392/pages,,"Dr. Presnal on the Phone at the Stevenson Companion Animal Life-Care Center, number 05",1990s,"Stevenson Companion Animal Life-Care Center--Employees|Veterinary teachers|Presnal, Henry L. (Sonny)|Animal housing|Small Animal Medicine and Surgery|Stevenson Companion Animal Life-Care Center|Texas A & M University. College of Veterinary Medicine--Faculty|Pet medicine",College of Veterinary Medicine Image Collection,"Henry L. (Sonny) Presnal, DVM, Director of the Stevenson Companion Animal Life-Care Center, on the phone at his desk.",1999-09-14,0359-05,StillImage,2023-02-17T18:32:22.968000+00:00,false,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-3_objects/392/pages/page_0/files/CVM_0359-5.jpg,College Station|Texas,,
