ldp_contains,fedora_hasParent,fedora_lastModified,fedora_createdBy,fedora_created,dcterms_isPartOf,fedora_lastModifiedBy,dc_title,fedora_writable,files,dc_date,dc_rights
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/510/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/510/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects,2025-12-18T21:39:54.045000+00:00,fedoraAdmin,2025-12-18T21:39:54.045000+00:00,Box 4 Louis L. McInnis Papers/Box 4 Folder 12 Louis L. McInnis Papers,fedoraAdmin,"By the above of will be seen ...total amount to College, circa 1870s-1880s",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/510/pages/page_0/files/0001.tif,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/301/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/301/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects,2025-12-18T21:16:25.758000+00:00,fedoraAdmin,2025-12-18T21:16:25.758000+00:00,Box 2 Louis L. McInnis Papers/Box 2 Folder 1 Louis L. McInnis Papers,fedoraAdmin,"Letter to Louis L. McInnis from A. J. Rose, February 12, 1890",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/301/pages/page_0/files/0001.tif,1890-02-12,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/95/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/95/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects,2025-12-18T21:48:16.052000+00:00,fedoraAdmin,2025-12-18T21:48:16.052000+00:00,Box 1 Louis L. McInnis Papers/Box 1 Folder 19 Louis L. McInnis Papers,fedoraAdmin,"Letter to Louis L. McInnis from George Pfeuffer, April 25, 1885",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/95/pages/page_0/files/0001.tif,1885-04-25,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/407/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/407/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects,2025-12-18T21:30:19.538000+00:00,fedoraAdmin,2025-12-18T21:30:19.538000+00:00,Box 2 Louis L. McInnis Papers/Box 2 Folder 4 Louis L. McInnis Papers,fedoraAdmin,"Letter to 'Adjutant General, U. S. Army' from W. S. Scott, August 31, 1890",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/407/pages/page_0/files/0001.tif,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/380/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/380/orderProxies,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects,2025-12-18T21:28:22.939000+00:00,fedoraAdmin,2025-12-18T21:28:22.939000+00:00,Box 2 Louis L. McInnis Papers/Box 2 Folder 28 Louis L. McInnis Papers,fedoraAdmin,"Letter to Louis L. McInnis from W. A. Alexander, December 12, 1879",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/380/pages/page_0/files/0001.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/380/pages/page_1/files/0002.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/380/pages/page_2/files/0003.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/380/pages/page_3/files/0004.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/380/pages/page_4/files/0005.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/380/pages/page_5/files/0006.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/380/pages/page_6/files/0007.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/380/pages/page_7/files/0008.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/380/pages/page_8/files/0009.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/380/pages/page_9/files/0010.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/380/pages/page_10/files/0011.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/380/pages/page_11/files/0012.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/380/pages/page_12/files/0013.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/380/pages/page_13/files/0014.tif,1879-12-12,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/255/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/255/orderProxies,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects,2025-12-18T21:12:40.218000+00:00,fedoraAdmin,2025-12-18T21:12:40.218000+00:00,Box 1 Louis L. McInnis Papers/Box 1 Folder 6 Louis L. McInnis Papers,fedoraAdmin,"Letter to Louis L. McInnis from J. T. Hand, circa June 7, 1880",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/255/pages/page_0/files/0001.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/255/pages/page_1/files/0002.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/255/pages/page_2/files/0003.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/255/pages/page_3/files/0004.tif,1880-06 (circa),
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/13/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/13/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects,2025-12-18T21:02:09.699000+00:00,fedoraAdmin,2025-12-18T21:02:09.699000+00:00,Box 1 Louis L. McInnis Papers/Box 1 Folder 10 Louis L. McInnis Papers,fedoraAdmin,"Postcard to Louis L. McInnis from J. N. Clark, December 15, 1881",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/13/pages/page_0/files/0001.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/13/pages/page_1/files/0002.tif,1881-12-15,http://rightsstatements.org/vocab/NoC-US/1.0/
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/539/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/539/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects,2025-12-18T21:42:20.076000+00:00,fedoraAdmin,2025-12-18T21:42:20.076000+00:00,Box 4 Louis L. McInnis Papers/Box 4 Folder 6 Louis L. McInnis Papers,fedoraAdmin,"Annual Celebration of the Austin Literary Society Invitation, April 5, 1890",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/539/pages/page_0/files/0001.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/539/pages/page_1/files/0002.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/539/pages/page_2/files/0003.tif,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/387/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/387/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects,2025-12-18T21:28:03.781000+00:00,fedoraAdmin,2025-12-18T21:28:03.781000+00:00,Box 2 Louis L. McInnis Papers/Box 2 Folder 3 Louis L. McInnis Papers,fedoraAdmin,"Letter to Louis L. McInnis from A. J. Rose, July 19, 1890",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/387/pages/page_0/files/0001.tif,1890-07-19,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/449/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/449/orderProxies,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects,2025-12-18T21:34:35.005000+00:00,fedoraAdmin,2025-12-18T21:34:35.005000+00:00,Box 2 Louis L. McInnis Papers/Box 2 Folder 9 Louis L. McInnis Papers,fedoraAdmin,"Letter to Louis L. McInnis from Henry Alvord, May 3, 1892",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/449/pages/page_0/files/0001.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/449/pages/page_1/files/0002.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/mcinnis_objects/449/pages/page_2/files/0003.tif,,
