dcterms_extent,dcterms_type,fedora_createdBy,dc_subject,fedora_writable,ldp_contains,dcterms_isPartOf,dc_description,dc_format,dc_publisher,dc_summary,fedora_created,dc_language,fedora_lastModifiedBy,dc_type,dcterms_issued,fedora_hasParent,dc_title,fedora_lastModified,dc_rights,files,dc_identifer,dc_creator,dc_contributor
1 poster with colored illustrations and text; 102 x 67 cm,StillImage,fedoraAdmin,Snowpiercer (Motion picture)|Science fiction films,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/99/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/99/orderProxies,Science Fiction & Fantasy Research Collection,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Weinstein Company,Movie poster of the 2014 movie Snowpiercer,2023-06-05T17:04:29.528000+00:00,eng,fedoraAdmin,film posters|Posters,2014,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Snowpiercer : fight your way to the front : from visionary director Bong Joon Ho,2023-06-05T17:04:29.528000+00:00,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/99/pages/page_0/files/Snowpiercer.jpg,,,
Book cover,StillImage|Text,fedoraAdmin,Forests and forestry|Alien-human encounters|Space colonies|Insurgency,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/70/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/70/orderProxies,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Berkley Pub. Corp.,"Colonists from Earth take over a planet that the locals call Athshe, and follow the 19th century model of colonization, which involves cutting down trees, planting farms, building mines, and enslaving indigenous peoples. The Athsheans eventually retaliate against their captors, abandoning their rules against violence and endangering the very foundations of their society.",2023-06-05T16:55:02.634000+00:00,eng,fedoraAdmin,book jackets|Ecofiction|Science fiction,[1972],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,The word for world is forest,2023-06-05T16:55:02.634000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/70/pages/page_0/files/Scifi2021LeGuinThe.jpg,456375,"Le Guin, Ursula K., 1929-2018",
Book cover,Text|StillImage,fedoraAdmin,Floods|End of the world|Climatic changes|Sea levels,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/5/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/5/orderProxies,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,New American Library,"Four hostages are finally released, but they face a world suddenly inundated as vast amounts of water is released from the earth's mantle. As the world's cities and countries disappear under the rising seas, humanity faces unimaginable global disaster.",2023-06-05T16:32:32.998000+00:00,eng,fedoraAdmin,Science fiction|Apocalyptic fiction|book jackets|Ecofiction,[2009],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Flood,2023-06-05T16:32:32.998000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/5/pages/page_0/files/Scifi2021BaxterFlood.jpg,6273542,"Baxter, Stephen",
Book cover,StillImage|Text,fedoraAdmin,Plague|Immunity|Life on other planets,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/58/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/58/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Doubleday,"Marjorie has to find answers about the planet known as Grass. A plague that threatens to destroy all human life is spreading among the stars, on all worlds except Grass. Why is it immune?",2023-06-05T16:51:14.197000+00:00,eng,fedoraAdmin,book jackets|Science fiction,[1989],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Grass,2023-06-05T16:51:14.197000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/58/pages/page_0/files/Scifi2021TepperGrass.jpg,1236994,"Tepper, Sheri S.",
Book cover,Text|StillImage,fedoraAdmin,Women astronauts|Space colonies,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/48/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/48/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Tom Doherty Associates,"On a cold spring night in 1952, a huge meteorite fell to earth and obliterated much of the east coast of the United States, including Washington D.C. The ensuing climate cataclysm will soon render the earth inhospitable for humanity, as the last such meteorite did for the dinosaurs. This looming threat calls for a radically accelerated effort to colonize space, and requires a much larger share of humanity to take part in the process. Elma York's experience as a WASP pilot and mathematician earns her a place in the International Aerospace Coalition's attempts to put man on the moon, as a calculator. But with so many skilled and experienced women pilots and scientists involved with the program, it doesn't take long before Elma begins to wonder why they can't go into space, too. Elma's drive to become the first Lady Astronaut is so strong that even the most dearly held conventions of society may not stand a chance against her.",2023-06-05T16:48:03.972000+00:00,eng,fedoraAdmin,Science fiction|Apocalyptic fiction|book jackets,[2018],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,The calculating stars,2023-06-05T16:48:03.972000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/48/pages/page_0/files/Scifi2021KowalThe.jpg,5738787,"Kowal, Mary Robinette, 1969-",
1 poster with colored illustrations and text; 92 x 62 cm,StillImage,fedoraAdmin,Science fiction films|Interstellar (Motion picture),false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/106/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/106/pages,Science Fiction & Fantasy Research Collection,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Warner Bros. Pictures,Movie poster of the 2014 movie Interstellar,2023-06-05T16:36:00.829000+00:00,eng,fedoraAdmin,film posters|Posters,2014,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,"Interstellar, coming soon : mankind's next step will be our greatest : from the  director of The Dark Knight trilogy and Inception",2023-06-05T16:36:00.829000+00:00,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/106/pages/page_0/files/Interstellar.jpg,,,
Book cover,Text|StillImage,fedoraAdmin,Dystopias|Interpersonal relations|Droughts|Survival|Mojave Desert|Southern California,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/44/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/44/orderProxies,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Riverhead Books,"In the future, an unrelenting drought has transfigured Southern California into a surreal, phantasmagoric landscape. With the Central Valley barren, underground aquifer drained, and Sierra snowpack entirely depleted, most ""Mojavs,"" prevented by both armed vigilantes and an indifferent bureaucracy from freely crossing borders to lusher regions, have allowed themselves to be evacuated to internment camps. In Los Angeles' Laurel Canyon, two young Mojavs. Luz, once a poster child for the Bureau of Conservation and its enemies, and Ray, a veteran of the ""forever war"" turned surfer--squat in a starlet's abandoned mansion. Holdouts, they subsist on rationed cola and whatever they can loot, scavenge, and improvise. The couple's fragile love somehow blooms in this arid place, and for the moment, it seems enough. But when they cross paths with a mysterious child, the thirst for a better future begins. They head east, a route strewn with danger: sinkholes and patrolling authorities, bandits and the brutal, omnipresent sun. Ghosting after them are rumors of a visionary dowser a diviner for water and his followers, who whispers say have formed a colony at the edge of a mysterious sea of dunes.",2023-06-05T16:46:47.806000+00:00,eng,fedoraAdmin,Romance fiction|Apocalyptic fiction|book jackets|Dystopian fiction,2015,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Gold fame citrus,2023-06-05T16:46:47.806000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/44/pages/page_0/files/Scifi2021WatkinsGold.jpg,4941253,"Watkins, Claire Vaye",
Book cover,StillImage|Text,fedoraAdmin,Ecoterrorism|Batman (Fictitious character)|Superheroes|Good and evil|Poison Ivy (Fictitious character),false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/20/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/20/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,DC Comics,"One of Batman's deadliest enemies, Poison Ivy is an eco-terrorist who obsesses over plant life and utilizes natural toxins as a weapon. Able to pull from her surrounding environment to take down her enemies, Poison Ivy has a lethal advantage. One of Batman's Rogues Gallery, she has been battling the Dark Knight for decades of comics. Either solo or with the help of her best friend, Harley Quinn, Poison Ivy will stop at nothing to get what she wants.",2023-06-05T16:39:13.509000+00:00,eng,fedoraAdmin,Ecofiction|book jackets|Superhero comics|Graphic novels,[2016],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Batman Arkham,2023-06-05T16:39:13.509000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/20/pages/page_0/files/Scifi2021Batman.jpg,5970022,,
Book cover,StillImage|Text,fedoraAdmin,"Dreams|Indians of North America|Bone marrow|Procurement of organs, tissues, etc.|Global warming",false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/25/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/25/orderProxies,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Dancing Cat Books,"""In a future world ravaged by global warming, people have lost the ability to dream, and the dreamlessness has led to widespread madness. The only people still able to dream are North America's indigenous population - and it is their marrow that holds the cure for the rest of the world. But getting the marrow - and dreams - means death for the unwilling donors. Driven to flight, a 15-year-old and his companions struggle for survival, attempt to reunite with loved ones, and take refuge from the ""recruiters"" who seek them out to bring them to the marrow-stealing 'factories.'""",2023-06-05T16:40:48.253000+00:00,eng,fedoraAdmin,Ecofiction|book jackets|Dystopian fiction|Science fiction,[2017],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,The marrow thieves,2023-06-05T16:40:48.253000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/25/pages/page_0/files/Scifi2021DimalineMarrow.jpg,5574140,"Dimaline, Cherie, 1975-",
1 poster with colored illustrations and text; 102 x 69 cm,StillImage,fedoraAdmin,Science fiction films|Waterworld (Motion picture)|United States,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/102/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/102/orderProxies,Science Fiction & Fantasy Research Collection,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Universal Pictures,Movie poster of the 1995 movie Waterworld,2023-06-05T16:34:45.677000+00:00,eng,fedoraAdmin,film posters|Posters,1995,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,"Waterworld, coming soon : beyond the horizon lies the secret to a new beginning",2023-06-05T16:34:45.677000+00:00,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/102/pages/page_0/files/Waterworld.jpg,,,
